Eric Bachmann's Driving With Lupe Mix,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,43,mergerecordsofficial
1,Belong to You,4NyAjxF3DEyvvO5xdrfd4r,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Eric Bachmann,6WKrYrckgyk7AaRfQJc1kj,14,https://p.scdn.co/mp3-preview/75b108ee8d7477508af26e56caf32239f7b65806?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Acid Rock,6lXQpIvwBSi7u1BTfud2N0,The Funkees,6dqBherxR2n5xMfqAI0L2J,Nigeria Rock Special: Psychedelic Afro-Rock & Fuzz Funk in 1970's Nigeria,3da6by8KHBpcDs75FF4lDV,30,https://p.scdn.co/mp3-preview/7ffbcf2cc634eb263f5451efba779d793f9dbce9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Weave And Way,2Hu36lzs3tYa81zNovMesV,Norman Blake,5kA86jQnoaPaM57DUsQOWG,Back Home In Sulphur Springs,3ZI3J4ODqI6Bl3WJHDiWmf,11,not available
4,Everybody Needs a Proper Education - Extended,7lYjZHxEoygf2KnoqYiYCz,Mikey Dread,6xKQ3GOnt3gjzja4IcLyg4,Dread at the Controls,4fK8usQ4EFPs7RkL6tPwlx,17,https://p.scdn.co/mp3-preview/87d7ce9edaeb2fabd80f499161addd2f0292e39f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Cold and Cruel,36t3WgvWLbzLpOgjXUFiRD,John Meeks,4bKxq3xogdKjxJEscHuZcq,On a Sea Darkly,3FwkUHADNFlbwzOPGojUdm,0,https://p.scdn.co/mp3-preview/edad83ba99edda0905b8edfed54a68ebeb7fa86d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Guiding Red,5fdVMzHkTvVanKJxA3whAT,Augustus Pablo,5WwEQwX3ruZofwDDqtOXwI,This Is Augustus Pablo,5ejEJe4Oa1crudGTbCttV9,18,https://p.scdn.co/mp3-preview/38299f49d42bfe295fac79baf4f23f1e56d70629?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Different Drum,3k63RLvRgkgPGx0keOH3P6,Stone Poneys,2X9nnux4eS3CFBDSjcnoBQ,Evergreen Vol.2,2FrEXjdS2mZO6sx6pA5MbY,57,not available
8,Don't Make Me Garan Garan,7kCe93wxt1wyxvs5iYHpz3,Fela Kuti,5CG9X521RDFWCuAhlo6QoR,Kalakuta Show,0aKWkg8KSmDcvbKnXHKcN8,7,https://p.scdn.co/mp3-preview/2e705d75b7553312cf5324f338dcd8fde0c56e7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Put the Women In Charge,74FbIh4Lt7ctZOyRoZkmgz,Little White Teeth,43tsIXVKQD1zLlVncYCq2d,Little White Teeth,2oveeebSs5b6zvyQ1b4W8L,0,https://p.scdn.co/mp3-preview/26e36e31b16582acd95f728976a7b0f9474cef3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
