Wye Oak Summer Tour Van Music,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,163,mergerecordsofficial
1,If You Should See,1xLGfLaW34d0q0cLvVfQXy,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Tween,6WO7Hd1JazBqaWd9mcmQso,22,https://p.scdn.co/mp3-preview/a637e1c5d649a6e0d2b80c4b770dfda79ee298bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Patchwork,13Ffu6ROeC2XC5ha39lkgB,Laurie Spiegel,5ixSn3H9wbdWQxcf8qEKOV,Laurie Spiegel: The Expanding Universe,6BnFiAZ6iztz8RebLcM7te,0,not available
3,That's How I Got To Memphis,5mbYOavUzMPBgZIhybZsfT,Karl Blau,7FeCvXxNn2D4Cf38i0zDul,Introducing Karl Blau,4Oin0XH6gnLnQSEcVoUIh3,21,not available
4,You Saved My Life,2nPoXUru2db3fwTVgtFZ8A,Cass McCombs,2iUVQjheBnvOt8vaBrxXJz,Catacombs,3SvUGaWL8SSTSI0E4gAsPc,0,not available
5,Janine,2L5ECyenYGVPAGIt9XvsJJ,Arthur Russell,3iJJD5v7oIFUevW4N5w5cj,Love Is Overtaking Me,2GT3gfbEkEVp3DgjX5DAnN,0,not available
6,Torrey Pine,5zeHPXAabLEyNMLD17IuRz,Chris Cohen,2OYDcH3MLWeNjj7gQVUbEF,As If Apart,3XzWeUS4uWXJePZrItveRo,36,https://p.scdn.co/mp3-preview/c76745d86a8feb20feb3ce5bfe7301b96bf6f43a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Keep,7my837raI8FieTmqz5zZM8,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,Felt,7vfLaNMsJSCHNiDfSHICXz,4,not available
8,Tokyo London US Korea,0E6qnIN6iw4mKL0uaTonqP,Here We Go Magic,4WxjrOJGIngO2hJnlCeK7f,Be Small,3fkECFtmJuq3gZMS8twMrm,10,https://p.scdn.co/mp3-preview/d0c281b28f1795c8569df2ca2de0c855882abfcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Hey Moon,6KbpJjsh3U1yU1tiEzJvQV,John Maus,4R073T3AVJKqAsbzLmLW9u,We Must Become the Pitiless Censors of Ourselves,28sxLT8ZqDIxBJgfjwvEHD,0,not available
10,Best to You,1p2TWJxUlHE5JR0sE6E1d7,Blood Orange,6LEeAFiJF8OuPx747e1wxR,Freetown Sound,3Z2XUjgVj5ZkCGpU7b2qtY,59,https://p.scdn.co/mp3-preview/4130b697210af42e4849ca9eae8ed87be467112d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,America's Boy,4yXuupcnn4IuZ4d8MVaCW2,Broadcast,0WtTGUjbur1R1cNzBvbsMU,Tender Buttons,28RiDrxACWNtbrUNy9Ks1X,39,https://p.scdn.co/mp3-preview/3d44a076ec48e1e22b7133c4bac9c2fee6fe41cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Katie,1p7YkiM055cZcF4uMCQ9TT,Luke Temple,6MUv39LOn5bz2QW4SBKE85,Good Mood Fool,6N0O0Smt0qOTTJYmcGQ4ss,18,https://p.scdn.co/mp3-preview/356c16824858f3c07c726814e9bebd491ebe5823?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Letting Go,2DVZhad6H2CANVH7npIrnh,Braids,6JX35IQ1Yw84Yjzq2Y5p5i,Deep In the Iris,0Dy6UqW0NHe80kBDvSc5JH,27,https://p.scdn.co/mp3-preview/ca29ab91cd39783bad5acad7d718e03a04e63075?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Ondine,60fsmSInBLYrwES9KuJU4M,Lower Dens,5uTJLo3c4ZHpH8oEwGxYUN,Escape From Evil,4ztSevVXz3CNtlqqPWY1Ni,0,not available
15,Car,3ZlzmThV9VspXsOIjlNuaC,Porches,2JzhQYGos3RqV7MT5fWeek,Pool,7kNB1l6WPFlZxH5MtgtW3j,41,https://p.scdn.co/mp3-preview/7e94874ac3c2b88ca9b052526880aa9aeb45c097?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,House Shape,6tSHOM5uLI36p4NWU5HR7C,Mount Eerie,4Sw0SFu1fFdYXdAEVdrqnO,Clear Moon,24Hcz1suJdxaNrgEC8BG7v,19,https://p.scdn.co/mp3-preview/80e956d59871600af3227569bcc6f36411ef6dc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Science Center,1741SzclxtKRqYWoQJRw5G,Emeralds,45btnwhUWFlR7Op5oTfDPv,Does It Look Like I'm Here?,0c0XkZh9vWXg473nchoArI,16,https://p.scdn.co/mp3-preview/52485eab30f463e9ed447d58df6472e859b9f88e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
