66 Skin-Crawling Halloween Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,556,nme.com
1,Lullaby - Remastered,0ZYdUkAQmKHsaKRmq8tWSE,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (Deluxe Edition),0H6TddUF2M63ZSHGvhk5yy,59,not available
2,Scary Monsters (And Super Creeps) - 1999 Remaster,4UrRkV1HqJkp4MCjB8RgM1,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Scary Monsters,53YfKqwV8lphizo06QSxEe,5,not available
3,Howlin’ For You,274voeiGXAtDEQ5KWfNzLK,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Brothers (Deluxe Edition),2nHVK3wblZ4QDckFYAzauw,3,not available
4,Mirror’s Image,2bmcwHGuZW4E1051Dgd2HJ,The Horrors,7EFB09NxZrMi9pGlOnuBpd,Primary Colours,4yyFE9FVXNayzv3v9boKDN,33,https://p.scdn.co/mp3-preview/925a1eba336f25da0c074996094eeb0bd45cb660?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Monster,5jXNOgH5A7yI76BU9kaP6N,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,My Beautiful Dark Twisted Fantasy,6LBiuhK7PZKjVXyMfPxPoh,5,not available
6,Dracula's Wedding (feat. Kelis),1IQOWNJf6UUyCiaW66F3YS,OutKast,1G9G7WwrXka3Z1r7aIDjI7,Speakerboxxx/The Love Below,00XMrHZoOsYLmiyx890axX,0,not available
7,The Number Of The Beast - 1998 Remastered Version,1s4Ie0cT6P73SRSfh3oyGW,Iron Maiden,6mdiAmATAx73kdxrNrnlao,The Number Of The Beast (1998 Remastered Edition),6q5MEna6Fg46powSoeZJe3,13,not available
8,Thriller,2LlQb7Uoj1kKyGhlkBf9aC,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Thriller,2ANVost0y2y52ema1E9xAZ,59,https://p.scdn.co/mp3-preview/e87c95de42eecbed85b08021e3125833ed31ae98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Spellbound,2xdfb4DboN9AkIdHlhKy3x,Siouxsie and the Banshees,1n65zfwYIj5kKEtNgxUlWb,Gold (International Version),2TyTR4UwoLDgeugrZep54x,0,not available
10,This Is Halloween,6wYJJ8AEhgS2euFsuTvZ1g,Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,Nightmare Revisited,2IFwASo4B3CYuMwzAAhfjp,51,not available
11,Lucifer,2Vc78Iazsizj2HwUHd8wgK,JAY Z,3nFkdlSjzX9mRTtwJOzDYB,The Black Album (Explicit),20kKZs18NBZ4NyLQRo0Hxh,0,not available
12,Voodoo,6l4uEzB6hQPOwojYBTF5WG,Godsmack,6gZq1Q6bdOxsUPUG1TaFbF,Live And Inspired,7oiwO2ZJcS0y7ARcWGLHKe,0,not available
13,Halloween,3ycnuJsztVj9X4VDfrUysb,Dead Kennedys,30U8fYtiNpeA5KH6H87QUV,Anarchy In The Graveyard: A Punk Halloween,78jRXbQVRLKY5jpJ6UuBQF,0,not available
14,Bela Lugosi’s Dead,0JfWS5txNJcbTHnJavTImO,Bauhaus,5N5tQ9Dx1h8Od7aRmGj7Fi,Bauhaus - 1979-1983 Volume One,0Zw1hVbG92bW2oO6b3S2SL,39,https://p.scdn.co/mp3-preview/87c3db735a233e765aee8b0a8b992bd31cde3a2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,End of the End,5XFsKz6UvgwOf46NFxdIfp,Cathy Davey,1HwEmZUm1VIh3VLmyMLa3g,The Nameless,67rAo9NYHAkpNotqSPT21a,3,https://p.scdn.co/mp3-preview/6dfea1757c118bf730cd0554a50275ba0755c9d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Disturbia,30VrBsh1STRBoIrhQOAwzK,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad,1YhbfKnjrFgnYyWz6cn9mN,60,not available
17,Closer,4ysiI2bYbXcGT8jMXEPQSk,Nine Inch Nails,0X380XXQSNBYuleKzav5UO,The Downward Spiral,4OJNzJQ209FcLJg2CLz5mf,4,not available
18,Tainted Love,3cixuToHeVkcYiPSPfUbqX,Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,The Golden Age Of Grotesque,1odSjKAKovGL9v1sI1lIul,49,not available
