NME's songs of the year 2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,972,nme.com
1,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Sweetener,3tx8gQqWbGwqIGZHqDNrGe,84,not available
2,Love It If We Made It,6WmIyn2fx1PKQ0XDpYj4VR,The 1975,3mIj9lX2MWuHmhNCA7LSCW,A Brief Inquiry Into Online Relationships,6PWXKiakqhI17mTYM4y6oY,74,not available
3,Wide Awake,7COxY38TB5HTeXRAucOEW4,Parquet Courts,23NIwARd4vPbxt3wwNnJ6k,Wide Awake!,5uTI2HcpAywDP8Vo1DpJta,55,https://p.scdn.co/mp3-preview/0a63992fdbb51736b93482043909c0cc3beccf83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Four Out Of Five,5Z5nbOXhsSbySVC7WUc6y9,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Tranquility Base Hotel & Casino,7v6FNgLDS8KmaWA1amUtqe,62,https://p.scdn.co/mp3-preview/50649285856b2324b33046c6b1e03172ee90e808?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,This Is America,0b9oOr2ZgvyQu88wzixux9,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,This Is America,7arx9qPJexCsDz67El4qvk,77,https://p.scdn.co/mp3-preview/01afc9c7c44d7b4b01d2340a00e586031827b243?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Twentytwo,7MrPr8g39uJnXyS405HJci,Sunflower Bean,1xVcjJ5YsYOClO2Unt3Rm8,Twentytwo In Blue,0Ucku0CR3r5DRYc0KFdNAh,41,https://p.scdn.co/mp3-preview/981cbba1b4929dece60dec69d07a0f965e100cde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Never Fight A Man With A Perm,4k69tGZejKwfXPCJtyP55x,IDLES,75mafsNqNE1WSEVxIKuY5C,Joy as an Act of Resistance.,27NYgZQHcapoSAs5bWAxRI,58,https://p.scdn.co/mp3-preview/6932563b72a8f7800c124bd3301cdaa20972df22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Missing U,11u6Qkl4ri0fMWZIQDmFUJ,Robyn,6UE7nl9mha6s8z0wFQFIZ2,Honey,0CQ68SLY0B5e6L1rn8jfkc,55,not available
9,Girlfriend (feat. Dâm-Funk),3dWRcazAn4jN75zh3VKyI6,Christine and the Queens,04vj3iPUiVh5melWr0w3xT,Chris,08LcAgUEeFV4tM3WPPpbYh,56,https://p.scdn.co/mp3-preview/94ac2e11e0f9ede485039cefa8f3a68b20422ea1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Immaterial,5nTtCOCds6I0PHMNtqelas,SOPHIE,5a2w2tgpLwv26BYJf2qYwu,OIL OF EVERY PEARL'S UN-INSIDES,6ukR0pBrFXIXdQgLWAhK7J,47,https://p.scdn.co/mp3-preview/6be8eb12ff18ae09b7a6d38ff1e5327fd128a74e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Make Me Feel,79GsUxLyzxgnN4I1E11dtO,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Make Me Feel,59BJKBIqMxOYMTzV3sAmQY,55,https://p.scdn.co/mp3-preview/214ede6c18faaba9935774edfba69e50d7fbf6a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,85,https://p.scdn.co/mp3-preview/0f8734f51bb0a419959fdad3a0852621f9e6bc89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,High Horse,2U2Z1IXnmJIvlknWizFykZ,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Golden Hour,7f6xPqyaolTiziKf5R5Z0c,70,not available
