NME 100: new pop artists for 2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,57,nme.com
1,Decline,5STWwZgJ5gHzXdOsZ1hTqH,RAYE,5KKpBU5eC2tJDzf0wmlRp2,Decline,5pjHPt8pRTkjQ0ba8TEQAm,6,not available
2,There's a Honey,2PZHtfit2IPXwwnODs6aLx,Pale Waves,0wOej91SVqB1zcYkW6xUtA,There's a Honey,3qWixYFIjM0jygkzh9hKPm,3,not available
3,Better,053qv8twpdp6pCjwHLJJf3,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Better,1aPWDMr9RCimNCCBw9GgyJ,0,not available
4,As the World Caves In,4JE6agBLHGA5TaF6FlqfBD,Matt Maltese,12j6dJrPXanCBwY599pZxf,As the World Caves In,6bKosNVvMaaosmJTV101y0,38,https://p.scdn.co/mp3-preview/58f45763cae46d8b248d66b63c51d806ad5f3f42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Something For Your M.I.N.D.,47wq2z7KMHDRnoSMdZODUA,Superorganism,0Wkm45quqfx3NepJpXDvwE,Something For Your M.I.N.D.,2FlD0ta44kkFbIvwa4uDeP,53,https://p.scdn.co/mp3-preview/14e41464fbc4eed0ab4afca7663aa999612a4f14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Big Fat Mouth,2H57VA9OzK2NLmweUfJTdq,Arlie,6Bllzm0olEwqGwPujaLiuA,Big Fat Mouth,5zV5ZxYZ42GF1wGO7RI587,7,not available
7,"Losing, Baby",39KmnoDIotiNq6MSwcVD87,Brooke Bentham,6c1CljS2C5YB6k7INEUs0A,"Losing, Baby",3fpi64QqO982ZcvJfDu2Zk,29,https://p.scdn.co/mp3-preview/780bb62a4fd7d42c53d0ddfb1d0f1247eae96030?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Pink,1twTatZXHgJwZEhKl41uBj,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,Nervous System,22aqlgX39cWQMWazg9qwuv,0,not available
9,bellyache,1HxLdPHNJbFY3DG8c5qqhX,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Bellyache,4ET843xYWfvkyQwnzeNNlt,5,not available
10,Don't Kill My Vibe,4WdCxlUyj3TCTBaJx5s9tF,Sigrid,4TrraAsitQKl821DQY42cZ,Don't Kill My Vibe - EP,1fUJMrFtZMbtDS8c2dklb2,5,not available
11,Tyrant (feat. Jorja Smith),6u24cRDn2mTKcXxxtgmIsV,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,Tyrant (feat. Jorja Smith),2FM2RlooCFHOMYfChyzQb4,2,not available
12,love somebody like you,0ltO5bci13M68sTnEctBxR,joan,3HXLY1sNXIxHfulrjPiRf5,love somebody like you,13NYDkzyuRQC8aQLCcyl54,59,https://p.scdn.co/mp3-preview/c8e9238ba62cba3afb158757c63fded83334b1cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Say My Name,6iZTQ7OJ0B4Z4Lij5o7Ub0,Tove Styrke,2QSPrJfYeRXaltEEiriXN9,Say My Name,1bNiDHGgQOVMnuk2H0M8BQ,48,https://p.scdn.co/mp3-preview/50fa12af4ba5abc00e57a017070b1b8195a26741?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Found What I've Been Looking For,4Hn5Jhz7OAdfTqrKZzN0tf,Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,Found What I've Been Looking For - EP,1do6OySS9EvWJCIRRsU8XZ,58,https://p.scdn.co/mp3-preview/a7100d32a341ada5e789095fc4c21a3bd020342a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Alterlife,5HgLArw5iKY6szC55OWUPK,Rina Sawayama,2KEqzdPS7M5YwGmiuPTdr5,RINA,0Kju1j2r9e6LG3HJ4ldvAW,43,https://p.scdn.co/mp3-preview/3c34a6477928a31870bff213886e59cd698a24d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Alaska,0cReiQLnbTaFfUajukjDBb,Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,Now That The Light Is Fading,6emUsSQtDzy6NNXI5kxcIw,6,not available
