NME 100: new R&B artists for 2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,49,nme.com
1,Finders Keepers,06BD7TeUR6mYbF6cWyzvZt,Mabel,1MIVXf74SZHmTIp4V4paH4,Finders Keepers,0GHwcubAh10ID1apl4n22z,60,not available
2,Beautiful Little Fools,6Qvm8M6J1jVz92QA04TlgQ,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Beautiful Little Fools,1uZybLyKwTQsYZTtq1K8OK,5,not available
3,Sober,3C57ewlHARCVqeH3KiYkma,Mahalia,16rCzZOMQX7P8Kmn5YKexI,Sober,7BCTfMzue11vOGekGO0xL0,66,https://p.scdn.co/mp3-preview/a4e924b453cec95bcea26e01a216f670d963f12f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Because,7d2a78r2DTydqHhYJ4YsQj,Smerz,1f8PlfSHEW6fHnILSzm8dI,Okey,05Q83Gc7qEPwHlnQFFwvTe,44,https://p.scdn.co/mp3-preview/5b3575df5c05084aba00e064127366e439924485?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,So Cool,6CX60nUnMJKGTTYWBLLmyV,Dounia,4fJsnm9CeDAPrwO4MAEToj,Intro To,7jMTC5H8GHTRMeu2NTKi9e,40,https://p.scdn.co/mp3-preview/1c82043e352b464db3b40e4b16abb6b842c88457?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Say It to My Face,5iCNGpefoPQacY2ktlUtEG,Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,Say It to My Face,7iIk7RSdbmdF7ik7RYyih0,44,https://p.scdn.co/mp3-preview/4680752da48e2262a16a39b54a637129020cef8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Come Meh Way,4wUkSzBjXOPCxH0RCG2GaE,Sudan Archives,2MPHBxznH1fj59jbOWY38u,Sudan Archives,6Vs7bJcWtuyriFn0ol16lX,51,https://p.scdn.co/mp3-preview/2db8497303f9d8073c54f61963aa40ccf6be17c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Figures,0KS4cJErUelNRtHaO5RHnj,Jessie Reyez,3KedxarmBCyFBevnqQHy3P,Kiddo,1zwafjij0MrFVzE4g21DyS,4,not available
9,Sweetest Life,7I3rWTS7ShoyRqDDw1SvI4,KWAYE,5dIssYf7lu8wufkQywN9WJ,Solar,5EKep1yUR2Q7WcRI5jp7z9,26,not available
10,Life Online,7rpNjZEM1OeCqtEB7Ro03B,Caleb Kunle,3ummHhJhcQSykZfeZlw4MY,Eden,69JIqdZ6yTcXlRflPc64bE,5,https://p.scdn.co/mp3-preview/62b823cedf62ac304130a2cec232aced4e9161fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Patience,4nOmBz7P5XrzjudWcjil8s,ALASKALASKA,78CgVNlDQMvOVDIrRL84tJ,Patience,6QJlfWUrGRIOyL4LrkzKng,0,not available
12,Lately I,6ikLS4wtYh4Z7eLMwyCHZa,Yellow Days,3dv4Q4q3LWOnbLJnC6GgTY,Is Everything Okay in Your World?,06QkPaJ2REoJlivRZpkJYY,0,not available
13,Lemons and Limes,24KwSEKJMpb9etQvwqlEp6,Mina Rose,2b5wRreZ1OzoD7qUq3Hxlv,Lemons and Limes,6nbKg8jtvYwwhUrNG01ftr,19,https://p.scdn.co/mp3-preview/c00f026b2ca6a49d2e082e571cf1e4381c12077b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Heatwave,3pdLkG54I9kpckaukFhzu1,Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Heatwave,0aAztukkBfuzh5g4i86SKu,0,not available
15,Guilty Party,02YVcnG4I8V41lPZffUGb9,Thunder Jackson,3o0xJMKswwtXz2PhrRCHhJ,Guilty Party,0xbQvkQMqXMIGYkcVgQr3z,48,https://p.scdn.co/mp3-preview/a778a109d9c55343a3017ce49710af3a45f05940?cid=fa83a2fec7c440b7a2795d600d6b2c7e
