The 17 best remixes of 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,337,nme.com
1,Green Light - Chromeo Remix,2IzsKQFYZJbhvTcHgIZTdC,Lorde,163tK9Wjr9P9DmM0AVK7lm,Green Light (Chromeo Remix),6wNyBtgQygQrcVlcXq5tjK,5,not available
2,Chained To The Rhythm - Hot Chip Remix,0Jq3LpuPl8j4OxgXA3UBBD,Katy Perry,6jJ0s89eD6GaHleKKya26X,Chained To The Rhythm (Hot Chip Remix),2wY5Bos0qPLvW0LyiPDAr6,0,not available
3,I Feel Alright - Mura Masa Remix,5x2Ys1b3kKH6xYTNntT67u,Bonzai,5BydzSmKBIh8HkWFwx4Rrg,I Feel Alright (Mura Masa Remix),1hopkeYSofP96l7BhHHPUd,32,https://p.scdn.co/mp3-preview/fe4d6faa736b1e175a48451d2eaaadf23972ad99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Mask Off - Marshmello Remix,5rK0pyEObO4DBFLy682QvR,Future,1RyvyyTE3xzB2ZywiAwp0i,Mask Off (Marshmello Remix),5kDL875bDZtpRKtl51ED3X,66,https://p.scdn.co/mp3-preview/eb032647fdef6e806610e5d7f84c82c6e88ed6a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Andromeda (feat. DRAM) - Purple Disco Machine Remix,2LczIiNTOfbD4yxohajgjB,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,Andromeda (feat. D.R.A.M.) [Purple Disco Machine Remix],106oSRdZYwswMFOAPwROxf,50,https://p.scdn.co/mp3-preview/bb6a2574f477c4accdd4e6ac7a0c41b9edbd5064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Deadly Valentine - Soulwax Remix,58josH2d6dRcXbJeowd0gx,Charlotte Gainsbourg,2rBcvLKWCZs9w1qIWv560v,Deadly Valentine (Soulwax Remix),4UAgDrdDEXofIgdzSk9dKt,1,not available
7,Tyrant (feat. Daniel Caesar) - Remix,696QiAU0n34025fwqHrny0,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,Tyrant (feat. Daniel Caesar) [Remix],1ym9y05mFqZV2vOcLRMC5X,0,not available
8,New Rules - Initial Talk Remix,2ygfHXyt3gvyhvKrNJU61n,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,New Rules (Initial Talk Remix),4y71utPzV6RPn0OsdLmYjY,49,https://p.scdn.co/mp3-preview/9c65127df2f579bc2e77012815b79332129216e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Distorsions - Yuksek Remix,7bfuRlAckHGjiEKsIzAOtH,Projections,5lRlUC6Dqnik7A4HofOmpV,Distorsions (Yuksek Remix),55kcJzVOiTJCQuPyvy81Li,6,https://p.scdn.co/mp3-preview/7dbe1cb1e9ca50aa8ea2e98251e07780977f85c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Despacito Feat. Justin Bieber (Remix),3smvpv7CdrhVcGYaNDLOqn,26,not available
11,Friends (with BloodPop® & Julia Michaels) - Remix,7665j72fZmkaFYZCEeJqeJ,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Friends (with BloodPop® & Julia Michaels) [Remix],4hWJmwpkGH6zCvSCMeR7dq,2,not available
12,New York 93 - Baba Stiltz Remix,2InRDqx9gCEDiPulBhSyGJ,Yaeji,2RqrWplViWHSGLzlhmDcbt,"Remixes, Vol. 1",6ofNJ41RqOlWjUuwbZK8g3,38,https://p.scdn.co/mp3-preview/05b323fecaa906696a94336681861ecf4026c587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Boys - DROELOE Remix,5coBVo4lFeK49XTArYiJPz,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Boys (DROELOE Remix),2RCt3RhoH9YguwnwUH2sQu,36,https://p.scdn.co/mp3-preview/48da10d517c231d0de0929ec9a499e7180302226?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Disco Tits - KREAM Remix,4roAeaHXWFlHuDM9PXcU5U,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Disco Tits (Remixes),41cfuBuol6cSvwHdodJSrv,0,not available
15,Don't Leave - Gryffin Remix,2ygxpFIvfVzti5zcpkSmue,Snakehips,2FwJwEswyIUAljqgjNSHgP,Don't Leave (Remixes),5kNRvjEADryQBiCetUphx0,51,https://p.scdn.co/mp3-preview/3067ca6c0fc398864394979282c134395bb0a052?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Bubblegum - Jono Ma More Cowbell Mix,1vgJK23ZupDNwkIS7Z6yeg,Confidence Man,0RwXnFrEoI8tltFvYpJgP6,Bubblegum (Jono Ma More Cowbell Mix),5lkOE0b7SZ4WbM8YnPworO,8,https://p.scdn.co/mp3-preview/bdc8d897ebd3398b48e004b8baf9fd26accd9573?cid=fa83a2fec7c440b7a2795d600d6b2c7e
