The Ultimate Tom Petty Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,173,nme.com
1,American Girl,7MRyJPksH3G2cXHN8UKYzP,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,Tom Petty & The Heartbreakers,6TLTd0P2CUI0Q29AQ1LyFi,75,https://p.scdn.co/mp3-preview/36d69a9c5b7a78b378f349e319ca49075993717b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Free Fallin',7woZGXjtaYwuvSoU1zToB3,Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,Full Moon Fever,7ihweYjA1ck66NTB4bujGl,66,not available
3,I Won't Back Down,0Ir0Esfpcg0EB6Kq8VbbAh,Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,Full Moon Fever,7ihweYjA1ck66NTB4bujGl,59,not available
4,Learning To Fly,6DRNqyHyHySMMS1GkXt1Jy,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,Into The Great Wide Open,2OAkzJdbnDtd45Zh2lkdWe,13,not available
5,Runnin' Down A Dream,6rdEEYHsLavlklAypD5cre,Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,Full Moon Fever,7ihweYjA1ck66NTB4bujGl,66,not available
6,Even The Losers,7hZsWfJ06UxsIz9mo6NexI,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,Greatest Hits,6E2lDnV61v2HJaNCjLgOIg,0,not available
7,Don't Come Around Here No More,6J894UdfKofmIy0uMLRALt,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,Southern Accents,033cgRS7DEnp8mB3Yrx8um,37,not available
8,Into The Great Wide Open,1pvEacBCjS7EMQUZbM4Pj8,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,Into The Great Wide Open,2OAkzJdbnDtd45Zh2lkdWe,4,not available
9,Mary Jane's Last Dance,5xS9hkTGfxqXyxX6wWWTt4,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,Greatest Hits,6E2lDnV61v2HJaNCjLgOIg,7,not available
10,Handle With Care,4wdvkTP86WAvmr1pB01KFw,Traveling Wilburys,2hO4YtXUFJiUYS2uYFvHNK,"The Traveling Wilburys, Vol. 1",0FtmosiBG35MGb66MdmWsi,9,not available
