NME's Tracks of 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1620,nme.com
1,Green Light,1OjPK07xhUAKmXiYPCKmXC,Lorde,163tK9Wjr9P9DmM0AVK7lm,Melodrama,7nOkfbpDrDmUulcrRw2rya,0,not available
2,Boys,5o4yGlG0PfeVUa6ClIyOxq,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Boys,4cdqRn65PB3wyN2Yog1nc8,71,https://p.scdn.co/mp3-preview/c9b500adf5f76635e064833f77d4ae0983b96c4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Hard Times,0w5Bdu51Ka25Pf3hojsKHh,Paramore,74XFHRwlV6OrjEM0A2NCMF,After Laughter,1c9Sx7XdXuMptGyfCB6hHs,73,https://p.scdn.co/mp3-preview/1ae8a68052ecd129428710e12a0be397273d7d97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,HUMBLE.,7ujx3NYtwO2LkmKGz59mXp,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,7wbJhbCvhPfbK1CLAkpq25,15,not available
5,Big For Your Boots,3uMB82o0qa7erhiZBW9KQC,Stormzy,2SrSdSvpminqmStGELCSNd,Gang Signs & Prayer,5fkFWJ9LZizXE4yPenNGuy,68,https://p.scdn.co/mp3-preview/32fd1659f50b388b771449348ce8cc3626f7558f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Don't Delete The Kisses,20zRwRmlXYIOQSI9NMcKMz,Wolf Alice,3btzEQD6sugImIHPMRgkwV,Don't Delete The Kisses,0wy8TAvQl7CQECoXOfC2GA,43,https://p.scdn.co/mp3-preview/4a670384fd736e7aa737f18ec7c5120ffc3d4012?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Slide,7tr2za8SQg2CI8EDgrdtNl,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Funk Wav Bounces Vol.1,2HaqChIDc5go3qxVunBDK0,71,https://p.scdn.co/mp3-preview/d3e8d7ced6e0f3844b8c0309a7d4baad511a3518?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Bodak Yellow,2771LMNxwf62FTAdpJMQfM,Cardi B,4kYSro6naA4h99UJvo89HB,Bodak Yellow,1wpgafbHuQfSUmCWvahFlq,70,https://p.scdn.co/mp3-preview/35254f7611813c692709161d41cb04a694c9b5fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,The Man,1zv2P1cwzIu997ujUYVxZA,The Killers,0C0XlULifJtAgn6ZNCW2eu,Wonderful Wonderful,7MrTihEsPqwgcj3dlFaZ3j,9,not available
10,Bad Liar,1sCxVKWImDZSZKvG0U9B23,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,Bad Liar,1nIz2JbAAL6wK0HS6Wb9aC,15,not available
11,Don't Kill My Vibe,4WdCxlUyj3TCTBaJx5s9tF,Sigrid,4TrraAsitQKl821DQY42cZ,Don't Kill My Vibe - EP,1fUJMrFtZMbtDS8c2dklb2,5,not available
12,Cut To The Feeling,11dFghVXANMlKmJXsNCbNl,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Cut To The Feeling,0tGPJ0bkWOUmH7MEOR77qc,7,not available
13,New Rules,4LihUZcWy0B6lGLqcJ8u9B,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),4btGe14gIJmTxbcPAQBtqb,66,https://p.scdn.co/mp3-preview/fa38010d4781ba002a495c7da20c5cbd66d83a7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Love,4xyNG8vZR3g8FnphVkbjRo,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Lust For Life,1nP1BEciW2qIlkg4bz97nD,13,not available
15,Passionfruit,7hDc8b7IXETo14hHIHdnhd,Drake,3TVXtAsR1Inumwj472S9r4,More Life,7Ix0FS4f1lK42C3rix5rHg,18,not available
16,Motion Sickness,6LxcPUqx6noURdA5qc4BAT,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Stranger in the Alps,0AkAmg94XyiHODJaiGHh9O,67,https://p.scdn.co/mp3-preview/977109b82c57341e274dd9465e144a4794a965d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Chained To The Rhythm,6520aj0B4FSKGVuKNsOCOi,Katy Perry,6jJ0s89eD6GaHleKKya26X,Witness,03ntx95u0wotf68NnE3aGw,13,not available
18,The Way You Used to Do,1wsnCfewxZlCs7cJxkaMZM,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Villains,6JdX9MGiEMypqYLMKyIE8a,66,https://p.scdn.co/mp3-preview/e0554425f35d7605b1ded2fe6062d84a7c879c29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Ubu,3FEBsU1XGqjwkDfMn8utnw,Methyl Ethel,3I3Fz1DeUY0icXFvOjbXm7,Everything Is Forgotten,3ioiMlKjODrUqRJYYsbwFe,51,https://p.scdn.co/mp3-preview/7483886e7e66ee973bf2f4894377c8f31e5c889c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Everything Now,7KsZHCfOitA5V9oQYVdltG,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Everything Now,1DNojVW079FU9YnAMk3Cgr,67,https://p.scdn.co/mp3-preview/676b877299381f3f0cac27364f79fcbaa2dcce60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Question Time,0UYKSIjIUiO1T3BBuCeTVF,Dave,6Ip8FS7vWT1uKkJSweANQK,Game Over,5QsGJ1tErNh5aWxowJojom,50,https://p.scdn.co/mp3-preview/75b55f4b107315e93875a5c8d369a61f4b264fb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,There's a Honey,2PZHtfit2IPXwwnODs6aLx,Pale Waves,0wOej91SVqB1zcYkW6xUtA,There's a Honey,3qWixYFIjM0jygkzh9hKPm,3,not available
23,Pure Comedy,46gYFkuyyqTOxRwX5jOMdp,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,Pure Comedy,2QgZA6t1oFOjiJ59x7jrEI,40,https://p.scdn.co/mp3-preview/0e5d920f1057785c1929c66b0efef2e50237c0dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,The Isle Of Arran,1H6495e3O4TEK8zJF6VaHF,Loyle Carner,4oDjh8wNW5vDHyFRrDYC4k,Yesterday's Gone,0tgsACxUMuBElueq2YRe1K,3,not available
25,For What It's Worth,5Ih40KFkj3cSzxgisQxBvX,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,As You Were (Deluxe Edition),2V3WS9tlPYmscBNWHHYu9X,63,https://p.scdn.co/mp3-preview/9891b6b04c25fcdc9b4941059f00ad8dda6ade4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Tasteless,7xp2Twth6TdcFDIm8z2hFQ,Shame,4IeWU3NYBI9mISFVhzXG8f,Tasteless,7erz5L0UswEu8RLAQm0mXt,19,https://p.scdn.co/mp3-preview/cfedaa9214d23a75e838e8b900a43c3cf86186c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Yuk Foo,6RExQcl7BFkVmUEo1zf6QW,Wolf Alice,3btzEQD6sugImIHPMRgkwV,Visions Of A Life,7Mn6FjNopuROYZLIN91hhe,39,https://p.scdn.co/mp3-preview/004135557653f80b3e9c47bd93c62765ff0f5fc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
