NME's Best New Tracks,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4282,nme.com
1,Home,2jmuznDHH1QEun6UZbIeie,Caribou,4aEnNH9PuU1HF3TsZTru54,Home,2DDSjM4edf5oSEXoYD3Z8t,58,https://p.scdn.co/mp3-preview/4cf2940cd4457aa9b3e396095f99a43ac2a1a918?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,original me (feat. dan reynolds of imagine dragons),4KzOYxD4qIkUtZV9ZYakGu,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,original me (feat. dan reynolds of imagine dragons),6Qdnzl2AlEZDIeU3AaLnNM,71,not available
3,H34T RISES,5rf4KMZzIVT3x5z0oypUmb,Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA,H34T RISES,4NDq41ZG6ALoWFKcEPC5HO,42,https://p.scdn.co/mp3-preview/fb7c6592f9c69a4e3e815fe4dc248b5df9e020e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Hero,3iP4bhqGyUaNXHCzUY1H9v,Michael Kiwanuka,0bzfPKdbXL5ezYW2z3UGQj,Hero,2COBcimCnIN5cf6pog18jU,55,not available
5,Me You,7LEsT7bERfB8gpn29AcLYG,TSHA,2kLa7JZu4Ijdz1Gle2khZh,Me You,5bQmOg1COMVljCtCyj9Oi6,16,https://p.scdn.co/mp3-preview/5d4c4732ca8220f11af3dba516fe9a457a3fd7f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Extra-Ordinary,3NIlthnrsUqZxpSv6oqhxH,Public Practice,5iIR0tru2tKI6NPIYUJjkf,Disposable b/w Extra-Ordinary,4TY50VDzGjkdoDdzyORwPR,15,https://p.scdn.co/mp3-preview/3d4a889ec86e284b546c32f5e6826d5f3b0d77bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Truth Is Not Punishment,0qERA2NcJvfihrEZcpCHlc,BODEGA,3lnWfdMG9U0oVMC15SEbB5,Shiny New Model,3JFcv6e0ozCIZiTwG0J3TU,18,https://p.scdn.co/mp3-preview/54ab85ad069a02d1095813b84704375d6614e8da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Come Back a Different Day (Back to Mine Exclusive),1hZdkhA3IDw1NCfQv0jP7E,Jungle,59oA5WbbQvomJz2BuRG071,Come Back a Different Day (Back to Mine Exclusive),4HUlffR8tegGvfGL5xQCWG,50,https://p.scdn.co/mp3-preview/655782889c7b61be24e3d9897b7e7045d28b1f80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Puppets (Succession Remix),7vAkKCODYbpF2b6brNLzqo,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Puppets (Succession Remix),045PA2kXlh776mWzZNqt5L,60,not available
10,Lights Up,2plLJpUcYPFrl1sW2pMG63,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Lights Up,4Aag1alBrdk2TFnATVmn8D,85,https://p.scdn.co/mp3-preview/aacbe5176d00ff0ea6cae1977ff71a1ac0d92af1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Cat Pack,1i3UvjbQS0OoBoKkILthR2,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Cat Pack,0H346vuauoKWvLPXuYGRDb,67,https://p.scdn.co/mp3-preview/5907237d06e26b373e332f33def6b813cf7ecb43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,67,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
