NME 100: new rock artists for 2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,254,nme.com
1,Bubblegum,1nkp3tOVQbN0V45OQWS6Ja,YONAKA,3Wcyta3gkOdQ4TfY0WyZpu,HEAVY,4ZJhPsudePeA2takLeA2Ob,35,https://p.scdn.co/mp3-preview/c2ffbf77a389a900e07c199df78250553819c07c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Good Company,5cNKCdmw8U9aarv34QrC6k,Shady Nasty,5fEdUhbIAf9JlPhlc3swPx,GC / WK,7HiLK6Yt9WuQaM2aU0uw3e,11,https://p.scdn.co/mp3-preview/25b2dd5d2591c34fa88c9138823855c181bf4453?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Reaction,3dAKOjyDyDAYhfvdmyrivi,The Pale White,3uhfMjcE5HJqMIWh3Iolw0,Reaction,36zvaFchWu58oGLdUnj5ib,27,https://p.scdn.co/mp3-preview/9a6e3fa44d4c78019037b6b6958aa2207081db6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Take It or Leave It,6QBDoker9GHF7koksbgLuE,RedFaces,0gP1g7feAxTD9rghuNRNNH,Take It or Leave It,12AsGZdEORL8vDZkdsnAyt,0,not available
5,Beehive,1KpwAU3UX0E29nGJUtDJ78,Gaffa Tape Sandy,00P2dAOymeYKFx4OSaVgw1,Beehive,3KuY37SEYSxtDiLPZqC5wh,31,https://p.scdn.co/mp3-preview/5497b9a199af075a2e2743982ee2a87a5ec00976?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,"Broke Days, Party Nights",3W2yC6MPvNEnzV9l64VGEk,Ecca Vandal,0NhKCHTPG7Sz62S3zxV1Cf,Ecca Vandal,3sMoRAGg3MEhY80nHtzAl6,0,not available
7,Ants,0EeBxXM4B3kw6nQWjA1izM,Starcrawler,0ZhtrY2Lt1s9klwm03lu8i,Ants,6y5zrUxoFuTulI7MAnXDQL,29,https://p.scdn.co/mp3-preview/f8534da000b5da7919d99f679c221e4ac9059791?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Silk Spirit,4l7qlwjLPcExTGkYFmODh5,Drahla,1HHyE1TCzui5Lay0gwS6bR,Third Article,79nBBH4ftVxlB3Uu4Ec6z1,0,not available
9,Concrete,6v5R9Q0aEgaSialrL8rFnt,Shame,4IeWU3NYBI9mISFVhzXG8f,Concrete,2IDNFLLiJwfHXugavpn8jL,32,https://p.scdn.co/mp3-preview/f4211eafecba79dea0a9f022b5c71d947d787705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Twisted Wheel,3LCxheiGjpwZmdlXsULC0v,Milk Disco,0Ab0uiddF2SLTw2qbhl6x2,Twisted Wheel,6DJ59EoHwkt8d5IAHSFrZg,7,https://p.scdn.co/mp3-preview/d4132883761b42db7247a14d43867a67b3942500?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,In Yer Time,6Xsmi3OPsMx2seBrbLT68t,The Britanys,6xZ20BMRVEQHBbojeiom1x,In Yer Time,1y8C8prJgE2ppCyIZm0mnL,13,https://p.scdn.co/mp3-preview/938318fd3a0457d6b4db1a2f90cd147e526230dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Pristine Dream,4eZ3AUZnW1Yx48TqvL1Vcl,Thyla,0L6tY7VDHwGDhx3T989SAJ,Pristine Dream,7fHEk1YHgfoKDYemRdPGmO,14,https://p.scdn.co/mp3-preview/8ec53ef281ab65739039d3a3b6e703e93d83a869?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Don't Go,7GgxcaJ4awejMjBAyMIqyV,Moaning,3CUxaEfS61oOgusURYoP48,Don't Go,4h161nbtKLfaXcrvTnQRj7,0,not available
14,Somebody,4KaNMUsaWV2wNmO8mZd90q,Dream Wife,2DaP4uXwKOXAaD77XokW9a,Somebody,76h9Q9JPqJJu8BAMR0Hg0h,16,https://p.scdn.co/mp3-preview/c812d9a65e29b383ab7cf0c9eb79c869fc99f6f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Boxes,3hYi6RGpxMSsKP5UPMQGCl,Darcie,5KWkx2RtGNcPOLBjYNE3HE,Boxes,6SxSF8oshQ7mxITNqGvH7M,9,https://p.scdn.co/mp3-preview/844b88b4cea409c524e66560281093f8b6ca92cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Heavenly War,1QUuEl0qwSqH6vcvrFrNeP,Sea Girls,45FqwUG4hTT6d39r2HUsUe,Heavenly War,4XdEh72edyHlq2A0X5CbbQ,46,https://p.scdn.co/mp3-preview/dcd451e5f28b8f0a79b0a90520d41a75c5a8e3ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Jungle,6t1ahr2f1t9iSjjNFwFb4C,Tash Sultana,6zVFRTB0Y1whWyH7ZNmywf,Notion,7JV505O1I9Sc3uHtFEFtkf,69,https://p.scdn.co/mp3-preview/ca84c3001da472c3440f56b3057a31569511bf01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
