Ye Sees Ghosts,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,583,nme.com
1,I Thought About Killing You,6EuE9M1viu9gkdFSafia9o,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,ye,5EBGCvO6upi3GNknMVe9x9,4,not available
2,Feel The Love,3aUFrxO1B8EW63QchEl3wX,KIDS SEE GHOSTS,2hPgGN4uhvXAxiXQBIXOmE,KIDS SEE GHOSTS,6pwuKxMUkNg673KETsXPUV,69,not available
3,Yikes,2r4JRwcbIeuAzWjH4YXlLs,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,ye,5EBGCvO6upi3GNknMVe9x9,11,not available
4,4th Dimension,6JyEh4kl9DLwmSAoNDRn5b,KIDS SEE GHOSTS,2hPgGN4uhvXAxiXQBIXOmE,KIDS SEE GHOSTS,6pwuKxMUkNg673KETsXPUV,71,not available
5,All Mine,3qnoOm4fwZPBS116f5hpgF,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,ye,5EBGCvO6upi3GNknMVe9x9,13,not available
6,What Would Meek Do?,5vnuJ8EopkP5dHukpOmT3L,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,DAYTONA,07bIdDDe3I3hhWpxU6tuBp,60,not available
7,No Mistakes,1DdgqEZk4Hqfpl3drdXJun,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,ye,5EBGCvO6upi3GNknMVe9x9,4,not available
8,Ghost Town,6Bg7MznA9X0dIhlAsLyBYj,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,ye,5EBGCvO6upi3GNknMVe9x9,11,not available
9,Freeee (Ghost Town Pt. 2),7GRTrWsP3yo2Fx8umJfA1X,KIDS SEE GHOSTS,2hPgGN4uhvXAxiXQBIXOmE,KIDS SEE GHOSTS,6pwuKxMUkNg673KETsXPUV,64,not available
10,Wouldn't Leave,3dG6tjetoR4GMmUGZUprLt,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,ye,5EBGCvO6upi3GNknMVe9x9,6,not available
11,Reborn,4RVbK6cV0VqWdpCDcx3hiT,KIDS SEE GHOSTS,2hPgGN4uhvXAxiXQBIXOmE,KIDS SEE GHOSTS,6pwuKxMUkNg673KETsXPUV,76,not available
