Indie Christmas Songs: 60 of the best,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2345,nme.com
1,Christmas Wrapping,4X2ZMBUqamnAmVhyliLuec,Summer Camp,687094MtNCTh262Otm1LOD,A Christmas Gift For You From Moshi Moshi,1U4GkkVM8gk4WzBLxdNfR6,2,https://p.scdn.co/mp3-preview/0c905115126178bf8b12c211c31618d7eb9598d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,I Wish It Was Christmas Today,0PHOkI70DXxOyPqQ6a7wQz,Julian Casablancas,1rAv1GhTQ2rmG94p9lU3rB,I Wish It Was Christmas Today,409ST2qM9KvT8OFIYPMI5w,12,https://p.scdn.co/mp3-preview/0c4deae90ba0d6f7f84d72c82a84afb1e3d08f1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Goodbye England (Covered In Snow),7KMd4njKt3hOh2T2IC0Zzn,Laura Marling,7B2edU3Q7btJoNsoHCNohM,I Speak Because I Can,7x98osNfh0aUookqE7MMQ1,39,not available
4,O Come O Come Emmanuel,1Yqfoical6OdSyhKAPRZI3,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,Songs For Christmas,6ZCbYO3B5eslkY3zHdss4A,25,https://p.scdn.co/mp3-preview/cefb87d8c02aaef1f313f3531502d9f4fa188334?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Just Like Christmas,4zMP6aieSmWQNFdp3O4Owv,Low,0wz0jO9anccPzH04N7FLBH,Christmas,1SITmIj0Gjx12n077CU0XC,29,https://p.scdn.co/mp3-preview/eff126d05904c7c7eeca2aebf360393e6fb35397?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Black Christmas,4KBMP1TjinUxc6HAZZU51L,Poly Styrene,13atKTjsSA6qCKesNBBQXq,Black Christmas,3AiM0vW6bds2RNDKIgHZY9,7,https://p.scdn.co/mp3-preview/e5910a74fc13c51c9d8a2d74b716cc46574913b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Lonely This Christmas,13GR8jJ5zO2zj3bP4UIyb4,Lucky Soul,48knXQMn9kKjStQLAiOX1Y,Lips Are Unhappy,4Tzl09FW48nUDMZa2sT9SF,4,https://p.scdn.co/mp3-preview/e9a539d6c60c7164f7c8d1f4273117781de4ee7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Christmas Was Better In The 80's,4qDTEW5gjiEU3zBmFvxSFv,The Futureheads,3TBfn8PtXr42OrTPaoC3E8,Christmas Was Better In The 80's,5bewr8CqRTVMLSZtStb8kT,5,https://p.scdn.co/mp3-preview/90c4ed914b822a150692ad793345ece2a29a579e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Kindle a Flame in Her Heart,0vfzMfk0XSOzpkPRlrvWrV,Los Campesinos!,6FlOCziOXI157pvUREAh3E,A Los Campesinos Christmas,0zbKE8wc2eDJre2gP5Zyc8,9,https://p.scdn.co/mp3-preview/cbc74669b3bd676cefc61403523912a55ac04c5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
