The ultimate St. Patrick's Day playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,37,nme.com
1,Linger,1aLNpg2kKvUncflV8xE5AA,The Cranberries,7t0rwkOPGlDPEhaOcVtOt9,"Everybody Else Is Doing It, So Why Can't We? (The Complete Sessions 1991-1993)",6AR5l9eEiU5gMPv2wT1L9A,18,not available
2,Beautiful Day,0gzqZ9d1jIKo9psEIthwXe,U2,51Blml2LZPmy7TTiAg47vQ,All That You Can't Leave Behind,7a5U0GPoAvT3gvEY66FRuN,73,not available
3,The Irish Rover - feat. The Dubliners,6llRbFSnZvae19haB0oZWw,The Pogues,2wzMOQwNT6ZvVB4amvhFAH,The Ultimate Collection (with bonus tracks Live At The Brixton Academy),5b91NmXdJyoz5p9Bv1p7hZ,37,https://p.scdn.co/mp3-preview/42855e322a85e8ad0045cafd1d90a9f8a4d8a03e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Charlie Brown,5QwAIKnwgEvMlEXzGZIw2E,Rejjie Snow,3lLHpTOJ11tWiUNGYN14gt,Dear Annie,16bkk7YWytTk5I3VPMU4mv,49,https://p.scdn.co/mp3-preview/d262d7863607280e09fc879dc98d2768fa4a90d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Zombie,6xy6jNeNTYwjnKTDzMyHw2,The Cranberries,7t0rwkOPGlDPEhaOcVtOt9,No Need To Argue (The Complete Sessions 1994-1995),2KsgTeLQXz7yDV1joGOd2L,22,not available
6,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,Van Morrison,44NX2ffIYHr6D4n7RaZF7A,Blowin' Your Mind!,7dsWupQRlFuhG8FGiQAUjC,81,https://p.scdn.co/mp3-preview/cb2b0096b08796c0c1cfeb31b9a9802ce0a3b44a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Whiskey In The Jar,0PkFrLqWXcVkrR2sjtRa8f,Thin Lizzy,6biWAmrHyiMkX49LkycGqQ,Shades Of A Blue Orphanage (Deluxe),2nchbGfzbK3Z11Cvuwk9SC,5,not available
8,Nothing Compares 2 U,3nvuPQTw2zuFAVuLsC9IYQ,Sinéad O'Connor,4sD9znwiVFx9cgRPZ42aQ1,I Do Not Want What I Haven't Got,34hQFIwGTLf03BZQmGL0iy,72,https://p.scdn.co/mp3-preview/d50d7c8ec55e72b1fef322107cc76ac5ade9c1b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Flowers,6i4SkbWVHe0pEP9PrreQ7A,Hare Squead,3OqgnoaUHWX4ih4oAL0zzQ,Flowers,6219jeryZvGsnVSZj2vQj3,2,not available
10,Shining Light,4daraBRKwKGEA6dwom2DqG,Ash,2evydP72Z45DouM4uMGsIE,Free All Angels,1V9N1HV53xOfL2ebYXxkOu,40,https://p.scdn.co/mp3-preview/4ede07e12813a5f96bfb275915616671f06776c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Something Good Can Work,4gLKwyeBDtXoqe5ev9QcqP,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Tourist History,4V1rQRHuuOWs8fXRl16OMY,65,https://p.scdn.co/mp3-preview/7717f734cc51035b1d1fd7664acaabf54ce5beaa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,"Irish Blood, English Heart",7mDBNErx9qlyZcktHYrzZi,Morrissey,3iTsJGG39nMg9YiolUgLMQ,You Are The Quarry,2fx319btAq5glC9N6tQ8Wr,11,not available
13,Runaway,6csX1JjmeoLhGqMBXGnZF0,The Corrs,1VbWUxZTRNY2gw3qZ1tg9W,"Forgiven, Not Forgotten",4acB71ZhsfYGdTdqdbpzLK,63,https://p.scdn.co/mp3-preview/546052ca252b524a8fcd6f0d79826fd833435f4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Faded Beauty Queens,7Jya6fTvHqXLlf5CNIHorl,The Thrills,0tYc0gVOzssZmLpVO6wh7L,2002-2007,0uIhgOc96lEIZKAugQfsuU,10,not available
15,Dirty Old Town,0qH487xSz8Z6Xk4kyOQkbG,The Pogues,2wzMOQwNT6ZvVB4amvhFAH,Rum Sodomy & The Lash (Expanded),2wRH4pcI8TIQFCK1MeByWO,58,https://p.scdn.co/mp3-preview/7310c56b330258b830e714bceaadd1f3535babc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,I Don't Like Mondays,78lJEojkdaVbQRkFOTNMKG,The Boomtown Rats,40oYPr305MsT2lsiXr9fX9,The Fine Art Of Surfacing,0E6664ABwf86RLYhJGaMFn,16,not available
17,Baby Please Don't Go,5HzojL2jK5QT1Gp2txVW2s,Them,5BaHqGtf6UAZnHfqdPaTDA,Good Morning Vietnam (The Original Motion Picture Soundtrack),13sP6bO2bpaZ737R5Ze3ho,0,not available
18,Mysterious Ways,7FOZKzyMlqKMOua5aehMUa,U2,51Blml2LZPmy7TTiAg47vQ,Achtung Baby,3hErePSImi79vYHrSmypGw,2,not available
19,Dawning On Me,1widQ9TODdm2HQT95lgfQg,Villagers,2m1l9MLSslzup4vvokKgvQ,Darling Arithmetic,1hrv3F7Fbi9gMPkkcwCxRG,50,https://p.scdn.co/mp3-preview/8908002b204992805ef42f174ede3830f71b42ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Bear Claws,44y7WtFqzaCW3j8MTA2pfy,The Academic,3VLf4DlBTN2ZRwygS3TNti,Tales from the Backseat,3ck3Tj8c6B7TA6ugtaQsyj,57,https://p.scdn.co/mp3-preview/059f4ad13e73b6bb5d47c04acdaed79ef36aafe6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Only Shallow - Remastered Version,67jatXAtqVqAntRWTgLgDy,My Bloody Valentine,3G3Gdm0ZRAOxLrbyjfhii5,Loveless,20YQiWvyD8Yi7Xge7ukVrm,4,not available
