NME's New Bangers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5357,nme.com
1,Extra-Ordinary,3NIlthnrsUqZxpSv6oqhxH,Public Practice,5iIR0tru2tKI6NPIYUJjkf,Disposable b/w Extra-Ordinary,4TY50VDzGjkdoDdzyORwPR,15,https://p.scdn.co/mp3-preview/3d4a889ec86e284b546c32f5e6826d5f3b0d77bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Truth Is Not Punishment,0qERA2NcJvfihrEZcpCHlc,BODEGA,3lnWfdMG9U0oVMC15SEbB5,Shiny New Model,3JFcv6e0ozCIZiTwG0J3TU,20,https://p.scdn.co/mp3-preview/54ab85ad069a02d1095813b84704375d6614e8da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,The Motorist,4Lkc8FuT8YxeiXiq37kjG6,Nation of Language,5JWBow4ywgKNQ5HBxY8hcz,The Motorist,2NzPdQ5ofp8dgbjaqs4jmL,24,https://p.scdn.co/mp3-preview/935b65bcadc0724bd1c7418978c121ed09c286bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,All My Friends Are Drunk,4FAPbxzg1MXolpEPtfQ7Zx,Brooke Bentham,6c1CljS2C5YB6k7INEUs0A,All My Friends Are Drunk,03aWDIuWlUlVVqY3cnQjEb,24,https://p.scdn.co/mp3-preview/83245e2d794b36874f73a129d98f229ee0fb11ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Tonight,3XwHRRUnxAZGYPTWA0YV2S,Katy J Pearson,6xBsaFua2lgAUlNv8Yh0nQ,Tonight,6qYJMpMw7HeOkXVJZPgEac,0,https://p.scdn.co/mp3-preview/5e32d49744702cc4479bf60417539ee5c48f710c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Dusk,2XxX4oQeUyZKaccvVLRHck,Jimi Somewhere,5rXanKVc707nhQmW1Is2pB,Dusk,2qNGZ0KcmpFHbCkZX0KKns,42,https://p.scdn.co/mp3-preview/63dae035d5cf4d7e271862e2b7a06c0d248a50c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,hello!,6CFEiKms2260GexcAq7LeP,ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,hello!,3GNgTISglWHatZe8kUKpaI,51,not available
8,Won't Let You,1DvbkyyN4jCcffDbD7mJEC,MorMor,63vaeIIBKIe9zT91EORVbr,Won't Let You,3JxGyoJImNtV1sYpedUcB0,53,https://p.scdn.co/mp3-preview/36f0ab98d759fbd40b2eb1a9970e371352442844?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Outside,7goAKBwzFFVCKpu5Krjtu9,Hana Vu,3diDUq8QMCCtx8a4Jy42aO,Outside,4Mluwaakr4sHnJdljCLQ71,28,https://p.scdn.co/mp3-preview/879226687f4772e590a05a323ab926ec99136273?cid=fa83a2fec7c440b7a2795d600d6b2c7e
