Reading & Leeds 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,172,nme.com
1,TOOTIMETOOTIMETOOTIME,6wvlEKW2qxucJSBXYpMV2P,The 1975,3mIj9lX2MWuHmhNCA7LSCW,TOOTIMETOOTIMETOOTIME,3fH7e8asHcmQ1GhcktimTQ,8,not available
2,Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Goodbye & Good Riddance,2viWIVEItaDlFH2RXWKwS7,21,not available
3,you should see me in a crown,6vsV4D8BM6PioRr1UOx0n2,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,you should see me in a crown,6K7WeaA2R5wPU9hfuE8Zfb,21,not available
4,There's a Honey,7x340DZyQlxuXZOsBHT7kd,Pale Waves,0wOej91SVqB1zcYkW6xUtA,My Mind Makes Noises,409ucdW5uJn96fKCsHWPDg,55,https://p.scdn.co/mp3-preview/5b3fbf8b423c2dfd13bf05bbeff9c22360c184e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Everlong,5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,The Colour And The Shape,30ly6F6Xl0TKmyBCU50Khv,78,https://p.scdn.co/mp3-preview/4a2dc307a71393a695d69b16407cd73e1e234941?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Learn to Fly,5OQsiBsky2k2kDKy2bX2eT,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,There Is Nothing Left To Lose,28q2N44ocJECgf8sbHEDfY,75,https://p.scdn.co/mp3-preview/a03a546e8dfee4c84098a52d3c3f2b4ca524ae59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Hall of Mirrors,5sx6TqoOIrDJ61mGlX4Lar,The Distillers,7MlyHuGRHi31yYlrttDqgT,Coral Fang (PA Version),23MOdUJkZlG971DVuEINMr,48,https://p.scdn.co/mp3-preview/7a4a72bb71d97295a685125aea1eefbb287e7525?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,City Of Angels,0sAIljILdEo8Ku4tPLQ7dF,The Distillers,7MlyHuGRHi31yYlrttDqgT,Sing Sing Death House,4VrINRcJyLcENNLiDbCoBi,55,https://p.scdn.co/mp3-preview/37ab4f31b575598fdff577d0fdee339c5b699f24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Good Grief,1oxOiOjsi7plNOZEhoPLPj,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Wild World (Complete Edition),1qKjUIVG8KmtYceDBWjfqE,63,not available
10,My Lover - Radio Edit,0A9y4c4dkI68IEnsRGtWil,Not3s,40NRiKuuhj1pgGYppptlBO,My Lover (Radio Edit),5Oau1mbhTC2Dj6QvxNAJE4,65,https://p.scdn.co/mp3-preview/c0eab882c55f8e3ee51773e6a1dd7e2909dd1dab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Love It If We Made It,7MRY4VpCuZvBmFda6ZCk2G,The 1975,3mIj9lX2MWuHmhNCA7LSCW,Love It If We Made It,0CZ4kD2nQNuaPXc16qgAky,4,not available
12,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Blurryface,3cQO7jp5S9qLBoIVtbkSM1,84,https://p.scdn.co/mp3-preview/0e0951b811f06fea9162eb7e95e4bae4802d97af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Stacy's Mom,373kL6gycElmvrcrnL9tOa,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,I’ve Never Done Anything Like This,1NhpYENa4sMgbeaekqbZqd,48,https://p.scdn.co/mp3-preview/b89c449e63851b94e25a57a14c162a22ce0c818c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,She Said,3ZJZjjKFxTqVGJ8QIYKMjp,Sundara Karma,4fgXfJCQnK6c44u4KzAtQP,Youth is Only Ever Fun in Retrospect,3Hua29YXoJu25qVEhmssFb,60,https://p.scdn.co/mp3-preview/084afcd06f5fdd2a0b6b5ae03b18aa97ac79cc59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Black Magic,243b3t0P416vtdmxRllHEV,The Amazons,7243txmysJ4KbRmH8UAMKO,The Amazons (Deluxe),2vsawVLAVvyQ8Oqu190Qbo,59,not available
16,"I Love You, Will You Marry Me",0dqrAmrvQ6fCGNf5T8If5A,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,21st Century Liability,1p64R5tjTpC2oH24YLdQgq,65,not available
17,What's Wrong,6U82eC2OHyiQM4Wr5Bejar,PVRIS,6oFs3qk4VepIVFdoD4jmsy,"All We Know Of Heaven, All We Need Of Hell",0jLafOidtMogAbdIjOXXIe,53,https://p.scdn.co/mp3-preview/f3639616095339331216478a113fc388781f8df4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Charlemagne,7H5WVBQdSnJ1zmu8JoD6pg,Blossoms,22RISwgVJyZu9lpqAcv1F5,Blossoms,7wCgsWaxfGis7NAHYn8JFk,66,not available
19,16 Shots,2169IKAivSUUFGcedGASXc,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD,16 Shots,7fhtLker4wksK42E4hyhxK,74,not available
20,Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,246dkjvS1zLTtiykXe5h60,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,88,not available
21,Curious,5btaVjrLBxTvXNmCv5DrW2,Hayley Kiyoko,3LjhVl7GzYsza1biQjTpaN,Expectations,2oRkkW6ZudviRBd6mx4CfL,63,https://p.scdn.co/mp3-preview/13d09cbf5a038b1f1ca674a24eef05f22763c058?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,It's Not Living (If It's Not With You),0D4yVl9Pn45xW2s63MFCmT,The 1975,3mIj9lX2MWuHmhNCA7LSCW,It's Not Living (If It's Not With You),5idWJVJgo5Wa7wFGsB3Kjj,12,not available
23,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,246dkjvS1zLTtiykXe5h60,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,89,not available
24,The Pretender,7x8dCjCr0x6x2lXKujYD34,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,"Echoes, Silence, Patience & Grace",3ilXDEG0xiajK8AbqboeJz,78,https://p.scdn.co/mp3-preview/6aba2f4e671ffe07fd60807ca5fef82d48146d4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,when the party's over,14JzyD6FlBD5z0wV5P07YI,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,when the party's over,2DfPdWWXknoGKrfa2Eicyw,31,not available
26,Anyone Else,3Yc3DI66pY5AVHmfgYQtZh,PVRIS,6oFs3qk4VepIVFdoD4jmsy,"All We Know Of Heaven, All We Need Of Hell",0jLafOidtMogAbdIjOXXIe,51,https://p.scdn.co/mp3-preview/4531354213fb2d2adc3cafbeec5d2e4b91f68fca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Sit Back Down (feat. Maleek Berry),3zHvNZPykFJF9ZsExlHHyt,Not3s,40NRiKuuhj1pgGYppptlBO,Take Not3s II,6bdoXR3dL58zoYjiUwhR3r,58,https://p.scdn.co/mp3-preview/9963371881049cfb406c422d8773249c7f135765?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,There's A Reason Why (I Never Returned Your Calls),5pVbLYTdihSKd8Kylfhwa7,Blossoms,22RISwgVJyZu9lpqAcv1F5,Cool Like You (Deluxe),0yO5Mwu2oDdGbeRFpAaBGa,65,not available
29,California,1Tc3kbOaPzpY8y9phWaVDx,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,21st Century Liability,1p64R5tjTpC2oH24YLdQgq,67,not available
30,My Blood,5HeKOKc4phmLn8e4I7EkzD,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Trench,621cXqrTSSJi1WqDMSLmbL,76,https://p.scdn.co/mp3-preview/b8cd6218be7373a5af5036908761c66c8cf251da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,The Sound,7h6lpVuSGPW6RNjDXKpYDh,The 1975,3mIj9lX2MWuHmhNCA7LSCW,"I like it when you sleep, for you are so beautiful yet so unaware of it",12zl1WmHPFCSyKYbL4vBZn,68,not available
32,Lean Wit Me,29tc0GbW0pTSBZSCZF3NWk,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Goodbye & Good Riddance,2viWIVEItaDlFH2RXWKwS7,9,not available
