'90s hip hop - 20 tracks from the golden age of rap,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,171,nme.com
1,The World Is Yours,7G3lxTsMfSx4yarMkfgnTC,Nas,20qISvAhX20dpIbOOzGK3q,Illmatic,3kEtdS2pH6hKcMU9Wioob1,62,https://p.scdn.co/mp3-preview/012abbf7996276d2f38b3c5102aa57bf4fe100eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Regulate,68pWLkspLFIfIPPtzyTkQy,Warren G,2B4ZHz4QDWJTXPFPgO5peE,Regulate… G Funk Era (Special Edition),5qkK1yRfXz2JBpVZdKQHEv,17,not available
3,C.R.E.A.M.,119c93MHjrDLJTApCVGpvx,Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk,Enter The Wu-Tang (36 Chambers) [Expanded Edition],3tQd5mwBtVyxCoEo4htGAV,75,https://p.scdn.co/mp3-preview/9afc70b5681f6df86be8af7747372979302c43e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Shimmy Shimmy Ya,3ABG1UQTk0eLYUAeWkmfMi,Ol' Dirty Bastard,50NoVNy9GU1lCrDV8iGpyu,Return To The 36 Chambers: The Dirty Version,4tI4WJdTN5MzDMRMl2i7VR,68,https://p.scdn.co/mp3-preview/b395f63d0ee72d9b63a5da17564d56828c22cc19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Let's Talk About Sex,4IC7QVcYO9Vuu35Oj5eQuM,Salt-N-Pepa,7wqtxqI3eo7Gn1P7SpP6cQ,Blacks' Magic,0H8s4eKxfgsAWQy7uKha1w,2,not available
6,"Nuthin' But A ""G"" Thang",1hChch5C89fE0J03esBY9X,Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,Straight Outta Compton (Music From The Motion Picture),0w6dUHaTMPcoGffQixgfCc,0,not available
7,Hard Knock Life - The Ghetto Anthem,0j4aETwcJzXMnYA8ox92QH,JAY Z,3nFkdlSjzX9mRTtwJOzDYB,The Essential Urban,2mTdheTqe50o7qF3Jm6vQX,36,https://p.scdn.co/mp3-preview/a005b1ab27e72ea17beec4a8fad1e76a05c357ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Sabotage,0Puj4YlTm6xNzDDADXHMI9,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Ill Communication,6lfjbwFGzQ6aSNP1N3JlT8,72,not available
9,Concrete Schoolyard,2FL7ilGkBOrKVck7msHRAM,Jurassic 5,6wFId9Jhuf9AKVzWboOj2B,J 5 (Deluxe Edition),0VDvvaU5kcxVj8Fs64IgeE,4,not available
