Best debut albums from 2008,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,125,nme.com
1,Cassius,55SfSsxneljXOk5S3NVZIW,Foals,6FQqZYVfTNQ1pCqfkwVFEa,Antidotes,4FIDNlGVXZ4pCxdMjJXHoE,51,https://p.scdn.co/mp3-preview/aab15643878211e5a78b175aaf1ef81c73649c49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Electric Feel,3FtYbEfBqAlGO46NUDQSAt,MGMT,0SwO7SWeDHJijQ3XNS7xEE,Oracular Spectacular,6mm1Skz3JE6AXneya9Nyiv,77,https://p.scdn.co/mp3-preview/dba49cb2290710a45cba747b0a6cf3f9c869ecfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Just Dance,5IC6hMJ8twaEYLF0gMknMb,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,The Fame Monster (UK Deluxe),1X9AFMWRGElyFpySNcyI4x,37,not available
4,Mansard Roof,22xXzpcl3VPGyRy8xYdBhB,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,5oXBmKbyJeQftWMo87cQ9F,52,https://p.scdn.co/mp3-preview/6131274c0f8aa1a7e74fa8ab3decd0991cb59bb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Standing Next To Me,03F0Hspx6mEkiiYqEzVu5u,The Last Shadow Puppets,2Z7UcsdweVlRbAk5wH5fsf,The Age Of The Understatement,2y3Rm0cT1xbf2NoTQwKv99,55,https://p.scdn.co/mp3-preview/9104ec1affd8507d35e5889e7ee95c8c87e4c2f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Galaxy Of The Lost,4EyFu1iP0WHaPYymNdWPUA,Lightspeed Champion,0Kznf00rXvzkXOoAobg59I,Falling Off The Lavender Bridge,3Aq97Ujxj5xG1Zqhj0bptN,22,https://p.scdn.co/mp3-preview/2674f1cf370bf33ceff0c03059d85bd16d2774df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Flume,12DA0XIh6NqwthSOQ4d9af,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"For Emma, Forever Ago",2JLDMOX168DhnueBb946kw,57,https://p.scdn.co/mp3-preview/d3a18e3462a8f8242a229ff870f1a07d068f7ecd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Ghosts,3LHg768dEKqJKht2uPTlVR,Laura Marling,7B2edU3Q7btJoNsoHCNohM,Alas I Cannot Swim,1P3B7c85W4mTXHk0fafGw2,54,not available
9,Focker,6hILOEPNyW7dMt8jERroz7,Late of the Pier,5ZBQea34QfBgEDkcGEKK2b,Fantasy Black Channel,3ztYSYN5zQE9I6Vu0TgVrz,31,https://p.scdn.co/mp3-preview/289e872ad9a6129a6e0fe0b8132bc86af39bc846?cid=fa83a2fec7c440b7a2795d600d6b2c7e
