The Ultimate Streets Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,90,nme.com
1,Turn the Page,42F4K181FFdhkbDAaoxDye,The Streets,4GvOygVQquMaPm8oAc0vXi,Original Pirate Material,0hkZGxfsFypXbjq15hM6U9,49,https://p.scdn.co/mp3-preview/4c90e5ba3f9318d137e3c42e0424957499277208?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Let's Push Things Forward,4qpfuBm06Q5ZR7Tfu5hiEn,The Streets,4GvOygVQquMaPm8oAc0vXi,Original Pirate Material,0hkZGxfsFypXbjq15hM6U9,51,https://p.scdn.co/mp3-preview/56f8d34bb6ec4412703ade705fc7a5cc8efe9cc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Blinded by the Lights,6DoenX36UcAKSp6wR9UKxM,The Streets,4GvOygVQquMaPm8oAc0vXi,A Grand Don't Come For Free,365ETCJBUmEWroc4UGBS1u,56,https://p.scdn.co/mp3-preview/4449bc63f491d811e0a3437d2bd8d50dd54eb6f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Roof of Your Car,1LlJvFMIFUp1FdUTOhveP6,The Streets,4GvOygVQquMaPm8oAc0vXi,Computers and Blues,25ngUlBEwEk6ABTtwZk90B,33,https://p.scdn.co/mp3-preview/9b7050fa3f1f3146920d74d135ef0310451f2017?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Could Well Be In,0CAj7Re6tu6LhHRU3DZZUh,The Streets,4GvOygVQquMaPm8oAc0vXi,A Grand Don't Come For Free,365ETCJBUmEWroc4UGBS1u,46,https://p.scdn.co/mp3-preview/4b2c4a0c1f6be24c2b03f96b083add8083e030de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Don't Mug Yourself,2phF2CRhoSnpJUxxvHUf8Z,The Streets,4GvOygVQquMaPm8oAc0vXi,Original Pirate Material,0hkZGxfsFypXbjq15hM6U9,49,https://p.scdn.co/mp3-preview/f845fe875e9576e4e0e11007e2b777b75c7178d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Weak Become Heroes,4H45wRMStWCWwCLQ8TEz1z,The Streets,4GvOygVQquMaPm8oAc0vXi,Original Pirate Material,0hkZGxfsFypXbjq15hM6U9,49,https://p.scdn.co/mp3-preview/df4fb04a9d7276f44fe28ca3fd39b9621d82927a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Fit but You Know It,312A8WfROSLvZbMDHBUPDp,The Streets,4GvOygVQquMaPm8oAc0vXi,A Grand Don't Come For Free,365ETCJBUmEWroc4UGBS1u,60,https://p.scdn.co/mp3-preview/eaf42fc26b1ed6b5b7489e7f23e4126fa5307bf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Never Went to Church,1UHDC8RXrTHwUIINrJ4Cql,The Streets,4GvOygVQquMaPm8oAc0vXi,The Hardest Way to Make An Easy Living,3ew3fd33Lv0PB0ZbgqIbng,41,https://p.scdn.co/mp3-preview/543828c26a68859786f60580397cd0235f5742f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Has It Come to This?,35zEswqAFI1D41cmoBXOFK,The Streets,4GvOygVQquMaPm8oAc0vXi,Original Pirate Material,0hkZGxfsFypXbjq15hM6U9,56,https://p.scdn.co/mp3-preview/800c9013cc5f89c54bc8ee7805d017c3e3704c4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Dry Your Eyes,3PEx44by2Pe7E6M8tgqE5N,The Streets,4GvOygVQquMaPm8oAc0vXi,A Grand Don't Come For Free,365ETCJBUmEWroc4UGBS1u,55,https://p.scdn.co/mp3-preview/7331ac618622630033c5ffd3c99e686ef5b6982d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Too Much Brandy,1nx3Wi6wql11jWFKNWpZc9,The Streets,4GvOygVQquMaPm8oAc0vXi,Original Pirate Material,0hkZGxfsFypXbjq15hM6U9,39,https://p.scdn.co/mp3-preview/aeb878727478254763bfa75aa3bfc9bd82ac9464?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Blip on a Screen,0ZxFjUvSpB5lHwIoNELFh3,The Streets,4GvOygVQquMaPm8oAc0vXi,Computers and Blues,25ngUlBEwEk6ABTtwZk90B,26,https://p.scdn.co/mp3-preview/595d0ff57d645dbb6e5a79523715cae42fb196e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
