Freshers Week: New Music that'll dominate your new digs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,50,nme.com
1,Bestie,638s8Qi75q1pXjuH86fJX7,Yungen,3ijd7T9kkzgvfx1az6Z3wj,Bestie,7JlEQYvZ3DU78w1N2Yzb4T,62,https://p.scdn.co/mp3-preview/975b2d0710218bf222e3461f965e3754072d0d53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,"Broke Days, Party Nights",4VbphcKBtUo6m8BWNAQndZ,Ecca Vandal,0NhKCHTPG7Sz62S3zxV1Cf,"Broke Days, Party Nights",1FoxnPwM3MwRSAKlnA6nWU,0,not available
3,Television Romance,5LlwIpdodfpiWp24aFP3Fz,Pale Waves,0wOej91SVqB1zcYkW6xUtA,Television Romance,4QQscMu5C79isOQymmA335,0,not available
4,Overnight,1kgws2l8gsvDhtsVyzWbu9,Parcels,3oKRxpszQKUjjaHz388fVA,Overnight,4j3sdOtrUvam9EaehRzi6B,64,https://p.scdn.co/mp3-preview/361673bee02f370c642d42f64ea1516746dc6be0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Don't Kill My Vibe,4WdCxlUyj3TCTBaJx5s9tF,Sigrid,4TrraAsitQKl821DQY42cZ,Don't Kill My Vibe - EP,1fUJMrFtZMbtDS8c2dklb2,5,not available
6,Tuesday Afternoon,0yfV3LUBvMR3lcG5nIwVQ6,A House In The Trees,7ybXCaa1Cc7rMNDoMZoWzS,Tuesday Afternoon,5i5iK4QlH6HPabVXzgV3rg,37,https://p.scdn.co/mp3-preview/4d5495b05fc300b956c40509b63bc8e7b189968e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Virgo (feat. Pell),3ljd9Mv2oSMxTGHqtmQjfC,Rejjie Snow,3lLHpTOJ11tWiUNGYN14gt,Virgo (feat. Pell),2EwmSdED3gQ5CbLkE0X69F,39,https://p.scdn.co/mp3-preview/469c4ea316f9191d261b0b54af2595d2e2619264?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Something For Your M.I.N.D.,47wq2z7KMHDRnoSMdZODUA,Superorganism,0Wkm45quqfx3NepJpXDvwE,Something For Your M.I.N.D.,2FlD0ta44kkFbIvwa4uDeP,53,https://p.scdn.co/mp3-preview/14e41464fbc4eed0ab4afca7663aa999612a4f14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,On My Mind (Jorja Smith X Preditah),1OxL1FWSEd7QmJoWLRP2NO,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,On My Mind (Jorja Smith X Preditah),471LijcvJ7tV7ePoX4S0RE,73,https://p.scdn.co/mp3-preview/02314e2b78c5087ff9247765e0c5b17813375b5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Me Gusta,1EDkPryAg1Sv2H2WNoKRLJ,Lao Ra,5GDuUaYx3PW3Wa64KxAAAO,Me Gusta,7wQqwg5pST6gc4ZPqhmsuh,0,not available
