Lovebox Festival 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,62,nme.com
1,Pink + White,3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Blonde,3mH6qwIy9crq0I9YQbOuDf,77,https://p.scdn.co/mp3-preview/3ebaac6d4686eea331d448a290941364b047b985?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Blind Faith,5uFNJWnU1imR5jC5FuSLQM,Chase & Status,3jNkaOXasoc7RsxdchvEVq,No More Idols (Platinum Edition),7aot737RLXCnUBTEm2cG1b,5,not available
3,Loud Places (feat. Romy),0Sl8C9oeS3b5Kv9bSvTPDr,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ,In Colour,0AVPusXNzK1jWwefBiPJ5I,64,https://p.scdn.co/mp3-preview/a02b7a8c5ac8af03b0d0446e1e3fcad32940857b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Hold My Hand,58jx3tTuDuzHysC77c0AQd,Jess Glynne,4ScCswdRlyA23odg9thgIO,I Cry When I Laugh,7BEPVoBcHuTLWpcdj8FhM8,60,https://p.scdn.co/mp3-preview/94bf21a26658ea01994b3b6aef3dc94090fd4fc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Don't You Wait,4A3evD9w8QYhXBxqcj16ys,Solange,2auiVi8sUZo17dLy1HwrTU,A Seat at the Table,3Yko2SxDk4hc6fncIBQlcM,48,https://p.scdn.co/mp3-preview/873887aed37ce1e17b0da803a0ab242c353b95b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Upside,6vnoW7wk9T8WyxAsg8pxMz,Kano,50nN8IFD4xA67fI4jYbLV4,Upside,7mTSHAJ8Sn1egZfCrzeV78,4,https://p.scdn.co/mp3-preview/a2aff9fc3eca549f88657ba0ad29e2b4f25c1df5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,My Favorite Part,66wkCYWlXzSTQAfnsPBptt,Mac Miller,4LLpKhyESsyAXpc4laK94U,The Divine Feminine,6f6tko6NWoH00cyFOl4VYQ,74,https://p.scdn.co/mp3-preview/97dadcaa4a600d2e8ad1e28d2e66f04ac051c268?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Human,58zsLZPvfflaiIbNWoA22O,Rag'n'Bone Man,4f9iBmdUOhQWeP7dcAn1pf,Human (Deluxe),1rMmiDKa8V5H9yYTPAbLng,79,https://p.scdn.co/mp3-preview/986d03f0f255aba008564dc6364d8ffc17e46704?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,(No One Knows Me) Like the Piano,5zOnoB8FdZudDcPX4O8WqF,Sampha,2WoVwexZuODvclzULjPQtm,Process,2gUSWVHCOerKhJHZRwhVtN,64,https://p.scdn.co/mp3-preview/2f75e58b437e79666186f10491e391b6fb58f305?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,GOT IT GOOD,2qUZliZ9NHUYIAZqRNe6pZ,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,99.9%,1dZZh7PvVgce1DDsDPzy8Z,62,https://p.scdn.co/mp3-preview/f7a396863fee93198d4d6d0d55d0d2c669452a63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ciao Adios,3EfugazgSddQvzZpkof5I4,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,Ciao Adios,7BaS787qIlgKTMOFR2e91E,67,https://p.scdn.co/mp3-preview/c7b941dd440644eef03bc442c3b977abef82cbe7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Doing Me,7gxwtDx8fPhlgpAKc7xQHX,RAY BLK,0CkbPVBpOwwz9NPPglFKyq,Doing Me,08gjbWavfXTjZOt3FkiiRq,49,https://p.scdn.co/mp3-preview/bd0f5809b5a5227705f41a82052dba6a6d0e2bfa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Bet U Wish,3XFGS2uk0l6neVIXiQ3iYO,RAYE,5KKpBU5eC2tJDzf0wmlRp2,Bet U Wish,4V0XKzcLd9niMqbLw5Sf6O,40,not available
14,Fenlow - Haze 2011 Dub,59myeqTkM9OOZNwkCfCEFP,Ricardo Villalobos,0s2YIpNnjdf0FY4tNrF8Y4,Late Night Collobs,7iUWusuY21uZznbXu2UIwI,20,https://p.scdn.co/mp3-preview/1c9d26c50619221998123be76310fd586829abd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,All I Want,3fjqmsxTWTALNmSFOZxX23,Fort Romeau,5MKqWyqq5CStK7AhkTvzQF,Insides,65O1TmeGXgrhMoBkwsQCBQ,23,https://p.scdn.co/mp3-preview/f43b187f48075665ad355c478729a41704052407?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Heartbreak Diet,6yfrB8WWAbmillptlpihET,Sälen,0NJemRHD1ainpKuFewwkLz,Heartbreak Diet,5poo26Y3D76wdwrxUIDNBa,0,not available
17,Summertime - Original Mix,49PubEYjr226JgABczXokZ,Jamie Jones,4admDxmnri5Zco0xYrJ0ji,Don't You Remember The Future,2mBjBeCO2L7w0zOOrIrNs8,42,https://p.scdn.co/mp3-preview/89bf9868514be1cda959a2c5ad8ba9211bf2ba5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,"Panic, Stop. Repeat!",64bX7xUeyfS4Fek65hNdWL,Seth Troxler,3JkLFcTej6tdwZoQT6Nx4B,"Panic, Stop. Repeat!",7828lc12eZNFvJ8P5NrYGl,22,https://p.scdn.co/mp3-preview/457be5737e63a4150cd543d43d2b22d74449556d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Summertime,20XdEFyaUR9C7aDIdq2OAd,DJ Jazzy Jeff & The Fresh Prince,1mG23iQeR29Ojhq89D5gbh,Homebase,2ELLswCKdQXUWbWxhaAklh,62,https://p.scdn.co/mp3-preview/5ccf82437961f7f4def3ae3322fc1501226f36a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Gabriel,1VpQNXHEd6fKIC3wrz2LoF,Joe Goddard,380fnmlGnkyueBMqGWx2k5,Gabriel,46EfQrh6YIDNSM1oUmVOv7,49,https://p.scdn.co/mp3-preview/bf4e70794255b36cc77dac13d79da332a79f0684?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Thinkin Bout You,5mphdlILgAq3vh1MSvAJTS,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,channel ORANGE (Explicit Version),623Ef2ZEB3Njklix4PC0Rs,72,not available
22,I'll Take Care Of U,1YrDXC5z5rbJnbzCQOjOgQ,Gil Scott-Heron,0kEfub5RzlZOB2zGomqVSU,We're New Here,3tjP8SLyGerhquO9eMOlWy,48,https://p.scdn.co/mp3-preview/cddb59436cd5b4ac87ecd0ee5dbdff63edfa0acc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Where Do We Go,08MbvwVOZdMNESjkoVdXxE,Solange,2auiVi8sUZo17dLy1HwrTU,A Seat at the Table,3Yko2SxDk4hc6fncIBQlcM,48,https://p.scdn.co/mp3-preview/fc4343af1d13440f7786e6833ef5529d5dd90f3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Blood on Me,37el170lJYr5CiWJFk207u,Sampha,2WoVwexZuODvclzULjPQtm,Process,2gUSWVHCOerKhJHZRwhVtN,55,https://p.scdn.co/mp3-preview/edaf9dde74b51128af5108d8f97ca62a37824ed2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Don't Be so Hard on Yourself,1KtVVUM6OkpyOsbVfbMybX,Jess Glynne,4ScCswdRlyA23odg9thgIO,I Cry When I Laugh,7BEPVoBcHuTLWpcdj8FhM8,62,https://p.scdn.co/mp3-preview/508e071166fb8c564b90a1dc6c37f41e6544f077?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Soulmate,2puHJmjL4jvO19aEA7kzcb,Mac Miller,4LLpKhyESsyAXpc4laK94U,The Divine Feminine,6f6tko6NWoH00cyFOl4VYQ,59,https://p.scdn.co/mp3-preview/e7bfd3a83fff2438648263c8111bad9b87ec63c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,All Goes Wrong,3odht0E2TNbWDqypdbJVMZ,Chase & Status,3jNkaOXasoc7RsxdchvEVq,All Goes Wrong,7vMNviVud6byYMK6Y9bigv,3,not available
28,9 to 5,7BDoFaGh2cw6S3dmoHWMdi,Kano,50nN8IFD4xA67fI4jYbLV4,Home Sweet Home,7kimYKvLC03boI5vUyhhKB,32,https://p.scdn.co/mp3-preview/e633ab3e2dca1e558f645456c1fa7302cfcfb67d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,YOU'RE THE ONE,2b4SSorCTQ2VzmllaeWuuT,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,99.9%,1dZZh7PvVgce1DDsDPzy8Z,66,https://p.scdn.co/mp3-preview/ba855fc4a56715e3110abdc7c01f9c330e57d6a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Skin,6y2Kaz9QI01XBKJ8mTb7Pf,Rag'n'Bone Man,4f9iBmdUOhQWeP7dcAn1pf,Human (Deluxe),1rMmiDKa8V5H9yYTPAbLng,70,https://p.scdn.co/mp3-preview/a77a7c4a43cae8a598eecdfcd200ac36f35db3f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Do It Right,4lajYC68T7pJGVGIey962P,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,Do It Right,482K2rejXov03MToosqhdO,55,https://p.scdn.co/mp3-preview/21153722ef1dc1f7dab3f74f09bf3190b0419c1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Hunny,7DNXWL3Go0Ke8Muv48WHYg,RAY BLK,0CkbPVBpOwwz9NPPglFKyq,Durt,1P29D0CPo7YeQnUUL13SEh,42,https://p.scdn.co/mp3-preview/fc6df9aa23f2c75b05deba3927273c40c9b18662?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,"I, U, Us",4IHRqpHPiuzRP65QWwOBaq,RAYE,5KKpBU5eC2tJDzf0wmlRp2,SECOND,18Ti06gaaZwgSil1JXty53,0,not available
34,Taking Over,1nvBoPz0o0Y5WYT5aaoSKZ,Joe Goddard,380fnmlGnkyueBMqGWx2k5,Taking Over,5jEBgUyhPLu3QUoZvbRdCa,61,https://p.scdn.co/mp3-preview/0e9668ea0f832bd02e0de3f38bbb79f22f1d80b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
