NME 100: new dance artists for 2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,73,nme.com
1,Hear This,6dbo1dCjqgVS3XHcnJmOHx,Jarami,1iwseab2dozTUHoF5taAdf,Hear This,7A186wgjFKohuXALsrR0m4,41,https://p.scdn.co/mp3-preview/7abb6a36af44de9b91321a2f47cdd8f07ecd26fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,raingurl,4gRAniZdYF2zVrDUsNC9tU,Yaeji,2RqrWplViWHSGLzlhmDcbt,raingurl,3YtDhWqQOTOT6XD2DQHpBr,66,https://p.scdn.co/mp3-preview/5e721504c2e32fe005d0cdc874543a38c23704a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Take Down the House,3x6bUhwhm9o9bR8C7DnYGH,Promiseland,0QomRj9WxENpZQSoEaQW4W,Take Down the House,4kzVIz4o1QIbuJtxNJxLPT,14,https://p.scdn.co/mp3-preview/1d7b2f6d2f7ac93f9ca4f1bf1c3154c2a8ece32b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Going West,6YcptuI1dhjD3vIH5YBiYc,Park Hotel,4TGkEOaB34bRPrhZD2gjMu,Going West,3XzpvVw6SzPs3x0SLipdVH,18,https://p.scdn.co/mp3-preview/379286597c718d575115e328dd4f7e8fd43fc9ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Falling (feat. Okay Kaya),51jp36wU8YNUDKgpKHmrfP,Vera,0Nj6EN5mur7EJHl0aZuGP7,Falling (feat. Okay Kaya),2CAhBWG9KDa47nMcMIha7o,42,https://p.scdn.co/mp3-preview/e9c0cbaddf08cbdf0c5ea44eb94f9c639807e395?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Life Goes On,1wdxCPFz5KfjT8dfPBdIb8,Keep Dancing Inc,426htfG7DE5S3kgoVCCJUB,Life Goes On,7uEp0Fz96bmbadLGww8ssW,0,not available
7,Not A Love Song,0olvO9l53TxK1j0v4wrC5y,bülow,5vBrKGOjN10BMwB0cJADj4,Damaged Vol. 1,5luaqt3dZNSQUDEV4PbZI7,1,not available
8,Patagonia,48BDsmu8QDmFANGc3F6bd0,Patawawa,5D65DHzw4qysvKA2VJzOtC,Patagonia,4M5JVpVYzGmkYyeNjyfks4,40,https://p.scdn.co/mp3-preview/80202ccb657c084ebecf9ae8b9365ccdf811b617?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Virile,5Yy6KD4PMTEqT2LMZEP5f9,The Blaze,1Dt1UKLtrJIW1xxRBejjos,Virile,6Z1umlkz9Kb08B2Itxn3yr,12,not available
10,Crazy Dream,7LNI08YZRk67lg7KaPABfg,Tom Misch,1uiEZYehlNivdK3iQyAbye,Crazy Dream,3QaujyUDkMoPwWLF79ibGC,62,https://p.scdn.co/mp3-preview/e5bf5522539fa5757a4ca13d2c2f7e3bc1ea43ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Better Sit Down Boy,4l3yM2aEkcijkEkZv33lLd,Confidence Man,0RwXnFrEoI8tltFvYpJgP6,Better Sit Down Boy,3dc8uVvkMkwvJVgBeXY0xP,20,https://p.scdn.co/mp3-preview/796a28326c229a8ae808f63fb79bb26b3d47f708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Face Behind Her Cigarette,4VwHNTnSBH6hE8YFfvRNDT,Boy Azooga,4S2f4BosAW2oF9AfGEK8ZL,Face Behind Her Cigarette,6hmvdDJoThB1pzd89pJB5M,24,https://p.scdn.co/mp3-preview/a11537ad9c67890bb5339957d3e71b3e5f4865b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Overnight,1kgws2l8gsvDhtsVyzWbu9,Parcels,3oKRxpszQKUjjaHz388fVA,Overnight,4j3sdOtrUvam9EaehRzi6B,64,https://p.scdn.co/mp3-preview/361673bee02f370c642d42f64ea1516746dc6be0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
