NME Readers' dream Arctic Monkeys setlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,354,nme.com
1,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,AM,78bpIziExqiI9qztvNFlQu,83,https://p.scdn.co/mp3-preview/73e00a0a59c897b16d0fe30df43f7aeb2997079d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Brianstorm,7f9I5WdyXm5q1XqnSYgQZb,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Favourite Worst Nightmare,1XkGORuUX2QGOEIL4EbJKm,67,https://p.scdn.co/mp3-preview/ba5e747243f864e7569f8ea5b1295b69f6d310d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Dancing Shoes,0hAMkY2kwdXPPDfQ1e3BmJ,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,"Whatever People Say I Am, That's What I'm Not",50Zz8CkIhATKUlQMbHO3k1,62,https://p.scdn.co/mp3-preview/f1b7b42a5ed11ca128cc190c1cbe8bb2fa98525d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Don't Sit Down 'Cause I've Moved Your Chair,3czdA0j4iaLDJJCoT5D8iP,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Suck It and See,2ym2jcqckXqWeTDoxz3Kst,61,https://p.scdn.co/mp3-preview/f92859fa151d0394a088bcb65c1df8099e9b9ff3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Suck It and See,0LxeKwg9t7HOnyfv4bTALT,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Suck It and See,2ym2jcqckXqWeTDoxz3Kst,61,https://p.scdn.co/mp3-preview/99be5a16482eff3b70c5fa7ba7157d162df1973e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,No. 1 Party Anthem,5TTGoX70AFrTvuEtqHK37S,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,AM,78bpIziExqiI9qztvNFlQu,66,https://p.scdn.co/mp3-preview/ac3a42802a9c96fc171481fe2e368014794fd1dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Fluorescent Adolescent,2x8evxqUlF0eRabbW2JBJd,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Favourite Worst Nightmare,1XkGORuUX2QGOEIL4EbJKm,76,https://p.scdn.co/mp3-preview/cb8560b45aa0d4028e94a2648686c460641074d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,The View From The Afternoon,5eyTC5GZzpzlN7YRO9AoPf,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,"Whatever People Say I Am, That's What I'm Not",50Zz8CkIhATKUlQMbHO3k1,59,https://p.scdn.co/mp3-preview/7b61c43d42046afc18099919b17fb106ba1f0c7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,I Bet You Look Good On The Dancefloor,3DQVgcqaP3iSMbaKsd57l5,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,"Whatever People Say I Am, That's What I'm Not",50Zz8CkIhATKUlQMbHO3k1,72,https://p.scdn.co/mp3-preview/fa005e873f71581f3ddae23ca142ba06b8d4f7b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Fake Tales Of San Francisco,7BuzJmV2h6eBbSDdRaDY7C,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,"Whatever People Say I Am, That's What I'm Not",50Zz8CkIhATKUlQMbHO3k1,60,https://p.scdn.co/mp3-preview/93d7fa28380ae4499a16dececa48b7a117bd44ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,R U Mine?,2AT8iROs4FQueDv2c8q2KE,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,AM,78bpIziExqiI9qztvNFlQu,78,https://p.scdn.co/mp3-preview/f96c611f0ec01e0300f19f9fd1fa16ba162682c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Do Me a Favour,2BqfIlpahcebJPeu1IUTEo,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Favourite Worst Nightmare,1XkGORuUX2QGOEIL4EbJKm,63,https://p.scdn.co/mp3-preview/39773b85ef90077257b570ded6b61fde3cab4953?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,From The Ritz To The Rubble,2vQQfWTanvD99OeHLAoyhW,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,"Whatever People Say I Am, That's What I'm Not",50Zz8CkIhATKUlQMbHO3k1,63,https://p.scdn.co/mp3-preview/adb4300b31fc1f1e9e352d0af723fc2d3628e3ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
