NME's World Cup Fever Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,241,nme.com
1,World in Motion,08po8QZK3tihnLBZWATAki,New Order,0yNLKJebCb8Aueb54LYya3,The Best Of New Order,6cjugjFHB3T1alJxAffyxQ,45,https://p.scdn.co/mp3-preview/0fc2da2ac08df46065d1582327b4d38043ce037d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Three Lions,1b7kLkJkr6XRYgWqVmDm05,"Baddiel, Skinner & Lightning Seeds",3LtYMPncqtiugGwOuuLq3h,Football's Coming Home - Three Lions,6gOYszdugcyXc4t8Bm7hMy,52,https://p.scdn.co/mp3-preview/595b2e6741f9e1b0d92712e7973fd9fcdb37ca4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Can I Kick It?,3Ti0GdlrotgwsAVBBugv0I,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),3kV0i1qqudjf0PGawJ4jck,71,https://p.scdn.co/mp3-preview/c6469c3260465dd11d9efe5c2d35c3aca3bcc2b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Fools Gold - Remastered,2mv6GY70UsHiTCGQZ4JfgC,The Stone Roses,1lYT0A0LV5DUfxr6doRP3d,The Stone Roses,0um9FI6BLBldL5POP4D4Cw,61,https://p.scdn.co/mp3-preview/6b77762ab49af9cca50f2da8c4fcbce78247af12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Chin Up,4xqT8PWewNtGEHH8M7BXF5,The Rhythm Method,6kcYJnJl7asHdgQdrviOFb,Chin Up,2JnDqRuwEOX7hIm6cYrsl8,15,https://p.scdn.co/mp3-preview/1d4c2b8c669e414d760b2d4df9a968f553285ef1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Eat My Goal,3ccYIUSw9tEslIaLpH791f,Collapsed Lung,6sizjS3o8Ph8LoA8WzpXGY,England Forever,29ETRlKeWyADLEr6TNhHsG,25,not available
7,Carnaval de Paris - Radio Mix,2OoSyZuxqXQllJ0htz6tcU,Dario G,3Eo78i1MPfle0XVjMvia8A,Carnaval de Paris,0qQ0WZMQDqAYGsgyXq6Dj7,48,https://p.scdn.co/mp3-preview/72168ca6d319ae8c03305921da7bd80132fd0286?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Tubthumping,22HYEJveCvykVDHDiEEmjZ,Chumbawamba,0TcYeHEK9sBtv7xPbKhzHz,Tubthumper,5yaumQgV6xGqCy014aOREt,61,not available
9,"Hold On, We're Going Home",6jdOi5U5LBzQrc4c1VT983,Drake,3TVXtAsR1Inumwj472S9r4,Nothing Was The Same (Deluxe),2ZUFSbIkmFkGag000RWOpA,72,not available
10,"Meat Pie, Sausage Roll - England Edit",764klr9GZ2xy94IEQJ4y8o,Grandad Roberts And His Son Elvis,5ZI7HhxD2KwfvLk6jtHTAe,Football Anthems 2012,27grKh1HW5HzZQSXVMrOzH,1,not available
11,A Little Less Conversation - JXL Radio Edit Remix,4l2hnfUx0esSbITQa7iJt0,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis 75 - Good Rockin' Tonight,34EYk8vvJHCUlNrpGxepea,16,not available
12,Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur [Special Edition],7HvIrSkKGJCzd8AKyjTJ6Q,75,https://p.scdn.co/mp3-preview/183c0855e94b58dcb267e2b0721d4a3c99260acf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Whole Again,16MJqq0vEuW6GRX6faetTm,Atomic Kitten,6JMHws5haIO6V35YNYDnDw,Right Now,4C2pT6x3mXXgeV3FdyL3DW,68,not available
14,Vindaloo,6rok0MW3ze4KBEng4ZBAna,Fat Les,4BHU68IINW0fZNRIvSOir5,Vindaloo,516PzWSkrAALZ6gft6l7oi,40,https://p.scdn.co/mp3-preview/421743f2a7fcbeaae37ae5a4932d7057df64f6e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,The Life of Riley,6uAoFqSLH9UjCPn4yo4HMh,The Lightning Seeds,67YNiSqhrx1P8oPvIIvbP5,Life Of Riley - The Lightning Seeds Collection,0akFniXaXu6PZb8o7VUGZd,50,not available
16,Match Of The Day,4KRi2xz6DuMVl4I3xdBves,TV Themes,0clhXvKQeY8xOFIXwePnyR,Ultimate TV Theme Tunes,73PcQ8LUKdan4Bh8WaDBQU,27,https://p.scdn.co/mp3-preview/0512c6f376c5407f05f29480972a595d254cc3f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Fiesta,2UVuIquASNE8Sm2TSAW716,The Pogues,2wzMOQwNT6ZvVB4amvhFAH,If I Should Fall From Grace With God (Expanded),4V92Puney9WxGPecKtLG4L,42,https://p.scdn.co/mp3-preview/13b1f1b631418faa85c96f07748be41524d34396?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Messages,1OBA70L08r3XRMtMcdlaHB,Orchestral Manoeuvres In The Dark,7wJ9NwdRWtN92NunmXuwBk,The OMD Singles,5uFEmUXG2pxIbWVjTZCDEJ,28,not available
19,Seven Nation Army,3m6KkYKdnbffMpGd9Pm9FP,The White Stripes,4F84IBURUo98rz4r61KF70,Elephant,0rRNLpdA8nA8Sm8Fk490b9,25,not available
20,Tutti Frutti,3gvhSwjQiq4PHvvd1Vz7iO,New Order,0yNLKJebCb8Aueb54LYya3,Music Complete,3c1pvSBGoHSbtiKWGCSTcp,42,https://p.scdn.co/mp3-preview/e968f2eff5eaf43f533fdbf43d07bef620054cd2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Fit but You Know It,312A8WfROSLvZbMDHBUPDp,The Streets,4GvOygVQquMaPm8oAc0vXi,A Grand Don't Come For Free,365ETCJBUmEWroc4UGBS1u,60,https://p.scdn.co/mp3-preview/eaf42fc26b1ed6b5b7489e7f23e4126fa5307bf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Back Home,2pCOtJAGY2wgfwxw4QEKNA,1970 England World Cup Squad,0KnnmZvrMOB9QKmfrDqcdC,England Forever,29ETRlKeWyADLEr6TNhHsG,15,not available
23,The Rockafeller Skank - Short Edit,48JrHJdke53Te8dQ9aWzvV,Fatboy Slim,4Y7tXHSEejGu1vQ9bwDdXW,You've Come a Long Way Baby (10th Anniversary Edition),7Avi8h7vv4Ustd6DsN2jYx,63,https://p.scdn.co/mp3-preview/813f09cac7bfc664e873ea514d9c9f7b0f30fb1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Brimful of Asha (Norman Cook Remix) (Single Version),29capylmokCeuNAWqGitij,Cornershop,3Kf7VEIRWquxrNIuyJZnfF,Brimful of Asha,3zImpd2BehQCHbnTiIJlZB,64,https://p.scdn.co/mp3-preview/da622af9726d1dd10b920640c46bbb91179b2d33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Step On - 2007 Remaster,4gAU0cHQJFxj1n2ZDiEIzG,Happy Mondays,339DNkQkuhHKEcHw6oK8f0,Pills 'N' Thrills And Bellyaches (Collector's Edition),2Qo9lJydzuAmcBUjGOvrMQ,59,https://p.scdn.co/mp3-preview/e9a60bee581929f73b910338a16dee5ec64ed0e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
