12 dangerously exciting Australian new bands,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,74,nme.com
1,French Press,24Jq9wfHPh7LpZ8uYPTpqw,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,French Press,7cGgpPe0FPRrDFq8eZabvG,5,not available
2,Long Way,5oq9ossKx7M0Qd04gSNKj5,Gordi,6UBMFaCTZnL1Hr1nTOEblM,Reservoir,27CcSt3j7OxhWVcCPZBYLq,32,https://p.scdn.co/mp3-preview/752d7f98d0cfa8119c77cbf06e77cfa389e93490?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Boys Will Be Boys,1mppIApg3XaU117RaPS2a4,Stella Donnelly,2mHjhKyKCLh6MZELuCe1Es,Thrush Metal,3DKPhOlcukHI1gFkD9RQwz,2,not available
4,Creature of Habit,4PW51nwszOeCI5BwHxFk5k,Eilish Gilligan,65LDkZn0JiySoZODomsvVQ,Creature of Habit,02fMogGbf8myepZdKnzEnA,10,https://p.scdn.co/mp3-preview/adea202a79367dafd5506881586eb17acffe8b2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Slow Mover,3wBRiOgNkY97ysxkdD4HhU,Angie McMahon,574ERIqzZ5yZU9JhIf3Ysf,Slow Mover,2F5mn8sW2xGO5zprVvlwbD,56,https://p.scdn.co/mp3-preview/439c7043b2c54267415e9b0fa9e875c0a38df70d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Happy In Your Head,2vhk0XVv4pLw1OZfGUFahi,Ceres,6ignu1FESsoUapE3EnbCFL,Drag It Down On You,6DaUUWqmXf38OSecQ5R65f,0,not available
7,Wild & Weak,4vug5Ldr1UkjcVPx5Dbz5e,WAAX,1KaaogmGXWK1Qi3WR81Tmi,Wild & Weak,6jMEU4MHCzyEvL7hUAfGTF,40,https://p.scdn.co/mp3-preview/20471e69f5761249a59f654d5a4d733dd120694c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,True Lovers,5RHY7WkAjAhpxuPN0CTd4F,Holy Holy,5KeQyt1QJBjcutJ2AuLNO2,Paint,6J8EzIkd1LeP07kIF77RNz,62,https://p.scdn.co/mp3-preview/c023e2dc307b18fb1dacf3ff04e78f08c2e9a0f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Better,053qv8twpdp6pCjwHLJJf3,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Better,1aPWDMr9RCimNCCBw9GgyJ,0,not available
10,"Broke Days, Party Nights",3W2yC6MPvNEnzV9l64VGEk,Ecca Vandal,0NhKCHTPG7Sz62S3zxV1Cf,Ecca Vandal,3sMoRAGg3MEhY80nHtzAl6,0,not available
11,White Knuckle,0pmF2CyybcFPovMZd6OsGk,Shady Nasty,5fEdUhbIAf9JlPhlc3swPx,GC / WK,7HiLK6Yt9WuQaM2aU0uw3e,10,https://p.scdn.co/mp3-preview/df052764b1d3c3e722f099f20b5f7a3313655fbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Blood,2uWAfeJAGB6M98K9UJbKX0,City Calm Down,1IgkaLCHQGkvcLxedkVW0K,Blood,1hMYPhNzQJ1k2tF9rJLmCr,17,not available
