Bonfire Night Bangers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,24,nme.com
1,Firestarter,1GTPxha6U7x9ElVxkQw3OK,The Prodigy,4k1ELeJKT1ISyDv8JivPpB,The Fat of the Land - Expanded Edition,2NkwB9shQioKcbNhPf2EbP,64,https://p.scdn.co/mp3-preview/e5433f3f7d888f6a8b917cf164a64751e34a1a47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,A Violent Noise (Four Tet Remix),66hLWtkrv53rFKZseItS8W,The xx,3iOvXCl6edW5Um0fXEBRXy,A Violent Noise (Four Tet Remix),1giCdcjze6MjeImaqPwtg3,37,https://p.scdn.co/mp3-preview/8b1e21c345e327ce4a4a93cede439349de14230f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Hotter Than Hell,1z5jOmNswvnzjC5gFLu5Dv,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Hotter Than Hell,4W8ubS7Ee8pmGXhWNlX4zx,60,https://p.scdn.co/mp3-preview/1c70d94725848c1818803314ee6b776d126f9e41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Let It Bang,6sDc43107iQNcvQqJ3tFtM,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap (Deluxe),4DM34NuOlqu5S8PZAje4iF,33,https://p.scdn.co/mp3-preview/ba7a76515eb2b5984fca1334a0b06494c1141cec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Firework,4lCv7b86sLynZbXhfScfm2,Katy Perry,6jJ0s89eD6GaHleKKya26X,Katy Perry - Teenage Dream: The Complete Confection,5BvgP623rtvlc0HDcpzquz,73,not available
6,Light My Fire,5uvosCdMlFdTXhoazkTI5R,The Doors,22WZ7M8sxp5THdruNY3gXt,The Doors,1jWmEhn3ggaL6isoyLfwBn,72,https://p.scdn.co/mp3-preview/b88c889d5eaf0dc0e8136d495041f51d1bd660e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Fire,0Ln5tJyLX5qusquBOtq7wf,Kasabian,11wRdbnoYqRddKBrpHt4Ue,West Ryder Pauper Lunatic Asylum,2DHGeuRTttjurZDb0pSjx6,66,https://p.scdn.co/mp3-preview/0a11fd0d2f9b828881b0801c64039eb729245c92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Fireworks,4pUUhsc8fmZqnsPaOSU5CP,Drake,3TVXtAsR1Inumwj472S9r4,Thank Me Later (Int'l Version),6agmeioaDOBupymziJihgB,50,not available
9,Just Watch The Fireworks,22tc2fbvH9OqWz6V1dCNl5,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,Clarity (Expanded Edition),0JfCEzWgcuUxrAUZw5eUT4,37,not available
10,Rocket,1AWObBqIxRl6GoGu5uCVkx,Goldfrapp,5BKsn7SCN2XmbF7apdCpRS,Head First,1wwazNvPsfWfQU6vkmZiR4,43,https://p.scdn.co/mp3-preview/4c1c5c9cd96817f4f84354f57bdb61aacb6d5b1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I'm On Fire,4bSWx86yHmy6OOMsQPU60F,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,Born In The U.S.A.,14IYDXybb1XKu51QHDryak,18,not available
12,Bonfire,0QIYINh2AwmOmdu8CRYvlw,Knife Party,2DuJi13MWHjRHrqRUwk8vH,Rage Valley EP,2KZKR8bLDZPUxOE6JhTh4X,64,https://p.scdn.co/mp3-preview/898b578e3e77c6a1f290a49fb9606b66ed9b9014?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Bang Bang,3SaIsrEzrQGDcG1jCeaK8q,Jessie J,2gsggkzM5R49q6jpPvazou,Sweet Talker (Deluxe Version),3hQ64JbgfPMbXwYRvmZ41z,15,not available
14,Sparks,3Mm8F4QxDKZkPjSVmJ0g67,Röyksopp,5nPOO9iTcrs9k6yFffPxjH,Melody AM,1SzhKMm1H8vsm5741LGhv5,30,https://p.scdn.co/mp3-preview/31818148087fae39def5755550b0351d81b02e39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Fire Burning,2oENJa1T33GJ0w8dC167G4,Sean Kingston,6S0dmVVn4udvppDhZIWxCr,Tomorrow,33YSJfsBkjN3yqcq18bdRi,70,https://p.scdn.co/mp3-preview/3fc091b3669dd8f331f49a21656a01f520a0ae6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Sparks Fly,40ti3dnqdMLTXg0GrBOB9g,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Speak Now,7tVkF12ZBdXlyBg76y2vsU,0,not available
17,Burn Baby Burn,0XRONzbNix2Dnlx4SUzQVC,Ash,2evydP72Z45DouM4uMGsIE,Free All Angels,1V9N1HV53xOfL2ebYXxkOu,35,https://p.scdn.co/mp3-preview/5098023d0713c6c98652c5efe0c93ed55e321281?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,"Fireworks - 12"" Version",5cfy3VphSSMPhiudQ9cywz,Siouxsie and the Banshees,1n65zfwYIj5kKEtNgxUlWb,A Kiss In The Dreamhouse (Remastered & Expanded),4822FOWqzgi7pkg0dCP6FV,0,not available
19,Rocket - Remastered,1nbXNrayQOc9UGVEudhlaT,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Siamese Dream (2011 - Remaster),2Qs2SpclDToB087fLolhCN,44,not available
