Roséwave: Poolside Yuletide,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,544,npr_music
1,Last Christmas,1jjuOT18tPbqXhaxvsBani,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Last Christmas,2UOO3MgYXf829xN014WdNX,43,not available
2,I Was Born on Christmas Day,1bx3lPKNbTr6IbhPmDdZMm,Saint Etienne,1N2FgBLehaq77UEdJhCt7f,Tiger Bay,4pCyqSGb9MXBGdYIRA9MUw,8,https://p.scdn.co/mp3-preview/523ea378cbf4c5a3a325c3037a598247e29de64f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Christmas Ain't Christmas,6hYHqAcHPGCCb83SwlcY9F,SWV,2NmK5FyrQ18HOPXq1UBzqa,A Special Christmas,2TEbtyEoKR7pwouo6q2ppC,8,https://p.scdn.co/mp3-preview/41f4ed79f4d1b586f39ccc9f0f8cd5b726809a40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,What Can I Buy You,0tY3VXMU2yDZS6Zyy3sTNZ,Ronald Isley,6W9RUw7xnNRYtgh8dimg7L,The Isley Brothers Featuring Ronald Isley: I'll Be Home For Christmas,3WroTWwicEWQICL1jQJUFd,7,not available
5,This Christmas (feat. Hasizzle),4nBL0lYXPaUl7gcyoF58pV,PJ Morton,2FMOHE79X98yptp4RpPrt7,Christmas With PJ Morton,6CCI8iFCudEj8BrLUs3Mj6,17,https://p.scdn.co/mp3-preview/02de3964c9d90011fffe5db7d58fdf78e13b5bf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Player's Ball,7LZDnTeLZK2OXnLsr8t8Tx,OutKast,1G9G7WwrXka3Z1r7aIDjI7,A Laface Family Christmas,4fzsNfn7gbyM2CiDF5vigi,21,https://p.scdn.co/mp3-preview/5bfbed29887f968335603caa8208414d1e2c7344?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,No Place Like Home,2NcFoIbREbGpHcSVgAigUX,John Legend,5y2Xq6xcjJb2jVM54GHK3t,A Legendary Christmas,1rJRpYs4BJ7GIDG0zZCJSM,33,https://p.scdn.co/mp3-preview/03d4dc892b9c3e5ca29de0d39be44666fea2775d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Shopping,76BVLMU3IeknVFjnbsZNCH,Joseph Washington Jr.,4nVLVNnCSuw3i6IhH1fISx,Shopping,1wqOs93bspBvAqV3eaintO,0,not available
9,Christmas In Harlem,00HMEiBMDkbNCHLJL6zqVk,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Christmas In Harlem,31dBitfDGugqFHLKrUT3rt,36,not available
