NPR Music's Favorite Electronic Music Of 2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,572,npr_music
1,Glimpses Across Thunder,6Pre2Qjs03Tg1nmeghpbnI,AMOR,4dZe4kBI8BsaKVptggbg0E,Sinking into a Miracle,1K3rgeE3jhJzeNZ8q56YzU,7,https://p.scdn.co/mp3-preview/2fc5402a3ed1242ad44f5236f0f7573a756ca437?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Worldwide,5GTRjFFUzeZKdHBJntpshU,Anthony Naples,20bB5IFRjHw1EIAHvZ3tgd,Take Me With You,6IaBX5I6MLRDB9a10HU9Y1,17,https://p.scdn.co/mp3-preview/b70a91c209646a08d7fc03ea49672024e09d9839?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Island No. 1,0RcYcNvHFFLkMb9F0Dku5c,Arooj Aftab,00JAfwtx5gNiiqyor88Dr5,Siren Islands,6X8Gj8VvfnpzyJFkK9ZWGl,27,https://p.scdn.co/mp3-preview/4822905e6203f51e6467d1f77f219b2399eb8640?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,New Feelings,1D4iHxO5hZBaFWr5u2fbQq,Beta Librae,5aOx0DSs7guwHbcE4R4FIx,Sanguine Bond,58l0GnEIBfjJ4dmXdHepeh,9,https://p.scdn.co/mp3-preview/191f74544194870986d8c68e9dd99ebe606cbefb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Careless,0n6WH06dJa8wOFGfYPTDJH,Blawan,64kN9EkSTHYhda2FupL0KI,Wet Will Always Dry,0tAeHP4BXGplGcD6rdYXjy,31,https://p.scdn.co/mp3-preview/667c79bc9e354eb058f8311ca1c62f70cf46c54d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Emblem,4CeVFD5X0IaXxBcc9r8zE1,Colin Self,0ewkV0qnzBgo0L0D4TjuHI,Siblings,6F0QcNp69AIkyfKBzyHR0F,14,https://p.scdn.co/mp3-preview/938aca02b1a867276ee1dec5757e0eca8cc51907?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Tarang,3m0RCrQILgkVFDIsm5IttG,Rezzett,37IAmIFuCYtwhxQRlQisDg,Rezzett LP,5N91OjEKm2kLaPuXhlFpkx,17,https://p.scdn.co/mp3-preview/3d8cbbf92d961dfa557d95a8e65f4ca37921ecfb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Löwenzahnzimmer,127ZxfascwMj7Vm40F3oC2,Thomas Fehlmann,71GWL6ijlpTh7oGqYlMMpM,Los Lagos,6cfzZKTgPz8jfySqcDiBmy,16,https://p.scdn.co/mp3-preview/48aca9442ea827c8353910714ce0d0331e5f4010?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Holding On,4RjwMyr4D2W4py79Heop9l,Tirzah,6f5lOlSFJw9K79gaNnmWAd,Devotion,15GocbF7ybkkPP03YXtLqv,56,https://p.scdn.co/mp3-preview/6a91db1d8c4125ef69deee8c9a9cc25afee05587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ring the Alarm,7AEMy7akNlYCzrzrGdspje,700 Bliss,30fJJJ4vbuTd7opxNWeCAb,Spa 700,1nImBHe7OAQPIAmGEzqPNf,5,not available
11,T69 collapse,1vTCJDVG7OiYw7LLmxTzVG,Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,Collapse EP,3SbGxJVC8fHv41RFKCGIl3,40,https://p.scdn.co/mp3-preview/c0ddf1e3de87691928a2c084c677db909c1f9733?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Nativity,5PRolx0gIyXYRTbJQ6bHez,Elysia Crampton,75v4Rn3SqXn6dmq2PFrRgN,Elysia Crampton,0neKjra2VWrALCsC7SDeyt,6,not available
13,Mercury,6SSZLYDSFIr9r1puy0mGi3,Laurel Halo,0sRVVDpgF2sKzPBkDszzUl,Raw Silk Uncut Wood,2dsRjDCYTJeqoQXuc8ZRjY,30,https://p.scdn.co/mp3-preview/8b748c4bc1905fbea657f6bb65170b2d7b687e8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,A Parade,420f09vvRpnTwRGZxdg4ZO,Loidis,2TDYu0uxVowgHaYN6P14k2,"A Parade, In The Place I Sit, The Floating World (& All Its Pleasures)",70oref5eMh1OF6bM5IG9qD,26,https://p.scdn.co/mp3-preview/3d7581ee439e6f66c712a3bc34299368c2a68ec1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Make Them Remember,3MKqgrwGyDTIRjpagrUBcE,Maenad Veyl,0Jj1tFvy6c8Da7eqdoHgAx,"Somehow, Somewhere They Had Heard This Before",6xL6OVhNHL4pO5RaAl1GXp,8,https://p.scdn.co/mp3-preview/0e089e21b623c3a57b5fe8114784319c2af54c3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Bail on me,7rC6H41bVtOA2o20BCzRtN,Smerz,1f8PlfSHEW6fHnILSzm8dI,Have fun,1ua8lJy0UubynYUU8AEf8q,30,https://p.scdn.co/mp3-preview/9ab7662fb355a1bb859d54b82867882ee2113a6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Trébucher,7sqgV3wwdHFWCkaYNJkY7o,Throwing Snow,0Qur5LqqAVVunjY2PnjhUp,Trébucher,3sgkpP5NLdCPcedsbjg5Ki,21,https://p.scdn.co/mp3-preview/f510d8d2b98216a4dfe26a678c28741710e761ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Ai Paint,1ZtguB8HQ5vibM9nNPDPIJ,Young Paint,2fhkMDN3asvYcvkWTh8x0w,Young Paint,32DqyvVMozVNBueQp71s3T,9,https://p.scdn.co/mp3-preview/149c56586ad91cf70a8532777fbf8114e9561cb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,I Never Dream,2ZsbtrFluQsuzsJMApF6yw,Against All Logic,0ngUeF0DGpYmPec80MqSi1,2012 - 2017,1uzfGk9vxMXfaZ2avqwxod,45,https://p.scdn.co/mp3-preview/18b2f806bf484fe5cc746bcd80e72722c1123b93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Skulcoast,7GaLNkpNmAn2xMewDhdRyp,Clouds,3f0kobRhjLIHJna3UsEqim,Heavy The Eclipse,5gasuzgy9zR7al43x0yaXr,7,https://p.scdn.co/mp3-preview/6be275cd89de2e3a7a6b50e425d7c6337ad14051?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,PSA,5ALdTaBIbSj0iSk5dvIg3F,Dreamcrusher,2EcltAQF7JHjEk9Thd9Pui,Grudge2,6eUyReaQJnwbiZRlWcO6NQ,12,https://p.scdn.co/mp3-preview/aee97765da976c566ef20664adb6b0ca054c53c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Carbon 12,5ioQAq97TFyvOoO7hKy1Yg,Jlin,23QKqAkKwti9zBiac6RFBA,Autobiography (Music from Wayne McGregor's Autobiography),3eTCu5yv0a9ZQI2cB3LcdJ,0,not available
23,In Parallel,0J4t4KRpw7o5jkGmw9iDvr,Kelly Moran,1SFqXNEGetmMW6VPZseNqy,Ultraviolet,0dfCsSXhtcdAyW7ODD4Aeu,26,https://p.scdn.co/mp3-preview/bc7e0abca422bfcb12fd715872f3fca68eec57db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Drive,7q8bzylZvGS93iF0WaG3eH,Lost Girls,6Kw9BTxzFraz25S8HCe8pQ,Feeling,7rxAIFBft4nlKVwaUr8bza,4,https://p.scdn.co/mp3-preview/683d4bea08e8059cfc45a3b44de37c103f27f915?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,First Casualty,2DnUsEEPDlQrib9SRHUjZJ,Nathan Micay,6U7MOIhacysUEnfJ41WfhC,Whities 017,36nGmH9RflSghvY3CtjvwO,32,https://p.scdn.co/mp3-preview/39619a6cc6788b9c1e64e6e8b3d62c2fc33d99fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,It Makes You Forget (Itgehane),6GRos6Klc30XItsQtGUcak,Peggy Gou,2mLA48B366zkELXYx7hcDN,It Makes You Forget (Itgehane),6KQHrwJdcPIUx1mb97b1Nj,53,https://p.scdn.co/mp3-preview/3ef89a3823eac874b7547e46dda7435a41c700a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Obviously - Mixed,5IjPBlUK1vEXhwX8dkUYCe,Taz & Meeks,5M3H5rlwjT6rYaJ3es55jN,DJ-Kicks (Mount Kimbie) [DJ Mix],4ptIoJvhXyOBhkrgdAvWL0,32,https://p.scdn.co/mp3-preview/0ed2c2a5d8db46073c3da9d9390576e4abda2623?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,White Flowers,4ieOPeANKdCvtHnNGWW2BL,Tom Demac,3758ZYkL9uiug7nHTQNWcP,White Flowers,16Iu3dqTMlOUitocEfQhIt,33,https://p.scdn.co/mp3-preview/7718f08646fbd2c5b91f7118bb80999c77f4423d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Sextape,3XM5yIKDTF5XFEKX63Fd3T,Glasser,2M45qKMZX16QUyOiKyluI0,Sextape,2QStWX8fmjiYhSs4iXSw3H,8,https://p.scdn.co/mp3-preview/aa6afe1909ec4c17b0f29d71fe49f1d84d37b5d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
