Heavy Rotation 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,9424,npr_music
1,So Caught Up,4hXyXsww7q7ETKeVKD034T,The Teskey Brothers,2nTjd2lNo1GVEfXM3bCnsh,So Caught Up,4kZ4Zf5TpRzNQf79ijFdws,48,https://p.scdn.co/mp3-preview/c2949d76877f0dbf1c2165ffe77890c0f9a4cc9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Hurry On Home,146nEDCHUUvoDLOaf56r7K,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Hurry On Home,61GNdZs5b8TW7ijspkTEnM,40,https://p.scdn.co/mp3-preview/fba4ab199d40250b42f940f72cf0ada6c4e21d2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,My Type,5KBARWIxeMGkvUax9VtVC9,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY,7mdpibDh6Sec6o6zItcSEH,84,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Octagonal Room,5s7qmP66mvtkaUDu8uNWHK,Salami Rose Joe Louis,6EHS9kZ9PpeXaJ4wZO3FSX,Octagonal Room / Cumulous Potion (For the Clouds to Sing),41x51YfD2MhHEf5tPrr0gW,19,https://p.scdn.co/mp3-preview/fd7cdb5c7b0482e100fad624778c527707cec084?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Give Me Back My Man,7yrHilAHKDS29Cyo1nyZeF,Ohmme,1lGRK7KK1IuflIyNSE9R3M,Give Me Back My Man,4gSNDTiTmAddSltXpgX0iV,23,https://p.scdn.co/mp3-preview/68ebdcd93f2418dba4fd898261c58174521c83a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Late Night Feelings (feat. Lykke Li),7aQeWViSfRWSEwtJD86Eq0,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Late Night Feelings (feat. Lykke Li),0kTSclkPCKfANMfQmUSFW5,72,https://p.scdn.co/mp3-preview/783ba7d00f0184c96366b7c85e6bb7f10044d5b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Talk It Out,5sDxIlinyY5NL7HIt1XJ1j,Matt Corby,7CIW23FQUXPc1zebnO1TDG,Talk It Out,6NYqCTdy9xH6p1n4wSR98x,64,not available
8,You've Got Other Girls for That,5YmUheNKfm5UiZ3q1mxVEF,Lillie Mae,32bF8EkwKNXBZyEo371paF,You've Got Other Girls for That,0SwMHWz5Av4WNhffxJwPgQ,28,https://p.scdn.co/mp3-preview/c1a0e385feec694e87f655ff2686f0c9c84cafb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Free of the Feeling,5IPR0YYM9uRMs6mMKBskBR,Jesca Hoop,0fqE57gXXTTqxXlFYVNG2u,STONECHILD,1sFzlgjdeY7hCiJKTkKjU3,27,https://p.scdn.co/mp3-preview/7f90ff4adfea23c96a18759bf1612b811cab2be1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
