Roséwave: Island Escape,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,628,npr_music
1,La Gozadera,0OMRAvrtLWE2TvcXorRiB9,Gente De Zona,2cy1zPcrFcXAJTP0APWewL,Visualízate,2HXRjHb2nbLJa5r70FBtdT,74,https://p.scdn.co/mp3-preview/bd4c51e91109f9825044b452104c5b4d738a66a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,No Es Justo,5qFeMRz4TvetPmzjre9Dq7,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Vibras,5kprdYds6oZb4iSldfflOT,75,not available
3,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2Vdub5mY4lad7w64bFPUez,Pitbull,0TnOYISbd1XYRBk9myaseg,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) [Spanish Version],620wwdsvJGaC4uh8Fj416Y,58,https://p.scdn.co/mp3-preview/70e4ad03b8b5f39389c1c446ea79abcc2795e931?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Danza Kuduro,2a1o6ZejUi8U3wzzOtCOYw,Don Omar,33ScadVnbm2X8kkUqOkC6Z,Meet The Orphans,6mGDfbDErYIJsmSewvccWm,75,not available
5,Miami 2 Ibiza,56QCGK2tyUmlma8k94zLal,Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs,Miami 2 Ibiza,6xDzR5VsC0EEFRG9oEd0g8,4,not available
6,La Bicicleta,0Gx4VrHzS7pZOEAGrmXXBH,Carlos Vives,4vhNDa5ycK0ST968ek7kRr,VIVES,57giaIaMyAVCS7jMIaoIgK,74,https://p.scdn.co/mp3-preview/dc69887f73372d6c4acbe345af1f9af73daa7a9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,85,https://p.scdn.co/mp3-preview/0f8734f51bb0a419959fdad3a0852621f9e6bc89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Miami (feat. Pusha T),0DSXAjnNFpc22v31I4MX2S,Valee,4hRL2QmahOYxXNmNKtG1AI,Miami (feat. Pusha T),59oepjJR54xdxB4usb0Beu,48,not available
9,Gasolina,6jEZLz3YpnEBRpVkv35AmP,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Barrio Fino (Bonus Track Version),5i2HhIrYyMNQvmsBk9h8Im,78,https://p.scdn.co/mp3-preview/e5d1b199ae20b02689fc77cccc75f82e1c2cc6a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,X,74D2cU8F6KbBqva3mnzrqI,80,https://p.scdn.co/mp3-preview/2365ee165310b1894a9add345fb3c4d3ea928898?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Atrévete-Te-Te,1q8NdCAQ9QUjpYiqzdd3mv,Calle 13,0yNSzH5nZmHzeE2xn6Xshb,Calle 13 (Explicit Version),5pmuwmV2OcuiTX7kNczQ16,74,https://p.scdn.co/mp3-preview/ea8d52eda23961ed663ebf99a90015c8d84ebf18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Miami (feat. BIA),5oJAaPRS2EzNIc8EWIbucE,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,Isolation,4EPQtdq6vvwxuYeQTrwDVY,56,not available
13,Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,Me Rehúso,4RrvIEhnaHKpFxsjXc4D7d,78,https://p.scdn.co/mp3-preview/e44589534ea9a8956c0305e1545977ae8a1a482c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Hasta el Amanecer,5Fim1gaXBgsiFfsQAfQSDS,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,Fénix,2dBgWXp41imu2zBNv9oFxZ,72,https://p.scdn.co/mp3-preview/5c5ff0fe757a98ba0cf0ac6a033f8cecc6595845?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,1r4hJ1h58CWwUQe3MxPuau,Felices los 4,6pFZVwBPXj3m4dyaKcnVev,19,not available
