Turning The Tables: Maybelle Carter,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,736,npr_music
1,Wildwood Flower,0t9lVuPC8DWxtFywHffDs6,The Carter Family,0FRIWJYklnmsll5M6h4gUL,The Essential Carter Family,3beN6cqvzLYEbwerre1N6b,28,https://p.scdn.co/mp3-preview/af725595bdf60269896004290d34f0ee1eca3eaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,(Bury Me Under The) Weeping Willow,5YQXc6koiXfE5OmwvUd35b,Maybelle Carter,1aX2I47Hjh8XlMBFFKcqJ3,Wildwood Pickin',7A9AjoBiItZgJnbSgs784K,15,not available
3,"Single Girl, Married Girl",2yJF8seASZnXFkw0sLBsru,The Carter Family,0FRIWJYklnmsll5M6h4gUL,The Essential Carter Family,3beN6cqvzLYEbwerre1N6b,28,https://p.scdn.co/mp3-preview/5f23cda52757a4ef79c573cb2e6da321bba735f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Jimmie Brown the Newsboy,4MF1qT5iuLqEpukgBbtGyn,The Carter Family,0FRIWJYklnmsll5M6h4gUL,The Essential Carter Family,3beN6cqvzLYEbwerre1N6b,17,https://p.scdn.co/mp3-preview/0e17eb45c79854963dd021c8c17f38b001b98439?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Motherless Children,4ReJlGJWsPDzclocK3g882,Lesley Riddle,1LBnkxr1LkHetj4CFY3NYz,"Step By Step -- Lesley Riddle Meets the Carter Family: Blues, Country, and Sacred Songs",2400Ykl2IGy3mgf7dP6BaQ,9,not available
6,I'm Leaving You,2RNTh0ucWDdiuKNggqQoBZ,Sara & Maybelle Carter,4ZXqTiN2L7UwoXQNQlFvPN,"Close to Home: Old Time Music from Mike Seeger's Collection, 1952-1967",6x1v3yRgwffU3fwQ5WAg8y,9,https://p.scdn.co/mp3-preview/4fcca56cecf291ad335f52d6274ea157670bf083?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,You Are My Flower (with Mother Maybelle Carter),2uGPeQhbMRxZjwMrqFA5Ol,Lester Flatt,4UEb5ZsSyDWMAiBuOeKA6W,Songs Of The Famous Carter Family,0Hip5EYGH4JOWAq9CYkdJu,12,https://p.scdn.co/mp3-preview/b6193a86af2c9b17ce5ad46a388bd43e6d0edb56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Foggy Mountain Top,2yvF1At9x0HxWdaUPZVJq1,The Carter Sisters,2Z76ufZ8SQ3z2jEjrlecNV,Keep On the Sunny Side - June Carter Cash: Her Life In Music,0pSVeCzT60p5pzP3m3iOrN,15,https://p.scdn.co/mp3-preview/d2c2f1f547557bd054d169fce754589a217ebf87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,"Root, Hog Or Die",14d7DmYD9w28aI2KlwWIp7,Mother Maybelle,1B2bDUw0nlnTleO0hrJhpD,The Essential Chet Atkins,0lKXTFKRUH3eyflNhlSlQZ,21,https://p.scdn.co/mp3-preview/9822ab8551afc650035fcf5305ef6b445ef79f94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
