Dr. John: In Memoriam,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1518,npr_music
1,Storm Warning,3rzxxh2S9yAhiiJjDVq0wK,Mac Rebennack,6Lp7kIeyuD6dEv7mUrzsz5,The Roots Of The Cramps,1nj7Fl5lNAWGR0v64teRpC,23,https://p.scdn.co/mp3-preview/88159d9f1dcf4f4ca3b7ae7f34b427a494067fd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Sahara,5RsDpVxHzFeo6hsZP6YCSZ,Mac Rebennack,6Lp7kIeyuD6dEv7mUrzsz5,Jaywalking: Classic Soul Instrumentals,0244DYrs1tjDxRZuo5y7RS,2,not available
3,Bad Neighborhood,0GDYbCuS0Qdwz7IhelsrPH,Ronnie & The Delinquents,09vSM8xtDB1sDffTLUAimW,Radio Memories New Orleans Edition,0JoeOp16czQvoEqnlv29pv,0,not available
4,The Point,29m80SUmIDA4ScplX0Hwnn,Mac Rebennack & the Soul Orchestra,18a7THGJHHbXoHbAYUjMOj,Still Spicy Gumbo Stew,6lklr649mNa1ccuXoOjLiV,13,https://p.scdn.co/mp3-preview/655f34ac402c9ba067504d044f0170c4b23c8c4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Gris-Gris Gumbo Ya Ya,3Y3JvqQOOuipvT6l31bl4O,Dr. John,320TrJub4arztwXRm7kqVO,Gris Gris,1yBoaVrgcup2hX2DCYUajs,37,https://p.scdn.co/mp3-preview/ac351c1ea5fb55312853df1ee84e8bed59f313c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Danse Kalinda Ba Doom,3g5LhwtHomXoYYf3oEUMvM,Dr. John,320TrJub4arztwXRm7kqVO,Gris Gris,1yBoaVrgcup2hX2DCYUajs,30,https://p.scdn.co/mp3-preview/a3e253ec6e425f328c862127f8126c372de06afb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,I Walk on Guilded Splinters,0OSNN0ABo1HMgfGeMQ3pCr,Dr. John,320TrJub4arztwXRm7kqVO,Gris Gris,1yBoaVrgcup2hX2DCYUajs,48,https://p.scdn.co/mp3-preview/9d742173cf284ca139bff739471e8b0d0d41e16f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Babylon - Mono,4enJvN9LoGIhEL5NbC1qm8,Dr. John,320TrJub4arztwXRm7kqVO,Babylon (Mono),4AWWWJJCAiLp5eh9qu9Aru,11,https://p.scdn.co/mp3-preview/6662a9f1710f2d09ade6a64548685d0a6b039821?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,"Wash, Mama, Wash",4yz29toeunPVVvJ0pGOSn0,Dr. John,320TrJub4arztwXRm7kqVO,Remedies,2rNQ6dI2DAzWPjPIgVRBAO,15,https://p.scdn.co/mp3-preview/c3f6e4b394b54f3f2625795413cb480f0fea16de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
