A Woman's Rage: Songs About Being Fed Up,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2687,npr_music
1,Your Dog,1BSTxGkSTTLwEpbuusHRzH,Soccer Mommy,4wXchxfTTggLtzkoUhO86Q,Your Dog,0damtrWa5KnlBhXNK5IcYK,6,not available
2,Truth Hurts,5Qel1sTrU4LM8HlJSPT2jd,Lizzo,56oDRnqbIiwx4mymNEv7dS,Truth Hurts,2L3ODMVHArfJGWglDH9ktx,33,not available
3,"I’m Not Your Mother, I’m Not Your Bitch",5rJ95NmuPajwdqLeO0DWHo,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,Tell Me How You Really Feel,3l7JWewI3ZByxaT5BCgRx2,37,https://p.scdn.co/mp3-preview/98283c66efdbdc66e9dd60224a74ac53bd4b8101?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Ram Jam,67bhLdGUnhCpV3NoclGtZa,Pinky Pinky,0Ayls0R348nD7BVvbN6Ap4,Pinky Pinky,09FSHXI2lQuImteIfhCZmh,1,not available
5,The Body Electric,5uA2Ac3qiLRf7Pb8HQm03F,Hurray For The Riff Raff,2xLEV2jDreAOcpJXFNoXyt,Small Town Heroes,2Jgs7uTMWm1SmG8hQXS4yx,1,not available
6,Womanizer,4fixebDZAVToLbUCuEloa2,Britney Spears,26dSoYclwsYLMAKD3tpOr4,Circus (Deluxe Version),2tve5DGwub1TtbX1khPX5j,75,https://p.scdn.co/mp3-preview/40c87bb00fe6bab71f758643b2d1e598c5374410?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Bust Your Windows,56z2qI0gKcPthQF6l8AW3E,Jazmine Sullivan,7gSjFKpVmDgC2MMsnN8CYq,Fearless,2V99Z0aZgSK6XTbh19UYTU,68,https://p.scdn.co/mp3-preview/8375bfab00370df7f7fd6e7f86a04f187e02dff1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Fuck You,1GCbc1vpkZA2zhjsSFhmHT,Lily Allen,13saZpZnCDWOI9D4IJhp1f,"It's Not Me, It's You",39zjAZD6nlscx5DafH8GI8,60,https://p.scdn.co/mp3-preview/2c0deb881f7dea4fc65e3f11f54c5558da4f0d29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Caught Out There,1nZkrUFLq265za9lofFO3p,Kelis,0IF46mUS8NXjgHabxk2MCM,Kaleidoscope,2VQFbPduHKk3SAyczWfpok,47,not available
10,Trailer for Rent,7Bppatt7pAcCg5sr2A2BTx,Pistol Annies,2wSgVsgLUZeDJwoLcPO7ny,Hell On Heels,2zJVeRorn9q3XBeH7twIjc,43,https://p.scdn.co/mp3-preview/60bfcbcfdd4b17503839e7d0615716d15180e078?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Cheerleader,2Eg8N0qgB1wQ64TexXSOCu,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,Strange Mercy,1Lci4bx7JIuCC8pnBNX7ds,47,https://p.scdn.co/mp3-preview/b8984c79c7edcfe416cd0bc911f9aa2232acc03e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Man Down,454h9zAIuTe1eJyw9iTnj4,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Loud,6UHhmTLl9T1scRYLmpHcDX,60,not available
13,Irreplaceable,6RX5iL93VZ5fKmyvNXvF1r,Beyoncé,6vWDO969PvNqNYHIOW5v0m,B'Day Deluxe Edition,0Zd10MKN5j9KwUST0TdBBB,74,https://p.scdn.co/mp3-preview/b1cd9ecf3b5108363846f497897b5bcbec44343a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Not Ready to Make Nice,6LCEyZZHFF4ebF1Mike1s5,Dixie Chicks,25IG9fa7cbdmCIy3OnuH57,Taking The Long Way,2NeJdEWras0uSuzLPlJZk5,64,https://p.scdn.co/mp3-preview/48dd6ee93b20f328eca9f4613ce31508d687504c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,The Ballad of a Ladyman,4JK5pQQdsBLW9mHw2R5Vyd,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,All Hands on the Bad One (Remastered),1LI819VWBwPDnLtIGP9UMC,26,https://p.scdn.co/mp3-preview/55318899a4f69551af6b2a03a3bf825907c8f986?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Say My Name,7H6ev70Weq6DdpZyyTmUXk,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,The Writing's On The Wall,283NWqNsCA9GwVHrJk59CG,78,https://p.scdn.co/mp3-preview/26cde6756e631b05cb8b83e99bec8eac00980073?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,U + Ur Hand,6cSQSGa2tFufkTdlKs2TKN,P!nk,1KCSPY1glIKqW2TotWuXOR,I'm Not Dead,2gccJPbfddWfxNdvsRxL8J,24,not available
18,Penitentiary Philosophy,4Nngx0azfbJibdS5oT3dG8,Erykah Badu,7IfculRW2WXyzNQ8djX8WX,Mama's Gun,3cADvHRdKniF9ELCn1zbGH,44,not available
19,Ex-Factor,2VjXGuPVVxyhMgER3Uz2Fe,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,The Miseducation of Lauryn Hill,1BZoqf8Zje5nGdwZhOjAtD,68,https://p.scdn.co/mp3-preview/ef5750898e63b9c1dd6d7ac18feee2abaf5fedfb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Miss World,3yMFBuIdPBdJkkzaPBDjKY,Hole,5SHQUMAmEK5KmuSb0aDvsn,Live Through This,2Rwf2nPYZQ9aIe4QXACTC7,50,not available
21,Independence Day,2jOkuPweyFcDBBBF8ZW8Zr,Martina McBride,3P33qFNGBVXl86yQYWspFj,Greatest Hits,467Cag6qid9mjW2hpnIcFi,55,https://p.scdn.co/mp3-preview/ea29b1a927073805bfcef9877f158644d1144f88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Sheela-Na-Gig,0wv6wbfxSwfAiH120nBI5u,PJ Harvey,12VaqyEhgwDRuFfEqbnrpz,Dry,08Plby1CLD0UNgChnPD8lo,34,not available
23,Suck My Left One,4IQY0TThr7YebYWf2X07xC,Bikini Kill,0gvHPdYxlU94W7V5MSIlFe,The First Two Records,6U4EMkDA3CZarmG5t3Bqze,30,https://p.scdn.co/mp3-preview/7c26f1e2a096a79dd96698fd862919011f9d5443?cid=fa83a2fec7c440b7a2795d600d6b2c7e
