Turning The Tables: Bessie Smith,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,340,npr_music
1,Down Hearted Blues,6ktCV1ZtqlnXQeRFQvcXON,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,The Best of Bessie Smith,3OyRQKt5XTpo2S7WrBaYP8,26,https://p.scdn.co/mp3-preview/c2fd1bcf0e31a9136cba5f913209a6abaaa7293a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Bessie Smith,1BythdpR6CAZNT8ltjv6IT,Bob Dylan,74ASZWbe4lXaubB36ztrGX,The Basement Tapes,6BOlD6UGUg45IsUXPSplkY,28,https://p.scdn.co/mp3-preview/89c04407cfb1656e0252d285ba1181caec5860f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Booze And Blues,1cUh5ubaJ0p51E99oSL5G9,MA Rainey & Her Georgia Jazz Band,4JnsXgx52HangrM3XRiOWW,The Definitive Collection 1924-28,1OstT1SxvlBO6VLeOZRAud,5,https://p.scdn.co/mp3-preview/2be87f2497992158f1f06e3338504ae4f1987c4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sobbin' Hearted Blues,7GRsQLXMzDHYb8zZAnMCDK,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,Louis Armstrong: Portrait Of The Artist As A Young Man 1923-1934,7xYnLZK3hR60bzd6sRNOvm,16,https://p.scdn.co/mp3-preview/5f21e846e12a417a12d9ac0d5d1a335ac52681fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Little Girl Blue,2mSw3CffxXAg5X3pekE99K,Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,Janis: Little Girl Blue (Original Motion Picture Soundtrack),5F6Th386ar5HNmOkcA0QrK,33,https://p.scdn.co/mp3-preview/090e458e25721cfc8562786f64eee8211ec6fbf6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Beale Street Mama,2nk3fAXHOSyeYO88C8fCER,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,"All That Jazz, Vol. 57: Bessie Smith - A Decade of the Blues (24 Bit HD Remastering 2016)",4WMGfKoWEeW0FRLS3CvSvs,5,https://p.scdn.co/mp3-preview/beded63726d5c503419b67caf5bf3c1ce014dac2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Outside of That,1QiVdfbMXy5bKPdTOhrpjw,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,"All That Jazz, Vol. 57: Bessie Smith - A Decade of the Blues (24 Bit HD Remastering 2016)",4WMGfKoWEeW0FRLS3CvSvs,4,https://p.scdn.co/mp3-preview/9a55904b55f5a1b345cb71582b41b70c5df218d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Long old road,5K4StssIe0bHdl02Ycvsck,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,"All That Jazz, Vol. 57: Bessie Smith - A Decade of the Blues (24 Bit HD Remastering 2016)",4WMGfKoWEeW0FRLS3CvSvs,2,https://p.scdn.co/mp3-preview/a187d8f2cd311c285f89b349a46d3d1c88b5e1c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Need a Little Sugar in my Bowl,4wu7DezeNTMOcTSjif7dYV,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,"All That Jazz, Vol. 57: Bessie Smith - A Decade of the Blues (24 Bit HD Remastering 2016)",4WMGfKoWEeW0FRLS3CvSvs,2,https://p.scdn.co/mp3-preview/f0e87b816a4c377920bf761d833d1b8b09b668de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Young Woman's Blues,1PL5XuYDtwQiScpNlNgxkP,Queen Latifah,5m7wCUhYhBh7A3A3YMxrbt,Bessie (Music from the HBO® Film),0lZB4WC7B8rtUFReKQOeN3,11,https://p.scdn.co/mp3-preview/77aa7eb72566f78b87bed5f26628eb34d89d7d95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Gimme a Pigfoot and a Bottle of Beer - 2015 Remix,3Wo5JfCuRFVvKESHHaIO4b,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,Bessie (Music from the HBO® Film),0lZB4WC7B8rtUFReKQOeN3,16,https://p.scdn.co/mp3-preview/35b20fcb57dc872d5515d82bd9535ea3c88d224d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Women Be Wise,3zvK2Ztw7aPlXZhwYogq7H,Sippie Wallace,1MzNMhcJhkG0pCk2sg3PTR,Sippie,5D9xxNS25LKZCsjOpG1oHP,10,https://p.scdn.co/mp3-preview/f1d317bb18f800498154dcbdb6d7743000144fc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Mighty Tight Woman - Remastered Version,3kivvDedMfdapBPKKmLxVE,Bonnie Raitt,4KDyYWR7IpxZ7xrdYbKrqY,Bonnie Raitt (Remastered Version),4gjY9JfOCvVlr7yTIyl2e0,31,https://p.scdn.co/mp3-preview/122ada1f182cb8c72628fe1b2de7b724e0e835d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,I Want a Little Sugar In My Bowl,3NcJu9876GBJuNU6vJOrbb,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,Nina Simone Sings The Blues,12aKG91Tj6hJFOe90TzcX2,52,https://p.scdn.co/mp3-preview/5df5068f372d70bf47aeac9a878f86f10e882ec7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Booze And Blues,1SF9hCpHJ6gZ6FVz1heNA1,Ma Rainey,1ygXiRxKSfb927vhBH1ruH,Ma Rainey Vol. 2 (1924-1925),6ihXas6BiJdZ80CnmkKB66,25,https://p.scdn.co/mp3-preview/1c54f46656926759d401e8b6b1e9456bfea7122b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Nobody Knows You When You're Down and Out,2wAfHM7Whz67VFbdanhZlk,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,The Best of Bessie Smith,3OyRQKt5XTpo2S7WrBaYP8,48,https://p.scdn.co/mp3-preview/584f4fec6f603980fcc16f2213ef6e5d5e42eb65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Aggravatin' Papa,52AVPhiLKUui44osegMNbf,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,The Essential Bessie Smith,0NSxpb50uBMgAzOJQpp4Ag,31,https://p.scdn.co/mp3-preview/2542c2ef917972f4b972e004c63c84b6a5ce5cfc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Ball N' Chain,4zBSdZ9E6FWnj7Ks64xdNZ,Big Mama Thornton,6bR0cgMtkCVpm0I5yrDNzO,Ball And Chain,2AOVcou4z2NUEEJ8p36eje,35,https://p.scdn.co/mp3-preview/d5b67dada7c502e3cb04309ec4ac7881388daa37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,My Handy Man Ain't Handy No More,7nqWAo70Wkra1lptPXxI1k,Alberta Hunter,4ZdfXQkef0hnTSqmhpGarA,Amtrak Blues,1m4GnCnP6Z6jS4YcX3Vl8y,25,https://p.scdn.co/mp3-preview/c57918a8f1fc5a0db0061f24eb111dd5e5fbe519?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Shave 'Em Dry II,6uYVwPP9BGgqDKBorb2k8L,Lucille Bogan,2cDKW2JF97WZ5ruG9Obfdf,Shave 'Em Dry: The Best Of Lucille Bogan,6lt3PCrLIoE3ozSlq9QuMw,21,https://p.scdn.co/mp3-preview/5e3c557ac5c374778c087ddf3671e1cad9c99963?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Wild Women Don't Have The Blues,6X5ll3qz5YD2eC1Px5I1GC,Ida Cox,62G2r7t9N2Ad9ILHbg4Eqh,Ida Cox Vol. 2 1924-1925,5qQBEx7RmYBIoIMMyN38H8,20,https://p.scdn.co/mp3-preview/21aa9501f47ebb605bd88aef36d7053a8a3eb0ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
