Heat Check 🔥,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1318,npr_music
1,How You Feel,4LvFKRCe3kUv4AURnZx8SI,Swsh,4mNJoaGdBbtAwFTbMC4mdV,How You Feel,1GcOZc1EOrAZU8wqnYRub1,47,https://p.scdn.co/mp3-preview/67c7dec01cccafcd8c53e5da810546a7138b23ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,What You Did (feat. Ella Mai),6aNdjlgzu6bJeRBFFXiVNu,Mahalia,16rCzZOMQX7P8Kmn5YKexI,What You Did (feat. Ella Mai),5r5yJUmRenfljPMdeQ6kFC,70,https://p.scdn.co/mp3-preview/66fd92a5d15e2ea822e7990639f4ada5ca9a0a25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Wait For It,7ldFylHg5FpxGxaWSgDWLL,Siaira Shawn,7wkquqt8snY30TIZKCHIdX,Wait For It,0K9XCjrtKLHSYTZKilZOPV,29,https://p.scdn.co/mp3-preview/fcfd14a645d6c700b83088284c0369aed931a705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Wicked Game,57h4OYRuqBvgE87biicEzq,Grace Carter,2LuHL7im4aCEmfOlD4rxBC,Wicked Game,54GJohpNn06XoK8QeufjQG,65,not available
5,On Chill (feat. Jeremih),3TXKwYk2H7hZQFB0j8z4yq,Wale,67nwj3Y5sZQLl72VNUHEYE,On Chill (feat. Jeremih),6T6uGWwXe0mq15ndVGvU2n,79,https://p.scdn.co/mp3-preview/6a7b7e75ae5dd5710051f4ab6d6c954c0b7b4f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Keep It Working,1rMvXu3DoJ1fV0Ee6eeWzA,The Pendletons,7LzEoX1kEvrogY1Vc5bl55,Keep It Working,2Em3kTAqsVWUfPBYicfAhE,23,https://p.scdn.co/mp3-preview/9ce6538bc1c3b24f297af6221635a2d428a4d818?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Erase,3B5iO2B4HxZDXfmIGrQq9z,Cautious Clay,6iWuBN32BqCJAeXW6o3nil,Erase,6DDLcNQXmKpWTW195gkI0d,65,https://p.scdn.co/mp3-preview/4a8624ccafbff8c2ec80b00d71adc18f28bc906a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Ayayai,5mNqz2m3qWWKKiQcvYrKP2,Daniela Andrade,0WfaItAbs4vlgIA1cuqGtJ,Ayayai,67IhJtRigeH1BHBu2WXLKX,57,https://p.scdn.co/mp3-preview/c95d754ccbc48698cbbbc37ebad9c10e3a63198b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Outside The Blue - Radio Edit,3DOwpLpvhwWQbblR7u44x2,Sam Sparro,0H0rBbf7vHXO3qh50Wap7y,Outside The Blue (Radio Edit),6F1yeag8vU5uXiyNGwMGK6,41,https://p.scdn.co/mp3-preview/3dcd9106b6eeb4c68c1cacfb47adfb5f32b80c05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Wild Girl,3IqwOIVNLdBs7av6n8Plrt,Kito,3FLUBwpAnaIlIKeaBfsxFe,Wild Girl,5gjaKIotnXLPTsb9lvp5vT,62,not available
11,Living in America,7ruaHQFLq23P9xoFKR6XE3,SAULT,1uRxRKC7d9zwYGSRflTKDR,7,19uWOx2aMKl7cdesfEyFms,33,https://p.scdn.co/mp3-preview/dc5e5a83b09f68ad303ca307939999fb08eb4dae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Drippin Again,0PEav6raMdVH2QVf2Ln2a5,Poundside Pop,4GjElWvmSWy4FkKoGZbYs0,Drippin Again,3GEOkVlTPPs0QidSHnBXpH,39,https://p.scdn.co/mp3-preview/14c6f9276890ef40f4c5140527b8e00a69c97b62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,VIBEZ,0fySG6A6qLE8IvDpayb5bM,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,86,not available
14,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,Polo G,6AgTAQt8XS6jRWi4sX7w49,Die A Legend,26ztFK3E69j5THJQdyxC5w,88,https://p.scdn.co/mp3-preview/505ae166c11669c630873c84719b6eb1346fd097?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Playing Games,0W45ni3uikr9z0vPjlBIDw,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Playing Games,6dCOtN7GClSd0Y6PNEFion,78,not available
16,10/10,0tByDZgQzoNfFFmpgleB0s,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,10/10,1dIQCUmv1flCLWByivrbxQ,76,https://p.scdn.co/mp3-preview/c4c347185ae8a5646fb7ab3f8b17a9f34a18d248?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Big Girls,0VEJDwMO26qNitqyDb47I0,Masego,3ycxRkcZ67ALN3GQJ57Vig,Big Girls,7t6Pr9lRrhMlAxEt1txMth,63,not available
18,Kool Aid,71ptv206CeeXGutS1TaieZ,KIRBY,5lcDGoJUr5WY5bCFAfYbCU,Kool Aid,2FJitnqpghCCsYLaNAxW7C,54,https://p.scdn.co/mp3-preview/27cfa748c73b6878527575fa37bb4fc20f5237ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,New Sky (feat. Kadhja Bonet),3J5fFQ0PxfKQU5putEvUoM,SiR,3QTDHixorJelOLxoxcjqGx,Chasing Summer,5zUDvKAyEKkrhYLWJJWGPQ,60,https://p.scdn.co/mp3-preview/c0777d7a24271e29c929e82d6da06647a73df7cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Lucky Strike,2JP510jyc49iWOsjGQUz2N,Berhana,0WjtdWS6su0f3jrW9aqEHl,Lucky Strike,2cRnAQpMhC8nrJYZCFCFQO,55,not available
21,All Talk,6ele4cqsOo9wDWrRQIjPiw,3ohBlack,1mnnmVJeUTNfWdDx0gVIQT,All Talk,1jaCdS44LuE0XMppHtF5Yf,68,https://p.scdn.co/mp3-preview/8acd28f9922f6de0dc5d10f15e4594f7cfde72a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Make That Cake (feat. Doja Cat),3H46DLWgIFfEoP4mOXEIzq,LunchMoney Lewis,2iUbk5KhZYZt4CRvWbwb7S,Make That Cake (feat. Doja Cat),3GKYTiOYU2dhR33UfQzf94,57,https://p.scdn.co/mp3-preview/b426120767685131da0e949f83699fe056a35b09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,24,3sufgB1pM6cLtCtFWgqQAH,IDK,6aiFCgyKNwF9Rv5TOxnE8E,24,10WDTlTWNTBzgkMikKcCRe,61,https://p.scdn.co/mp3-preview/4f361054dbc2989ceabd146c26aeb8935b67ba38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Coming Home (feat. Ms. Lauryn Hill),0TGyMhttuNwKab2XJMJ1rl,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Coming Home,2qtMrGLdjgNbVJ1xKDiqAf,68,not available
25,Breakin' Necks,5TUuACKbMobFKWKT7JKemM,UNIIQU3,5aR8qSaApKChlZvzB0Jfpx,Breakin' Necks,18vowzYX3Jn4Ezg78DsYRX,33,not available
26,Hallelujah,6xj6BppRbm4vTgVN8GaZEw,Yung Baby Tate,3IJ21966TwNZI24MwZHMu4,Hallelujah,1E20YSwoi1SJMshPSQi4e1,21,https://p.scdn.co/mp3-preview/90d55fcd4b4744c761e74ba1f52238380277d6eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Serena,0cSiOUEG3hl59NDMAIBC6K,Rapsody,6NL31G53xThQXkFs7lDpL5,Eve,4W5qCJNSN3oNHB986TdO9S,50,not available
28,Can't Hold We Down (feat. Popcaan),78aWIBZMTcqg4mvPpUdhss,Kano,50nN8IFD4xA67fI4jYbLV4,Hoodies All Summer,0N6HQ1sWJTf4QJxipeEazS,59,https://p.scdn.co/mp3-preview/7ad7f464fca0a221e7bb814fa8fd737b2f3544ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Confessions,6MGx6luFK7ndxnGxv9uCwL,Sudan Archives,2MPHBxznH1fj59jbOWY38u,Confessions,4O2fq5UJNfUNHki3xqZR1x,55,https://p.scdn.co/mp3-preview/d1e56c49423b4843ecf3a4ce503d52323895d585?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,dust,1kR2AzyFnBVzKIjjgMftoO,RIMON,4DtUsfaVQBhypuwYmobdSm,BBYGIRL FOCU$,5fodY4kAHY7lGnHgL9SEyP,50,https://p.scdn.co/mp3-preview/5c39662b22ffa06c75dc56e214881ce01e6098ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Show & Tell (feat. Future),3dVCcRzAulDIuQQoQpDBTb,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,34vlTd4355ddD4q9pPsoqF,62,https://p.scdn.co/mp3-preview/98ea286d6e83301196b9b1d804760ce6a9310ed0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
