Roséwave: Roségoth,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1158,npr_music
1,Dangerous Days,0zrLF6EcVfZxHndmYN9wG3,Zola Jesus,78OKNrjc3BvniYTqvpOp6P,Taiga,3iMG9taTnPrIkjFTGLvL4x,26,https://p.scdn.co/mp3-preview/1ef76c7944d8ae50324f781d0a51c84ff6a7d099?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,No Time to Cry - 2018 Remaster,5DA71KWYVOUoFuu0cFcyG9,Sisters of Mercy,4HxBVyHaUa60eCSsJWxwWR,Greatest Hits Volume One: A Slight Case Of Overbombing (2018 Remaster),5qjUHQuDQfh8UwkQ9C5udu,28,https://p.scdn.co/mp3-preview/b07294336ee2864c23438d9a9966f9def9e5da34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Confetti,2aSJaR2r3xt2CjqMi3A8Qe,Cold Cave,1ssulsHf3JrWakLxa8yFad,Cherish The Light Years,1gXn4SxVdD2rMrouPyUXq0,47,https://p.scdn.co/mp3-preview/45bae05e4e57c79afd42a83b46ccd318c3a4d837?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Pitch the Baby,3BJqEsMJ6gxMRNBr6DJAq8,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp,Heaven Or Las Vegas (Remastered),37hHXJ7xas2Nb7Jbi8ip4E,49,https://p.scdn.co/mp3-preview/06814ec0359e091205fb4d7261850122664b3d4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Cities In Dust,2xq9cLlOPyLoi8kLlR4miz,Siouxsie and the Banshees,1n65zfwYIj5kKEtNgxUlWb,Tinderbox,4JLLAw7R40SnvwkUt9B63N,55,not available
6,Why Can't I Be You? - 2006 Remaster,4E8AEddgGU3PHWQOGbXpMe,The Cure,7bu3H8JO7d0UbMoVzbo70s,Kiss Me Kiss Me Kiss Me,7qtRliQvQBu5v6LTi3gNDD,34,https://p.scdn.co/mp3-preview/124318ab291d50b68b10ba39e2e95094b94c8f63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Deep Water,7knV3ojCkjRUZi3x29p1Cx,Strawberry Switchblade,4z5NjzIMyaQC4dPxxzxF6e,Strawberry Switchblade,6ypn6HP6UuJCBSGRRCQLd6,28,https://p.scdn.co/mp3-preview/3c408e4b587d697920faa7ee0b49ec9c628daeab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,We Hunger,4zktMY2fI6OtljwasG969a,Azar Swan,4DbpsM8cxMWcgZ0WVAOWF0,And Blow Us a Kiss,2QKxUwYg4sS5hjzXJCxbl2,7,https://p.scdn.co/mp3-preview/d7006389083da4a7ee3236f59ed45b3e28bfddbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Strangelove - 2006 Remaster,5FkW4djGNgTOL1yyXKq73H,Depeche Mode,762310PdDnwsDxAQxzQkfX,Music For The Masses (2006 Remastered Edition),4tPRXghD4ago6NYyyfrtES,48,https://p.scdn.co/mp3-preview/9992be30701fec61bd06c38da4adc6c62c817b60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Mátenme Porque Me Muero,6cqwDeMvlCKI9CoeVahGrM,Caifanes,1GImnM7WYVp95431ypofy9,Caifanes,7oNSmwtmqu8EvnD3cv2HOr,65,https://p.scdn.co/mp3-preview/af6b067dd6627b05c08c896f43bdb255919aad0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,The Black Parade,0FZK97MXMm5mUQ8mtudjuK,78,https://p.scdn.co/mp3-preview/0c19f3a680ff92f9d38a34b3310e6ff1a661ab1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Television Romance,2fRKh3i8g61xgh6FSfe76q,Pale Waves,0wOej91SVqB1zcYkW6xUtA,Television Romance,3mMS8y4wZtpboRl1UQPKnA,0,not available
13,Soul Syncable,3qKjyqfFKc9NGVKEbGCuRS,Sevdaliza,5MraexJKZDrQYzS98kNwie,The Calling,1bTEsAzifIdXTn7xpo9eGm,42,https://p.scdn.co/mp3-preview/54751d5883d128fbf125e218512d041124d27475?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Running Up That Hill (A Deal With God),75FEaRjZTKLhTrFGsfMUXR,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,67,https://p.scdn.co/mp3-preview/a5ac1546e317ecd888fdf2fb7b7f015e24f841f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Girls Just Wanna Have Fun,4PdSxqz7mP8RzEPUcV66YY,Chromatics,4tOVIRjlWWfR1RrAxyRqTE,Girls Just Wanna Have Fun,1pQD2Sg469FhF7o3IOaZcK,41,https://p.scdn.co/mp3-preview/64f1c24ca5edc39376dd624bb858514a1fefbeca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Love Like Blood,14z3RzUHeZQgtpOlSYvmZD,Killing Joke,0Zy4ncr8h1jd7Nzr9946fD,Night Time,2qcwXvluk9iFwNNg4eDBXm,43,not available
17,Ava Adore,3wmeKTX51RV7DVRKzuxZKo,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Adore (2014 Remaster),4vEwMwa4AemWV8Ws7nQuYi,0,not available
18,you should see me in a crown,6vsV4D8BM6PioRr1UOx0n2,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,you should see me in a crown,6K7WeaA2R5wPU9hfuE8Zfb,21,not available
19,Oktober,7gtxrhEzzYBsLHTvNmyprV,Chris & Cosey,2lHpa4rwVeFbEnA0X7d0Tt,The Best Of Funky Alternatives,6JhA2s6vT7ZjIEhpMay0wT,33,https://p.scdn.co/mp3-preview/2b08316b580ce47475bf568b25852bafbae53682?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Desire (Come and Get It),0k8GfYCScYu3InSQfyNkIw,Gene Loves Jezebel,4Egyhh5C7MvfJaWXFx1qc4,The Best Of Gene Loves Jezebel - Voodoo Dollies,68sEF2g8cRMtrhcbR0Pf6d,34,https://p.scdn.co/mp3-preview/c0bbbb77bca2dcddc48423b4fb91e838e5c045ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Paris,2SL0YHfjbfWfHfFE7nRx2k,The Holy Circle,1br3ENacs43gBpaCmkv0JA,The Holy Circle,6XD2O3AvWXIK15CVD33I6J,3,https://p.scdn.co/mp3-preview/d450ed0e320fbef4cb79e16f4c303d21be50eb26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,You You,1nrErKc0jqYysiGHjhtWqT,Pleasure Leftists,0DeKQzICanBAriaLmrkjL6,The Woods of Heaven,088ElLGfuS8LoeU4jrelyk,8,https://p.scdn.co/mp3-preview/2818ec30ac180f94e396d850d2cde4be542708e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Half Light (with Tomandandy),18ksvwk0wFZpr20hyj3Sme,Low,0wz0jO9anccPzH04N7FLBH,The Mothman Prophecies (Soundtrack from the Motion Picture),6S9EpZsVwpfBd39IorgorG,17,https://p.scdn.co/mp3-preview/3a90ecae0301f36776255d561729e605e915a000?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Carnival Of Light (Remastered),3U9MbfWJUQxJEMtGW5gBml,Dead Can Dance,6sq7prp0tj9Abn89khmfja,Dead Can Dance (Remastered),0S4BTkNeo3XTqRjLF5MNFm,25,https://p.scdn.co/mp3-preview/429c97e4bca430c43837821cef3dddf6044875e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Warden,6PpYc5LlcZSrdY0My0GOib,Chelsea Wolfe,6ZK2nrW8aCTg8Bid7I7N10,Pain Is Beauty,4rpm9Ez8nfVsQvNmHDbgyp,39,https://p.scdn.co/mp3-preview/999148e5dc7961130b16dca28a30dd69717b7a4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,My Little Sin,4OQDKIS41OHQBKHwojUgwp,"Love, Ecstasy and Terror",4GycvrjMCzdAlXXs4VPA3z,My Little Sin,2zhKswmUjXOIJkBBORyI7N,30,https://p.scdn.co/mp3-preview/10b5adfdb25708831aa04c1086f498ac33180fc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Playa,1bA6ERDqHRv7FXHAlwPEul,Mula,7bWZkUZ5drGDoGAFhGoYGE,Mula,5rwaBTpgqmThtG5KgZexxs,0,not available
28,Crying on the Bathroom Floor,5s9MOCkHZMuqAs6Vl98B0H,So Below,2j551jqYq2HQH3R63vtSQi,Crying on the Bathroom Floor,2rNDAAaS3aHTaNhEck7nYr,33,https://p.scdn.co/mp3-preview/b99ba25a49134a551c03f543f758438175dbe8a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Pale Spectre,0GuzcbQf1afarMKrk2uixV,The Wake,39aYm70XPfUpkMIKSfeeig,Here Comes Everybody + Singles,1RD5PJpSa2wCcp8cy99iNF,33,https://p.scdn.co/mp3-preview/01b892ebeff5bd87d4f417e3d6e283f020e567bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,The Hand That Feeds,5ugzDiilhy6ILKmKfhEzd7,Nine Inch Nails,0X380XXQSNBYuleKzav5UO,With Teeth,56Us3Q6UIM4jKJZlWhqddL,62,not available
31,Gothic Summer,5kHYDgHcX1b4VuLK2gB0hX,Prayers,7a0G4CC3dZdKAAzVRnaRGu,Gothic Summer,0EdEKtBeCcks1flcXuPxIZ,41,https://p.scdn.co/mp3-preview/1fbff12b3f39b62081e16f9df4bbd2dc0470e966?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Headhunter V1.0,65TPre8PWZmmoPzLm15wjK,Front 242,2tyMOS8xKREgpEwHnLc6EX,Front By Front,0BkDxAFzIc9lWwRVGQjWid,42,https://p.scdn.co/mp3-preview/4762ce4791d4d4819c6297bfc4d089e8a94784ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Sensoria - 7'' Version,1o8WqQiH9Ub5WGfDi2e3Cs,Cabaret Voltaire,2kS4yz85MaZlxp2VaS3BEe,#7885 Electropunk to Technopop 1978-1985,4MNVcGB5CDF56XSuUPgRwQ,30,https://p.scdn.co/mp3-preview/944537193f4f533903a2b9e09be180d1fb54438d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Lips Like Sugar,3Oa8vnNXStoOHLbJwwMEDP,Echo & the Bunnymen,0fgYKF9Avljex0L9Wt5b8Z,Echo & the Bunnymen,6HvylYOCXVdHFtpODOiQCo,54,https://p.scdn.co/mp3-preview/6ccf6925873f55e8c87db3963302eb65889ae9d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
