Roséwave: Bed Of Rosés,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,885,npr_music
1,It's Only Dancing,5GbqtVAKvHJExGEI1nYB4H,jeremy messersmith,7ifrN0oUJbWF1EhktyTKte,Heart Murmurs,6SuIleYbiL8pUzX4W7yPXG,0,not available
2,Want Ads,3YpN9pvaTXKSXurj3HBq8M,Honey Cone,0CXNdUUhv5Cw42dr0wWrjd,Because I Said So (Music From And Inspired By The Motion Picture),70gDHlCYONYFiaHZj98hLY,34,https://p.scdn.co/mp3-preview/4e1c6cbdc93bb0e7ea5354b14e9c39514db67b27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Hey Big Star,26BJz4zDo0RdxmXFMXgsaZ,Kishi Bashi,3LVPGE5jPPwtbGslx07YR0,Sonderlust,3prBy9ITryUQUYKuUTn4EM,40,https://p.scdn.co/mp3-preview/090c4c4784731f2e82e8a1f52ee702bdd41de379?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Cut To The Feeling,6EJiVf7U0p1BBfs0qqeb1f,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Cut To The Feeling,6S9qcfPMsqtYQXVyeC7Hip,69,not available
5,Closer,4dTVgHZFPlaq9nPbLVVLSG,Tegan and Sara,5e1BZulIiYWPRm8yogwUYH,Heartthrob,5IUJ6v408Z7pECC3BXUJxX,61,https://p.scdn.co/mp3-preview/e5861ae4a243076e2c81ac37762354b55bf772fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Worship,5D9Nw6HyFH0k40X8RxHfD6,Lizzo,56oDRnqbIiwx4mymNEv7dS,Coconut Oil,5RVuRq4HKlj8LkapG1Tcrv,66,https://p.scdn.co/mp3-preview/55ad790195d5ede897033dc3532d622ca569314b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,What's Your Fantasy (Featuring Shawna),4LwOrnuxJwR7C5Sw4liY4Z,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,Back For The First Time,2kT80DHqRtHQzDhQ2RCoIV,65,not available
8,Midnight Coward,4fbJo3L19ylw9bAv6fuIsv,Stars,2EO56JK4txid1Pss9GVbOL,In Our Bedroom After The War,4I9BDOOxpLw2ClFDRhTJaN,24,not available
9,Bad Liar,2fZQIJew3nkNe99s2PKzul,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,Bad Liar,1iuzMKNzVo8HJ67eW32YMr,75,not available
10,The Game of Love (feat. Michelle Branch) - Main / Radio Mix,41IShViF79gmulEkIHAjcb,Santana,6GI52t8N5F02MxU0g5U69P,Shaman,5kkPOwoE9ItngbGIF6m3A4,62,https://p.scdn.co/mp3-preview/de3af749f5fd8ac800f9ceab51557c2cc2e5ab0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Fight Song,6sURhS8T5rQ8A1awXLC5wz,Bad Bad Hats,2bstapBmz5M83elQvPnwp6,Psychic Reader,5klZj0GbathSjaZZBD2Qxm,28,https://p.scdn.co/mp3-preview/a9f1998ce064933c670534122f4742951f0c5d9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Hurt To Look (feat. Rae Sremmurd),07VJGBnywGutMZ72kRyEop,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Hurt To Look (feat. Rae Sremmurd),5Bj0JedvhaSoRSDYQpnzBt,0,not available
13,Over You,2CFCvHyci8GJKVwwewGYjM,A.W.,5UYzEUYfzFL4lzleHOXGjp,New Love,65xojYRYNfapGmRo4uut40,0,not available
14,From the Dining Table,1IF5UcqRO42D12vYwceOY6,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1FZKIm3JVDCxTchXDo5jOV,70,https://p.scdn.co/mp3-preview/fd20e7a2c05cfaeb6a107ce874309caf25dc2d31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Fool,7yCdFM1GLDi31wFrgE1d1t,Basia Bulat,2iuqXpyyC67z6S2pq2m0gV,Good Advice,6QVa0HqCDJYbvHeVurgFwr,34,https://p.scdn.co/mp3-preview/92d5c7b4652967f08147abc85ee3ac6f8d9ebcc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,"It's All Wrong, But It's All Right",5wNdR26hQ3wVVZZulFTuc9,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,The Essential Dolly Parton,57T5WXyeDI1wJzvoGva1GS,24,https://p.scdn.co/mp3-preview/9bd92977c37194574b41282b0b8c48a1221f20c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Bed Of Roses,1zng9uqqXoPkmU05nsAlsw,Bon Jovi,58lV9VcRSjABbAbfWS6skp,Keep The Faith,2FbviTPUjgJJUxsGM1sGDq,74,not available
18,Primetime (feat. Miguel),5dzV75f9qVXVvdXLTqIG4L,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,The Electric Lady,3bnHtSmmsgJiG82hGCmsq9,54,https://p.scdn.co/mp3-preview/57a58c40f67dce2dcd39201a5800213241d92b0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,coffee,6vMpPxLV0F5Diwcs6awI1Z,Miguel,360IAlyVv4PCEVjgyMZrxK,Wildheart (Deluxe Version),6W8ZsoinSMViZMh9aYK7gQ,55,https://p.scdn.co/mp3-preview/ead602fa682bba00a56cc5c01cc9e07c508f5a27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Belong,65MVzDtRJoyjbm8NIW38cy,San Fermin,7fSnislKgW9Mz0YIqWQmGt,Belong,22sKyWyE7QGrAtfPHDboXV,34,not available
21,Then You Can Tell Me Goodbye,1bDjWyTOXs0sxQMC1mchSM,Bettye Swann,0g3EsNvUCwgpsdkAiIC50W,Bettye Swann,1oHCwJLBDoKDOfdznsRjNs,48,not available
22,Shower,3DmW6y7wTEYHJZlLo1r6XJ,Becky G,4obzFoKoKRHIphyHzJ35G3,Shower,4JlzEvVJqpb62Xwc0EmOHr,76,https://p.scdn.co/mp3-preview/f8c945615b8bffea415fc5c1b8487abedfe033cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Sunday Candy,6fTdcGsjxlAD9PSkoPaLMX,Donnie Trumpet & The Social Experiment,0ojcq9LJQWMawQdFDw3M0L,Surf,3eM1KTKmpqrQOvuvYY42cr,70,https://p.scdn.co/mp3-preview/7a6944ec3bd4bd1ea1a5a27cc15ef81fe229a707?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Love On Top,1z6WtY7X4HQJvzxC4UgkSf,Beyoncé,6vWDO969PvNqNYHIOW5v0m,4,1gIC63gC3B7o7FfpPACZQJ,76,https://p.scdn.co/mp3-preview/9a7675cc7f71c524af1397cf1675b61a8fbc74ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
