Turning The Tables: Ella Fitzgerald,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,795,npr_music
1,It Don't Mean A Thing,28C3iGFAgtSd1hFyyYjJ4P,The Boswell Sisters,2mflSlnegn3rBmzsh08OcN,The Best Of The Boswell Sisters,50zX4pDzUiRcnmlZXOr7Ya,11,https://p.scdn.co/mp3-preview/0f3693d4c17c240ea64330a0eea90c3447964af6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Cotton Tail - Live,39f67D0iSmHWOBlMcN8ttw,Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,Stockholm Concert 1966,0dWPu0z608a8XYwokk1hKh,12,not available
3,Blue Skies,4ThQZDizNrYeivvvbPya6t,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald Sings The Irving Berlin Song Book (Expanded Edition),4C5F1pfHpOu5cgcIgA7Vnv,0,not available
4,I Didn't Know About You,63Mb0qY5MsiQ8tLftHzOMH,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald Sings The Duke Ellington Songbook (Expanded Edition),3rvZCWhSm0rRw2lyfnBlfk,0,not available
5,I Didn't Know About You,0ErO2aJHYs0i8NY0fSSYo8,Annie Ross,53rc6pkiasAEVxO1VPpVOy,Skylark,6dyVLnqkqxd5CPG8fwHSgK,11,https://p.scdn.co/mp3-preview/99c69996127ecac5d2633597fc92973e5532fcc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Isn't It Romantic?,3aLpq8qAaHOS2R4DU1UQwD,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald Sings The Rodgers And Hart Songbook,1SPooI3VDwjmwnlfWX7j99,0,not available
7,Can't Help Lovin' Dat Man,7xzhCTKQl6kFIo44AIsnIV,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald Sings The Jerome Kern Songbook,4g9BNWXzj7HqQvS0Ey8uU4,0,not available
8,I've Got A Crush On You,613tMPZ7XJyiAODEtCobbC,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald Sings The George And Ira Gershwin Song Book (Expanded Edition),5QmvPo8pAa95shF5MAuNsm,0,not available
9,But Not For Me,7s4W6DAW1jeY8I8g6Fc2U2,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald Sings The George And Ira Gershwin Song Book (Expanded Edition),5QmvPo8pAa95shF5MAuNsm,0,not available
10,Don't Fence Me In,6I0tz1wUfI3ibXHhjBdsv1,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald Sings The Cole Porter Song Book,6nOxyYuddsKmHYRQccKSjM,9,not available
11,"I Can't Give You Anything But Love - Live At Teatro Sistina, Rome, Italy / 1958",6ph2D26zO1raYj2qLkLrdI,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella In Rome - The Birthday Concert,08pWdn5Airg0nw7W0uIgYR,19,not available
12,"I Loves You Porgy - Live At Teatro Sistina, Rome, Italy / 1958",0bN9QTOJjvyZkxEMg7l2WY,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella In Rome - The Birthday Concert,08pWdn5Airg0nw7W0uIgYR,15,not available
13,Imagine My Frustration - Live,6qtDl1kOeXO2dignI82DOD,Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,Stockholm Concert 1966,0dWPu0z608a8XYwokk1hKh,13,not available
14,"Mack The Knife - Live At The Deutschlandhalle, Berlin/1960",1Lvu9zhbzgQ7M4lilCibLv,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,The Complete Ella In Berlin: Mack The Knife (Live),5R53NoBwIqJDgNWMhu1Due,15,not available
15,"It's Sand, Man!",0OBXuKBJnUpp6PRwM54zrG,Dave Lambert,3jwMYm4mXvdubd2FVAHj5n,Sing A Song Of Basie,52SRBwIHHvyVTuGXisF6Xh,8,https://p.scdn.co/mp3-preview/924fe03b62b06d74561b1fa643541aa9ec628ebe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,I Love Paris,43BctyvafkKboWzgwqAOcm,Annie Ross,53rc6pkiasAEVxO1VPpVOy,Skylark,6dyVLnqkqxd5CPG8fwHSgK,14,https://p.scdn.co/mp3-preview/6c019778a9bb167abef22e91088a261d78f4f680?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Bli-Blip,0viEpZ3Le7XKqQyDKq0jPg,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald Sings The Duke Ellington Songbook (Expanded Edition),3rvZCWhSm0rRw2lyfnBlfk,0,not available
18,Bli Blip (with Wynton Marsalis) - Live,5pmhI3hG8NzMaVEyXgP3VR,Lincoln Center Jazz Orchestra,57tcqQ5NpKmaGE9zHMTiez,Live In Swing City- Swingin' With Duke (with Wynton Marsalis),0KNlMgyXjMj1FbilKgoSw9,15,https://p.scdn.co/mp3-preview/808f38b38ad2a191339e3fb87e670407756e771d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,I Loves You Porgy - Live,4pMB7mfNyp7N9p2Y0Av6l2,Diane Schuur,3YowTUlFJJA6E5Yd67GZNv,Diane Schuur And The Count Basie Orchestra,2mSB5toTlOWcyRXgxPeIXJ,13,not available
20,Better Than Anything,3yq0n9VtGJbsrg1vmGk6w2,Tuck & Patti,184W9P1vos8AurT467AbgM,Tears Of Joy,6MVJ4yiaHDkT2A5JKzms8P,9,https://p.scdn.co/mp3-preview/1b5f23b36d227b3654183dd7a332b040117cfebc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,My Romance,2DvfUxDM76OlMqrVp9gWxA,Patti Cathcart,3FWMtV2YxyQmjRDpMpfIPP,As Time Goes By,7ILLOl2Iq4THXxif5SCaQw,11,https://p.scdn.co/mp3-preview/c2f7329a6d39277ece4f84dfd51efacc8853bf6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Take Five - Live 1977 Version,7q75JQTz2KqTtgEgIO0ULB,Al Jarreau,3YR92OLKlvkK5oKNekSqXe,Look To The Rainbow: Live In Europe,3rubeZ3y420zjzsWwVhaPz,30,https://p.scdn.co/mp3-preview/7cd108ed9f1f8259ef303288f708f353bf1809c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Dream A Little Dream Of Me,7sO8fLoq7H3er7C24UtLiF,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella And Basie,752AJr22BFy9yubj4XJauv,53,not available
24,Dream A Little Dream Of Me,7FEXf5mhVTyKCrDlksLID7,The Mamas & The Papas,1bs7HoMkSyQwcobCpE9KpN,Greatest Hits: The Mamas & The Papas,5QDnv80dApH8LKRmVwrTI0,27,not available
25,Just Squeeze Me (But Don't Tease Me),71XwXlbeT5y46lTrS73UcJ,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald Sings The Duke Ellington Songbook (Expanded Edition),3rvZCWhSm0rRw2lyfnBlfk,0,not available
