The Austin 100,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,28915,npr_music
1,Swimming Backwards,6gdXKvWTGKYDOsC1Rj3Q3d,There,1acar6LWnyqmDdmHabW68Y,Swimming Backwards,6eiGLXIkQHtUO7EdFFAywc,36,https://p.scdn.co/mp3-preview/98cfec65c91bbd99c45beae1791ef927cee19f12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Passenger,4zxRpOcPKcG1eh1zApNfFY,Kidsmoke,5lykQy1YNNZ6Ims4gx2rZ5,Passenger,2u78yBOY5l1Gz0zwN5Flxl,18,https://p.scdn.co/mp3-preview/c5a6a4311a3454f6a56b92e9866df3f2e2ef2690?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,You're Not Always On My Mind,4BIWeSOZGC1BAFahuBUOBY,Quivers,0YUqHKQEwFgGaDVSaHTS55,You're Not Always On My Mind,5tWmCU4WGenRH4Po3J6wfi,35,https://p.scdn.co/mp3-preview/1bd69585560650dfcac709e67dfe2f6b35c39e4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Future Me Hates Me,0hY72avNehvdV7YVBEH4oo,The Beths,7DjwIxbe8kpw4pqnzAMoin,Future Me Hates Me,4xG41eVnTuDK6uMmcksQ9B,48,https://p.scdn.co/mp3-preview/c8574a0be1f4ce35d37a687784fd98eda01a5ccd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Marbled,2g20BLinFvXA6l47j4igE5,Abhi The Nomad,1gUi2utSbJLNPddYENJAp4,Marbled,4UdZHRBCIoe7XCPr8KdVg7,47,https://p.scdn.co/mp3-preview/a46b4d2e3ead659dfd958fb9162ad7714de3e1ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Arnaq,7eMFZDDVezqN2tOEBOU29v,Elisapie,37Hkw3PjSoS9k06WwMibM3,The Ballad of the Runaway Girl,4thL3jIVt8oFNZgvnHslkU,30,https://p.scdn.co/mp3-preview/51d7d78d1b04c4b4d06e7f80104390bb0caf79e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Lucky One,5jd9yccsOqV2nI5NvoiygW,La Force,6Wt2zqLZOrA36sooqmAvFH,La Force,1QGEyIm3aiWM8YCw4xnJQr,30,not available
8,Hanging On a Thread,06qke7iEsmE394glVBIbcL,Big Phony,3QZe2R0WQ6Hqa0IjHwj6sY,Big Phony,56rd4bJIIzoFQ4OVyXMdLH,32,https://p.scdn.co/mp3-preview/90a6b995a55307d296442a92b2792ae588713ddc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,El Espanto,3C1I4Djs5MNYnj9BMJuZjB,Balún,6Uk2pq20qpkftbU2PEDWoU,Prisma Tropical,5rxHa78aHnkv9r0yzzo1fU,25,https://p.scdn.co/mp3-preview/4ad77302501e98ff236b10f31fcbf30676674ae7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
