Roséwave: Bittersweet Summer's End,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,949,npr_music
1,Summer Girl,1GZH9Sv6zCIse2GKihRHKy,HAIM,4Ui2kfOqGujY81UcPrb5KE,Summer Girl,2U2dYHLwLrHSQ3m2YQcNHj,64,https://p.scdn.co/mp3-preview/4d89106e605c2c77b08464096483b35cba30e0f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Do You Remember,67xBtV07CC73eFw7z5oCvU,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,The Big Day,7bgi7zCoDsZdlLKPonHZqP,72,https://p.scdn.co/mp3-preview/0a1bc59054213b3e5bb6e9c110ef0a4caf88e632?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Happy & Sad,04MoJkJzCoU9ukeewv5Vzu,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Golden Hour,7f6xPqyaolTiziKf5R5Z0c,66,not available
4,Ashamed,5TcGBswdHw1Ng9UcQSl0nd,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO,Ashamed,1X6LW0L8PeKpQ2qoajGIHx,50,https://p.scdn.co/mp3-preview/37c7e1984cb2eee98b2785660bad49541208c3c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Happy When I'm Sad,6DibqiBTKMob2SjBwKqRfS,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Happiness Begins,1Uf67JAtkVWfdydzFFqNF2,65,not available
6,Fake Happy,6t44iU80A0h8WQ7vc4OoRj,Paramore,74XFHRwlV6OrjEM0A2NCMF,After Laughter,1c9Sx7XdXuMptGyfCB6hHs,66,https://p.scdn.co/mp3-preview/62dbd4df9d5a3bce321f79073954bcc9fbb6b2f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,You Wouldn't Like Me,5XrpGRTACaYCT7ijWtnUsI,Tegan and Sara,5e1BZulIiYWPRm8yogwUYH,So Jealous,2yNhqBKfZPzrxRJqGMbSz9,47,https://p.scdn.co/mp3-preview/80f62bbfcb6bc9e091ed7187c4d0fe7bb394fd9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Bags,6UFivO2zqqPFPoQYsEMuCc,Clairo,3l0CmX0FuQjFxr8SK7Vqag,Immunity,4kkVGtCqE2NiAKosri9Rnd,67,not available
9,If It Makes You Happy,5XrfFo0JFOnWD9ZMNXGkQh,Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow,3w7TTi80vZApF0rQE5DMYb,63,not available
10,Everyday Is a Winding Road,2oRPcAufde86byH0FDmUrH,Prince,5a2EaR3hamoenG9rDuVn8j,Rave Un2 the Joy Fantastic,1EaOZe1UmhanwDmfR08uFz,21,https://p.scdn.co/mp3-preview/bb77aa33f348f418a3e0c0d08749c18c801f8380?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Silver Lining,0ieqq1wbtso2UjJWPqJ5Xc,Rilo Kiley,2cevwbv7ISD92VMNLYLHZA,Under The Blacklight (Standard Version),2f9RsTZpsYMLRVZBtW7En8,55,https://p.scdn.co/mp3-preview/0c06251b92aa74b9f4bfebea94e30c92d8fb7b94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Cruel Summer,0wnJdLDUi9fkDl5nxhDlqO,Bananarama,3sc7iUG1Wwpwx7bHeZolgx,The Greatest Hits Collection (Collector Edition),5HY7d62IQ9p4snnM1d8qLM,63,https://p.scdn.co/mp3-preview/a6b3f58b1c94d2e14ec7f95eb7970bf87fbf2d5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Gone,4UQeq4HUvC5uPEA9pWTgPW,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Gone,1Z4Y3sPwR7D7PzPhnjpnbX,72,https://p.scdn.co/mp3-preview/d24b760a09b2ebac420a7248788549e54d112d5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Missing U,5mE2RcGPPbE4gNoLB6FYPf,Robyn,6UE7nl9mha6s8z0wFQFIZ2,Honey,6WZjFvrzwq8SOGe0r8R3qk,55,not available
15,Right Beside You,5Q4djRRS0wxG1LazHHGnaq,Sophie B. Hawkins,3gdIwZY6Q3RXhDteYr4ZvC,Whaler,2oKbwv9ClTQKWHHTKCqN59,45,https://p.scdn.co/mp3-preview/6b6c2265660d98c217d2e623028703e32a04277c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Ashes to Ashes,6DnvvG2gOew4ZAv2ROK5lA,Jenny Hval,5eerVxtb9lY9p6D7m89Bs7,Ashes to Ashes,2yj2CaCzQ6c71IRSrFfEOz,37,https://p.scdn.co/mp3-preview/909e666af3bf3d9179669a91e0905dae13393e48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
