Slingshot,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3448,npr_music
1,Animal Eyes,7kfxVZIpusltlyL8JFjVLx,Jedd Hughes,6aZmqT6ycUdRsm7fF7ndwH,Animal Eyes,5pC5PLATuGdSxPYtjCdO3D,11,https://p.scdn.co/mp3-preview/df80654e3b31a18beda968673899928e31a42ee8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Workin' for a Livin',7iffSPlZsYclGvWMNgsNbg,King Corduroy,1XJu6kbuR5eox8rRLk0LEd,Workin' for a Livin',4iPCsQgGII5jatnMJ3JlWw,17,https://p.scdn.co/mp3-preview/d875e442505d498f736030a69738a7a46ba84b1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,The Victim,22cDHmqUswPxbwWNj7R3VG,EG Vines,2oaxEWzdVzFkQVf8LbEuL6,The Victim,47nQVOGErq2s4DAuz7RXyG,11,https://p.scdn.co/mp3-preview/66f140f02b864520e4846e0593d1fdb5ea9336fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Dog in a Manger,45OGpMGz6kAAeRGUols3qN,Smooth Hound Smith,25ylCAVAfORYteORKr4lFk,Dog in a Manger,2w7twWAG9OZcvTCxjKUobt,32,https://p.scdn.co/mp3-preview/1a91f629fe25ddeaed0373c0defc9cc102d1986f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Greatness,05EERCnfdZDvIgPQ8en39d,Arts Fishing Club,6DUKY45lfzxJLOfU0v9C0j,Greatness,5GBbzZsRtePO7jhfqE06IE,33,https://p.scdn.co/mp3-preview/77cee32cf0fa26efa3537271d1ef12a5c1d4cd7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,The Mouth You Feed,7srirx4yMY9MTYAuZdnHsb,Colleen Orender,6U0NBpFwAfODZyGjSe5fGG,The Mouth You Feed,7F26FgX2CmbDqibsADLgpc,8,https://p.scdn.co/mp3-preview/e2bbbecb83d3bf86734f8e38e58b1755d501add6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,There's a Weight,0cK1mQNPHlKEHTQk8Yzkr6,Lake & Lyndale,76p1C2mok3bS6Ae6kwmvNR,There's a Weight,1A3Efz2vaBc0esPaDzfFAq,19,https://p.scdn.co/mp3-preview/436fb8a6e6287667b638f8555fdbaefc029e2652?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Cold War,6gK1xp7Fp04eaUdYXleokc,Amber Woodhouse,1stAB5sEtU4AD3MQ0cYOtJ,Cold War,6aOosqgKgo1n0piJEEFSoP,7,https://p.scdn.co/mp3-preview/a69a15e6ebfca9b99a527a8ea0ee5be16adcc87e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Tangerine,02jOkyZE6fjoNxAu3VkK6V,Lydia Luce,5e1SaJPn6U7YpOrNTkW1jH,Azalea,6imOtso8ltKmsmpkZKB0hA,17,https://p.scdn.co/mp3-preview/ea8800214970123c1528cd50d19aa0c7d29f9e80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Potted Plant,08xPDPQQnsaUHADSzhmry5,Bandits on the Run,40wE5c0s5AtxRwWXoPzBg6,Potted Plant,4FFMocL7qfqYrx6c1GvwMr,21,https://p.scdn.co/mp3-preview/60f75ae619c79fb7830c5a010d70d5cd2b579802?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I'm So Sorry,52O44z1064G2mnO4wEthvI,Beeef,7H3XA0651dLTrDSIKMqV9r,I'm So Sorry,4dJWgRh5ES7TmlfQyAdRAE,29,https://p.scdn.co/mp3-preview/80845ef5d5d6d5117376557c36e9eb6dd4213c28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Sister Morphine,4Sek6DI5QoEXLZCEDbAZhe,Bernard Fowler,0T8ITMoIvE02AuBveBbLgX,Inside Out,2oh27hEJgtjGpwL9nhN2Gt,9,https://p.scdn.co/mp3-preview/f3a25795dcc9da90bfb4f48d18cec013779a7d0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Ceasefire - Mixed,6C0MMLud3Zw559p6JV8MPI,CAPYAC,5QP5fl1l4e9NmKmkMUOTF5,Café Kitsuné Mixed by Young Franco (DJ Mix),2hOmrcWJermOt1OSz0x9po,27,https://p.scdn.co/mp3-preview/952e6a208da8ae9d5e395703a4789687ebc3eaf7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Circuit,3jI09V62T1gj44tJFuAxQQ,Dan Dan,4MHEWyxtCh48DGxFNdaFAV,Paradise Hotel,7i9uivZ7feMZB24hdfIHZZ,12,https://p.scdn.co/mp3-preview/e577ffae03f057f5495a4291dd2e77e2cda02144?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Motorways (Erase It),3rfYHeqf8d0pry8BJvKp0Y,Dhani Harrison,0BNG5EOWoNlIE1Q1c4L0Kh,Motorways (Erase It),0lywtLoofsnGullSnaic4D,35,https://p.scdn.co/mp3-preview/869a98a69e29579ec44714ec3a8330e1b8790494?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Wild Blue Wind,5rW24MHtNOhKl8C08fmqDs,Erin Rae,167VlZ0C0ewQbgKexRFcs6,Putting on Airs,1LK9gWKqJTOSPE0sHYPVBJ,47,https://p.scdn.co/mp3-preview/3f8e85a70265d0f739382f2cb648a1f848b3eaa8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Rushin',3yz5Y6D4RaMkLLxQ2m6qz5,Great Time,2798IbnOqsxyZjUbcAz3Qs,Rushin',2oKegNHWSGNj2ZV6kaDHGQ,33,https://p.scdn.co/mp3-preview/fb3d6018d6d4b202c1a949895360fcd2ae5beb71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Bright Lights,5B1pdF0WCNTIwUYMHEpZVr,Iguana Death Cult,3krOZK9c8q5QOdt9QSdEV8,Bright Lights,6Qu7T0Re7EnhFlk8SDAEam,17,https://p.scdn.co/mp3-preview/7a37873f9150aef8541d530bf9ee1cf6baa19d13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Echoes,0lqlcXtvUTMCTRKOzulz3t,Lola Marsh,56UIK6wmbbxuQ6VA20vrWD,Echoes,5phHV8Ou01t0nvfFVdwA2O,40,not available
