Turning The Tables: 21st Century Edition,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,11314,npr_music
1,Paper Planes,1kusepF3AacIEtUTYrw4GV,M.I.A.,0QJIPDAEDILuo8AIq3pMuU,Kala,1Lymt1abGCr3J06bbnmWca,70,not available
2,Maps,0hDQV9X1Da5JrwhK8gu86p,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Fever To Tell (Deluxe Remastered),44ePwTuWK88vnalqutqJEG,67,not available
3,Single Ladies (Put a Ring on It),5R9a4t5t5O0IsznsrKPVro,Beyoncé,6vWDO969PvNqNYHIOW5v0m,I AM...SASHA FIERCE,39P7VD7qlg3Z0ltq60eHp7,70,https://p.scdn.co/mp3-preview/69c8bae97df9121ee440b23053fe20f64c204408?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Back To Black,30FURVTCpbKyykjSEQzGkH,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black,097eYvf9NKjFnv4xA9s2oV,77,not available
5,Hold On,3qEJr0LAjbuTA4N1cCgShG,Alabama Shakes,16GcWuvvybAoaHr0NqT8Eh,Boys & Girls,3JnPJ0fjkTpGqd2kUBAsnK,44,not available
6,Royals,2dLLR6qlu5UJ5gk0dKz0h3,Lorde,163tK9Wjr9P9DmM0AVK7lm,Pure Heroine,0rmhjUgoVa17LZuS8xWQ3v,78,not available
7,"100 Days, 100 Nights",5LWLVUBBCNYKPWOHDO0We7,Sharon Jones & The Dap-Kings,6LufpoVlIYKQCu9Gjpk8B7,"100 Days, 100 Nights",47P2sPC5375ThPdCL4Dn6I,54,https://p.scdn.co/mp3-preview/e154a13bff287ddcc6f6701e0bc0d7fcb008f555?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Fallin',0KQx6HOpJueiSkztcS0r7D,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,Songs In A Minor,5qUlPoDmNxCSzqVx81RDLJ,23,not available
9,The Story,0EKBV6GybPtALXUgWqWrym,Brandi Carlile,2sG4zTOLvjKG1PSoOyf5Ej,The Story,23XH8Ej694esQAb3IYu00h,56,https://p.scdn.co/mp3-preview/f427367d9d2b8dca2165a08b5026afb31f658cdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Fuck the Pain Away,1XHFob24QklIXtLRopKirJ,Peaches,1gkSl4XpHIHI4I1WQbfXOE,The Teaches Of Peaches,5sgLqGnrMemtvQ5c4GUhab,54,https://p.scdn.co/mp3-preview/4aff3a29c89d2aecefee3f66451f3e6b45300628?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Tightrope (feat. Big Boi) - Big Boi Vocal Edit,1ljzHUgt2SU2ADkhfa9eBC,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,The ArchAndroid,7MvSB0JTdtl1pSwZcgvYQX,57,https://p.scdn.co/mp3-preview/58cff379542f16b6d174d66c18fd7c0d49616486?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Cranes in the Sky,48EjSdYh8wz2gBxxqzrsLe,Solange,2auiVi8sUZo17dLy1HwrTU,A Seat at the Table,3Yko2SxDk4hc6fncIBQlcM,65,https://p.scdn.co/mp3-preview/a0d13ea0e7dcd0ccae5f6bf96ce2daede4d2841e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Video Games - Remastered,1GNIYBU1XhMSlAxJXiUBbC,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Born To Die (Bonus Track Version),3TtsWmvFbChKTWIRfa85lS,56,not available
14,Pa'lante,5pbLcTBaiRnRGtlOWnmqHD,Hurray For The Riff Raff,2xLEV2jDreAOcpJXFNoXyt,The Navigator,0Yj2JpwXLmY2bcqOTGNU7U,0,not available
15,Super Bass,0iYebKFUSfF72fUu2OW6ZT,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Pink Friday (Deluxe),51HDsvvActcDmYy7NQl6oL,70,not available
16,Your Best American Girl,172rW45GEnGoJUuWfm1drt,Mitski,2uYWxilOVlUdk4oV9DvwqK,Puberty 2,16i5KnBjWgUtwOO7sVMnJB,59,https://p.scdn.co/mp3-preview/9be3679be4314855260ca9010e4a6a73f74e4d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Dog Days Are Over,1YLJVmuzeM2YSUkCCaTNUB,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs (Deluxe Edition),2FgknX5e7fJlriQtxvpLhZ,70,not available
18,Oblivion,4P6n0udLAnmCNXVcobYbsK,Grimes,053q0ukIDRgzwTr4vNSwab,Visions,48a7rOjTzpD1zzJAteeveE,57,https://p.scdn.co/mp3-preview/ba51f6ada1aad97df883b9691b9880bf526218d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Rolling in the Deep,1CkvWZme3pRgbzaxZnTl5X,Adele,4dpARuHxo51G3z768sgnrY,21,1azUkThwd2HfUDdeNeT147,75,https://p.scdn.co/mp3-preview/8c174ce25d94b502dfe31f0da8a070a32fb263db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Kiss (Deluxe),29blfJv8AddJrjuG3DpE13,68,not available
21,Follow Your Arrow,4CLPNURPcKztF9RRdcWLGP,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Same Trailer Different Park,6IGpQUt0KNi5rBUXZZOFI6,65,not available
22,Rehab,1L5tZi0izXsi5Kk5OJf4W0,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black,097eYvf9NKjFnv4xA9s2oV,74,not available
23,Umbrella,49FYlytm3dAAraYgpoJZux,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad: Reloaded,3JSWZWeTHF4HDGt5Eozdy7,81,not available
24,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,77,https://p.scdn.co/mp3-preview/cab6e91217590b37cc254585f3f951c5a5280375?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Praying,79NlESqzFSW0hdBWgls4FX,Kesha,6LqNN22kT3074XbTVUrhzX,Praying,4pfzhxwwQy4B8lySxjwKdt,35,not available
26,Don't Know Why,6ybViy2qrO9sIi41EgRJgx,Norah Jones,2Kx7MNY7cI1ENniW7vT30N,Come Away With Me,1JvoMzqg04nC29gam4Qaiq,74,not available
27,Bad Romance,5P5cGNzqh6A353N3ShDK6Y,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,The Fame Monster,034EE1ofh9OM6wJBqd2xYo,54,not available
28,At the Purchaser's Option,5RmAtT0VaKttU0Eybo6ZWA,Rhiannon Giddens,1EI0NtLHoh9KBziYCeN1vM,Freedom Highway,1CVuPxNHwY5ORJ8MhjD0UB,46,https://p.scdn.co/mp3-preview/5d0fe26b14c1e13722f351b355477f7dff89040a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Transgender Dysphoria Blues,4RdpSi00jdvfRLZb3Q1WhB,Against Me!,29lz7gs8edwnnfuXW4FhMl,Transgender Dysphoria Blues,4MuH5XuLZFuDc6kB2CSapu,47,https://p.scdn.co/mp3-preview/845830e5e30dae1c0b29dfe10ab4f669fc196aa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,The Weekend,6gU9OKjOE7ghfEd55oRO57,SZA,7tYKF4w9nC0nq9CsPZTHyP,Ctrl,76290XdXVF9rPzGdNRWdCh,76,https://p.scdn.co/mp3-preview/4c112b50719f0d39deb0b9f1fa2601eb0555cc73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Avant Gardener,3LueS3mbuB1yaJNN0Ale6U,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,The Double EP: A Sea of Split Peas,5lUc4iyCvw8DxpZa4Fryej,55,https://p.scdn.co/mp3-preview/224bdddc5fc78473afc9f0454e0e1aa901c743c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,Some Hearts,0kys2jaKAiDPfNBd4z7LAg,74,https://p.scdn.co/mp3-preview/b61f1fd8811b6c9bd9d5d0b47c35175aba787201?cid=fa83a2fec7c440b7a2795d600d6b2c7e
