Roséwave: Juice Up Your Summer,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,6408,npr_music
1,Juice,6EMWT7sZBvG0oxdh9KXbb4,Lizzo,56oDRnqbIiwx4mymNEv7dS,Cuz I Love You (Deluxe),74gSdSHe71q7urGWMMn3qB,68,https://p.scdn.co/mp3-preview/7ca1598cec36c49118562b02491b9a030e233d88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,It's Not Living (If It's Not With You),3TgMcrV32NUKjEG2ujn9eh,The 1975,3mIj9lX2MWuHmhNCA7LSCW,A Brief Inquiry Into Online Relationships,6PWXKiakqhI17mTYM4y6oY,75,not available
3,Now That I Found You,3dtp75StyEK5XeKraS5KiI,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Dedicated,25it7uSpNFuRoD6uNc0Tfu,63,not available
4,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,Lunay,47MpMsUfWtgyIIBEFOr4FE,Soltera (Remix),2m9Vuc9Q19qhSm6RQmBgsR,92,https://p.scdn.co/mp3-preview/dd6fc3e183f2643f0f4a3d650fa4f923c2a46040?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Build You Up,49l9dULpS4neCaUHheDjEp,Kamaiyah,3XVpDdKav6C6zwlDXPhMEO,Build You Up,3c5jitAkl07aQiQRkKeEHe,27,not available
6,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw,86,not available
7,Nice Things,1maTErw83KboEn8Xyd8jNQ,Tank and The Bangas,5cAtakaadWHJLxmGKrKcX7,Green Balloon,4T9MbbBF5YuCU7T2bkOjTl,46,not available
8,Medicine,3deRMhnycNFbCZHCCld9oy,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,Medicine,4hWRI95mi4PsJiBx3joBqI,63,https://p.scdn.co/mp3-preview/bb1b0049cdf8842e018f747cd35c9a12862e659f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,The Boys Are Back In Town,43DeSV93pJPT4lCZaWZ6b1,Thin Lizzy,6biWAmrHyiMkX49LkycGqQ,Jailbreak (Deluxe Edition),6Cf545T4jkaiyvMnTRPOB2,76,not available
