Roséwave: Single & Sauced,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2416,npr_music
1,Nice For What,1cTZMwcBJT0Ka3UJPXOeeN,Drake,3TVXtAsR1Inumwj472S9r4,Nice For What,1ZGxGu4fMROqmZsFSoepeE,21,not available
2,Icey,0GpaZjcvRnIqVrtLqrzRdp,Melii,4udfTw7V8jI4AHi7PEfJfj,Icey,6HEC99w0ioHY2ePrKLxBRw,57,not available
3,Senseless,20GrAO16fXHWO241JeYKWP,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD,Senseless,2y6X069vn7n8YbnX8gDY4o,55,not available
4,Cash Out,0Ws8D3EWUDgY962Xftb0h5,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Funk Wav Bounces Vol.1,2HaqChIDc5go3qxVunBDK0,58,https://p.scdn.co/mp3-preview/6dc54b40c3664b8bda6ad60f5c63675e59485949?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Good As Hell,6uAm7pG66O1XesXS9bpHSF,Lizzo,56oDRnqbIiwx4mymNEv7dS,Good As Hell,5PMpdvn38HScK6IuLniRep,75,not available
6,On My Mind (Jorja Smith X Preditah),1OxL1FWSEd7QmJoWLRP2NO,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,On My Mind (Jorja Smith X Preditah),471LijcvJ7tV7ePoX4S0RE,73,https://p.scdn.co/mp3-preview/02314e2b78c5087ff9247765e0c5b17813375b5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Skwod,5Ryf9qSdlFPz3n92AxEflQ,Nadia Rose,0Nc09HuPN9ELmbTCLyNKnO,Highly Flammable,3rPYGgkKveNxWMGRUKtC00,44,https://p.scdn.co/mp3-preview/99e01d62a5fb7a411243667e865df221387c4613?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,I Do (feat. SZA),1f5PNhkNgUpvDEeZfcIlO1,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,71,https://p.scdn.co/mp3-preview/ffb402c3968a55838f580f8042fbb4e5d7c3c8ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Hit That,1wTL2Vbx3ZxXlODYKNvm1R,Rico Nasty,2OaHYHb2XcFPvqL3VsyPzU,Hit That,0ZIJ4qCaorc1aWnuLRqcIo,35,https://p.scdn.co/mp3-preview/ae5dc794a63de64f38356fe03b96934efad6afa3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Bitch Better Have My Money,5lnsCyEKWofnC00U4Ax0ti,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Bitch Better Have My Money,0L6tzOdcRwb82xMBZ3WZyi,15,not available
11,Ghost,4XcK1wzsE4lkKQZoE84sul,Awkwafina,3SmyWs7ou3udD8gtM0Z6Vx,In Fina We Trust,3HuV9HovNL7HSV0y6AqOOo,50,https://p.scdn.co/mp3-preview/664d64671e6bce1770d22ffe8b0d861cd4370a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Give Her Some Money,6hrHoJmuISU9FhbFxGgrr1,Maliibu Miitch,5J1JcdYCPj44YKz6kVA5wx,Give Her Some Money,5CbwRtRBOpaDOl2yuKvOtw,59,https://p.scdn.co/mp3-preview/cc43b78e1f0f5ed4f765c2bcd6c38a7809083236?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,Without Warning,0MV1yCXcNNQBfwApqAVkH0,83,https://p.scdn.co/mp3-preview/65db0cfbd7235bcc2cafe698c656853f845a9133?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,TESTING,3MATDdrpHmQCmuOcozZjDa,83,https://p.scdn.co/mp3-preview/2cfefc8f262be77650db96a60e2f879fa436ee1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,5LHRHt1k9lMyONurDHEdrp,Taste (feat. Offset),0yd01cU78rnlFXq6vRxPSR,84,https://p.scdn.co/mp3-preview/93d60b97736368a2dd3098c46b2a49c2bc762183?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,OTW,6Hgh47WXVKtXN5zGOu0hjI,Khalid,6LuN9FCkKOj5PcnpouEgny,OTW,0c4JocKlxYfBjZep8TJkcI,80,https://p.scdn.co/mp3-preview/809f303d112c4a0485d27a5246d987d6629056aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,With Me,6AIte2Iej1QKlaofpjCzW1,dvsn,7e1ICztHM2Sc4JNLxeMXYl,SEPT 5TH,0jLynoED1FbV2Ky7vU6Pjc,63,https://p.scdn.co/mp3-preview/489ce315d280e4c3f20b9f6044549d99c5bb801e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Cutting Ties,6lJ5aSxKHCwNBoWkZT3JeJ,6LACK,4IVAbR2w4JJNJDDRFP3E83,Cutting Ties,5wy7JKTWa3JRjvQT7cWOcq,65,not available
19,Sex on the Beach,5LiQ64tjVA70LNTC7XhK9e,PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR TWO,6s2isojT7rGZUgJyymjjKU,54,https://p.scdn.co/mp3-preview/b8d0b840050908b27268fa3eb25cf1228571be9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Do You Wanna Dance,1UaPon8vALUY7VqV7UZtSM,Cosha,5P8FHUS4EuE2FXskLnqkAg,Do You Wanna Dance,5t5sjT9WDyDXGr8mN9hVS2,30,https://p.scdn.co/mp3-preview/0da3f12e9181eba612a29cee631b7fee3595b758?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Midnight Mischief - Tom Misch Remix,3O5JIwSON3KBaoyMUsjLjn,Jordan Rakei,24icoQNJSEWNu3XvqKBR68,Midnight Mischief (Tom Misch Remix),3ssz8pi55szsiCBRpJr4xV,63,https://p.scdn.co/mp3-preview/98b5ab22f61144d9504a90e5041561fc275b4049?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Fine Line (with Not3s),3CmDfdlhSnRvoNeCwXWvh1,Mabel,1MIVXf74SZHmTIp4V4paH4,Fine Line,7er0ezwIVWQdkz0FQMJ39j,48,not available
23,Nont For Sale,4jdbP4Ue4QtGy5A40ri5F8,Sudan Archives,2MPHBxznH1fj59jbOWY38u,Sink,2gJJdytIM2RTfsDR4HTBHv,50,https://p.scdn.co/mp3-preview/d65061c080d7e480501cdfd672380f9700050ab0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Be Your Girl (Kaytranada Edition),7xAE36UUNgyDJDIM4yiucY,Teedra Moses,6vfR5QRc3xca0KvpG8KZBE,Be Your Girl (Kaytranada Edition),4HUulHBL22YUjwG5WTje5N,63,https://p.scdn.co/mp3-preview/6da27bc5a21fc5e7452df52dd94e0acd1997dd20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Just A Stranger (feat. Steve Lacy),1HA2V2EfAgJUBVOju4YfiB,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,Isolation,4EPQtdq6vvwxuYeQTrwDVY,67,not available
26,BLEACH,0dWOFwdXrbBUYqD9DLsoyK,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,SATURATION III,5c2AzoNyr46fCQM5d8mxE0,75,https://p.scdn.co/mp3-preview/0275a1e91ff158f4dd33f8aaa9bc88a1a2c3c901?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Pynk (feat. Grimes),3qV1iibU1NyBWM9KCx958D,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,22IwB5CVfcJamTRxFnXu8i,33,https://p.scdn.co/mp3-preview/87ebd5550a875e410b4d3510f29ff5ca3c1ec425?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,She Is the Sum,1ZdzAWKD26o9YqpbhqqKVe,Poppy Ajudha,6oPQiSj92N4mk5jXLtX1bl,FEMME,1Fa1KuxHGI8iXfCfzWgTWz,33,https://p.scdn.co/mp3-preview/0583e6710760ab76fc7c0680b01e837f24b25a18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,What You Want,4RMqA9GixWNB7H6coZFXJN,Belly,0FOWNUFHPnMy0vOw1siGqi,What You Want (feat. The Weeknd),4faVpCprX4qgLMgummXUJv,55,not available
30,Feeling Myself,4vgTAdLit4VNnxZ7YK06NW,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,The Pinkprint (International Deluxe Explicit),40XGTQ7FN6Y3dZXJhKBe96,64,not available
31,Money,7wfQfnNFGWLD0BzcDngCRg,Leikeli47,0DtXHIvJ8NWBg5pGvsgWnR,Wash & Set,1VAZdFNZ1t5BYugJ3NfaZh,62,https://p.scdn.co/mp3-preview/2e3a9d02621b19c281e96b0e81a83f10a55a793a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,ICY GRL,1sl1cpix9GnwNwaVt04BIu,Saweetie,6cK3NBO6uP7hh0oyuVELFl,High Maintenance,4Sz0PugCLKo0CEA7zgPplW,73,https://p.scdn.co/mp3-preview/be9139a780b0b67c1638e1368a9b98c5ca9004a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,I Like That,2EznBGrlmx9wBeYgyDojsA,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,66,https://p.scdn.co/mp3-preview/00e166410be04645b01020d1920d887b3e0828f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Tommy,6JteZ9kiW5EGnNN19lMrKU,Tommy Genesis,2qDdxfKUpYg8wc49KIuT3b,Tommy,5bStICkcxlbm7no0Le1LIQ,41,https://p.scdn.co/mp3-preview/bd9c125d26edf086813b203ef0ec9e6560edc146?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Where The Bag At,7GlZhPkCA259c3ICFU0eaG,City Girls,37hAfseJWi0G3Scife12Il,PERIOD,1Lj2lKxrwpvuZkKjZAgrKl,60,not available
