Turning The Tables: Billie Holiday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,760,npr_music
1,You've Changed,6pyIYkI6eckBahwLKnAfHG,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Lady In Satin,4LrLP7DM1KBj8r2Sc098JA,30,https://p.scdn.co/mp3-preview/43bd576eac95203ad4e7f03651cb1125cf5369b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,You've Changed,22mjsKyrfdeuDr2MSWCxMh,Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,Both Sides Now,2zK66VRY3rDGDuZcGvRJdZ,33,https://p.scdn.co/mp3-preview/637ee3350840ce7a2778319c8ac392ce9bb4d531?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,You've Changed,3DZaxtI6D9DapeFO3HrJva,Dee Dee Bridgewater,2H3xDjMmp31iLmsgXxLFyI,Eleanora Fagan (1915-1959): To Billie With Love From Dee Dee,2hhMXObUVrbadk1FGxGzaE,13,not available
4,I Thought About You,6r4bYOQ4b0EWYvP9XMOcXA,José James,4l2MwXYwUDQKHcUXwCZjEz,Yesterday I Had The Blues: The Music Of Billie Holiday,3vhUP5zXiFsm4GDySD1gru,11,not available
5,I Thought About You,3j3OqS6eOAepLwcCgXsz5h,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Lady Sings The Blues,4Es5UWdUtj8CYn99AqCWPo,23,not available
6,God Bless the Child,3RN7Bw1U61nzMbTvwibb8Q,"Blood, Sweat & Tears",24GaH9tRBgZjlvOhpFuKi2,"Blood, Sweat & Tears (Expanded Edition)",7qFad1a6Q3kUJ1oAz6fT9m,37,https://p.scdn.co/mp3-preview/38771882fcf626e244af0ca40aec30f254d21ec0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,God Bless The Child,1jKNJIqvuiW0iNM1WwW0by,Dee Dee Bridgewater,2H3xDjMmp31iLmsgXxLFyI,Eleanora Fagan (1915-1959): To Billie With Love From Dee Dee,2hhMXObUVrbadk1FGxGzaE,10,not available
8,All or Nothing at All,76c8XNEJW0DiEledJOdQt9,Patricia Barber,16R5esBHEkxTw1QO9dnWM5,Nightclub,5obotFJ4NGfMmRhed3WkQb,13,https://p.scdn.co/mp3-preview/14a6e8315c8699dbad26e59ed3a3d8025d42af5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,April In Paris,34zhjduFdQFhkRUJ230h9T,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,All Or Nothing At All,4euFXiaCTmBkwh9HXjagp9,57,not available
10,All Or Nothing At All,0k6AyTuj5u0BJpT3vt7QZC,Diana Krall,5z1VAFwT35EVvCp1XlZZuL,Love Scenes,0BY7XVm9kLLwDmQfXFL8G8,21,not available
11,You're My Thrill,2aIIWLXmElNLPozx29UXSo,Cécile McLorin Salvant,6PkSULcbxFKkxdgrmPGAvn,Dreams and Daggers,2c9Oa8uygtwLDMpWcklVay,32,https://p.scdn.co/mp3-preview/5b4ee2d14371403f05a1170e1ad9547977119861?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,You're My Thrill,3qligHT0ZCI1a9MoCcIjwP,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Lover Man,7tsBTgXE5wZggdmh5qBhZH,42,not available
13,I'll Look Around,5UA6IehIMBW00HBvFUOQ14,Esperanza Spalding,5bepW5vcdRzheNc0F8lHJ5,A Tribute to Billie Holiday,7bHYY3jLEJElRiBE9DL2Mz,11,https://p.scdn.co/mp3-preview/3273fc6276823f1fdee26eef099c427779097bad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,I'll Look Around,3IMzb9RfBBeul8tiShwdcB,Madeleine Peyroux,7nXyULtoL8k7wP9l6kg8Ef,Careless Love,0g5XcbeQToovD2yCgu09Gi,25,not available
15,I'll Look Around,1wAURZCIA0k5RNwaJN3dH3,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,The Lady Sings,12Ie61TJvvha9qm27suytg,54,not available
16,Don't Explain,4zjTQF8RBPVIgRNy3qFBFd,Cat Power,6G7OerKc3eBO9sVkRNopFC,Jukebox,4yWhhaZDZQePpEqNHqbc5X,15,https://p.scdn.co/mp3-preview/dcb4c9d0c38e59705d45aa7d945fd48de1eb4f2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Don't Explain,1IDtALr9rpGokrcif2D8Hv,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,The Decca Singles Vol. 1: 1945-1949,5cCIvIWG9fqDtflBNgdDkj,40,not available
18,Don't Explain,6EN7Jr3cgkiWaRS1EBNKt6,Diana Ross,3MdG05syQeRYPPcClLaUGl,Lady Sings The Blues,7cVlD1xaBLou7tBLwKxpST,14,not available
19,Strange Fruit - Live In New York/1965,2eKwjJkBUaeaGq5GA1wTwc,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,Pastel Blues,31pd81sWDaK2pP3ok5892z,49,not available
20,Strange Fruit,6nDGQLOlt0krOqCrKjRr6y,Dee Dee Bridgewater,2H3xDjMmp31iLmsgXxLFyI,Eleanora Fagan (1915-1959): To Billie With Love From Dee Dee,2hhMXObUVrbadk1FGxGzaE,8,not available
21,Strange Fruit,1CTex49P0iWwzUGsMNjgaV,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,4MkdTflpaaGGcXb5vtOYRs,59,not available
22,Fine And Mellow,1QdQ4r05QWhtcTTXOgRtyA,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,4MkdTflpaaGGcXb5vtOYRs,44,not available
23,Fine And Mellow,6g0joeDf5yoW1YHb3IlNCb,Eva Cassidy,6fNmOWQzfOVyHLQ2UqUQew,Live At Blues Alley,1w72yNvC0RLKYHkm41TXqy,21,https://p.scdn.co/mp3-preview/27c39a12cc386a90806af5d88e507fb41780c068?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Fine And Mellow,10oOXbWcADYRtDr8sIc2Ku,Dee Dee Bridgewater,2H3xDjMmp31iLmsgXxLFyI,Eleanora Fagan (1915-1959): To Billie With Love From Dee Dee,2hhMXObUVrbadk1FGxGzaE,13,not available
