Roséwave: Astrology,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,610,npr_music
1,Come Down,276zciJ7Fg7Jk6Ta6QuLkp,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Malibu,4VFG1DOuTeDMBjBLZT7hCK,65,https://p.scdn.co/mp3-preview/62b4bdade7fd11d018f928774ae50f17b4a49be7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,ME! (feat. Brendon Urie of Panic! At The Disco),4MsUsFfWseB9M2plGJyuIw,Taylor Swift,06HL4z0CvFAxyc27GXpf02,ME! (feat. Brendon Urie of Panic! At The Disco),6tHLalOVUNJYJlNYkRlNjC,76,not available
3,Honey,5QTdOvIF2ehBMZpSIIGzIo,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,Honey,2D37uNhXgherfImusGBKTx,75,https://p.scdn.co/mp3-preview/26bcdd9dab7ffc3a0adb1e740e5ea0aae0266b9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw,91,not available
5,Borderline,3O8X1DE9btbzy4UH9cSX9a,Tame Impala,5INjqkS1o8h1imAzPqGZBb,Borderline,5zGidcaAvNahQrYhyQwAQn,77,not available
6,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,4eLPsYPBmXABThSJ821sqY,84,not available
7,Self Control,5GUYJTQap5F3RDQiCOJhrS,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Blonde,3mH6qwIy9crq0I9YQbOuDf,74,https://p.scdn.co/mp3-preview/ec76abf91ef45efe40fb8442e729f0d7b00facde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,City Looks Pretty,19nUjmaqEhWvOtKk72NXGC,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,Tell Me How You Really Feel,3l7JWewI3ZByxaT5BCgRx2,46,https://p.scdn.co/mp3-preview/1dbd91ec9ce6195b2df002680dddacd8fbf47e45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Con Altura,2qG5sZ7Si6sdK74qLxedYM,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Con Altura,4bxHLppgdmaYJk0yfdcP0l,90,https://p.scdn.co/mp3-preview/db95e1fba1c9df7e2f6966ba91347df3c36a9630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Nonstop,0TlLq3lA83rQOYtrqBqSct,Drake,3TVXtAsR1Inumwj472S9r4,Scorpion,1ATL5GLyefJaxhQzSPVrLX,84,not available
11,Formation,6g0Orsxv6glTJCt4cHsRsQ,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Lemonade,7dK54iZuOxXFarGhXwEXfF,77,https://p.scdn.co/mp3-preview/470cfb59470d8313dc99634c2845170b56a8762e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Cranes in the Sky,48EjSdYh8wz2gBxxqzrsLe,Solange,2auiVi8sUZo17dLy1HwrTU,A Seat at the Table,3Yko2SxDk4hc6fncIBQlcM,65,https://p.scdn.co/mp3-preview/a0d13ea0e7dcd0ccae5f6bf96ce2daede4d2841e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Golden Hour,0pMfPzdRiPAoSM9yWF4OcT,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Golden Hour,7f6xPqyaolTiziKf5R5Z0c,69,not available
14,Nobody,6bTn1ovliI0OkjUNkiMBJq,Mitski,2uYWxilOVlUdk4oV9DvwqK,Be the Cowboy,653wRjqO0GOZPQPcXpeAXD,66,https://p.scdn.co/mp3-preview/67ffd05d2e0c5dcf4cee6127782198bafa63b7b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Boasty (feat. Idris Elba),7cz506PyIgh2bMN90Mc8Tn,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,Boasty (feat. Idris Elba),7JoyVaXzxpgTPjkgB8mWk3,76,https://p.scdn.co/mp3-preview/c5c6bfce58de92ec322568b3af849311c853fab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Cocky Af,7hdR7gLsPQ6EXGeghibSK3,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Tina Snow,26jEIrN7WSAnVQXXUmLRSN,66,https://p.scdn.co/mp3-preview/6ab8a9eb8a728553cdfb296d07a620fddf274a47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Ever Again,2E5e4J3nm1LMHkqTS21Dlq,Robyn,6UE7nl9mha6s8z0wFQFIZ2,Honey,6WZjFvrzwq8SOGe0r8R3qk,53,not available
18,The Louvre,5q4BpnMrYEFzLO0dYODj6J,Lorde,163tK9Wjr9P9DmM0AVK7lm,Melodrama,2B87zXm9bOWvAJdkJBTpzF,63,not available
19,Work,32lmL4vQAAotg6MrJnhlQZ,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,ANTI,3Q149ZH46Z0f3oDR7vlDYV,67,not available
20,Energy (Stay Far Away),11RIJRbBfyLlJut96itSFd,Skepta,2p1fiYHYiXz9qi0JJyxBzN,Energy (Stay Far Away),6c2FMAZeFKi8pui6dlZqXB,70,https://p.scdn.co/mp3-preview/e42c0417f21c6afddd90a46013681c5e4dd57acb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Venus as a Boy,5G9LvzXcBoIBXOd2jzdJTs,Björk,7w29UYBi0qsHi5RTcv3lmA,Debut,3icT9XGrBfhlV8BKK4WEGX,48,https://p.scdn.co/mp3-preview/c0f17aa43ea41127747dfd957ce5ba20d525fbd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,The Weekend,6gU9OKjOE7ghfEd55oRO57,SZA,7tYKF4w9nC0nq9CsPZTHyP,Ctrl,76290XdXVF9rPzGdNRWdCh,76,https://p.scdn.co/mp3-preview/4c112b50719f0d39deb0b9f1fa2601eb0555cc73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Toast,7sd72KZS8D59g5NmhxyHpJ,Koffee,1gWjcmBsveEYMxOZ0VRi32,Rapture EP,0v1VLjgwVun46wA13DWUJI,76,https://p.scdn.co/mp3-preview/e1f137e7a43f9d8ac3cac995ef80b95581b27881?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,IGOR,5zi7WsKlIiUXv09tbGLKsE,86,https://p.scdn.co/mp3-preview/d6528c193bac76f7a04bdf1ea9453ec016a94f88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Shades of Gemini,67mDk2PGM3fhxR3svKgRmX,The Quiet Temple,5ogiFKGilpz27i704UnGlW,The Quiet Temple,4CFwiTcUxOMI2Q0dmRmVcc,11,https://p.scdn.co/mp3-preview/7a2487fccacc646367d165e644a58f8e89607c9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
