"Roséwave: ""C"" Is For Compromise",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,608,npr_music
1,We're Going To Be Friends,1Q8jaRiMuU3gaWyQP8fBfX,Jack Johnson,3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,3Jl7i9Vo0Ht4co9SqTFjQy,43,not available
2,Lola,17GMg1ZyQJtm3HkXQFZ31f,The Raincoats,4t7bXPFEPe0pu1ozhdDLOp,The Raincoats,190Tx9jPHndq0qUlq79BJJ,51,https://p.scdn.co/mp3-preview/a2c62181860c956e4ad1a8542fb23d9ab3f8a534?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Think About Your Troubles,1udpwsUp7hONCUbzGy4KUs,Harry Nilsson,3RTzAwFprBqiskp550eSJX,The Point!,6Y7Or7kCbTUjnzv40TyU63,34,https://p.scdn.co/mp3-preview/3dd6e11bba909e03a454388f33a99691d2ea5c52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,If You're Happy and You Know It,5LVqesCXbkUZrDaDg92gGS,Tanlines,7pW390CJdmhakvtcGZIqGP,Presents,4fPdtNTBlD5Q49D9gmfofD,1,not available
5,I Want More,20n6XLqBw6ueKUHdV4dJKJ,CAN,4l8xPGtl6DHR2uvunqrl8r,I Want More,1E8r8NHBlALGddsaU8vmcZ,15,https://p.scdn.co/mp3-preview/72c3c6cf4d2784a2ce508ab54b426fcca546d737?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,I Really Like You,0PGLRTN0X6DrXh645WJCIY,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Emotion,6UjZgFbK6CQptu8aOobzPV,66,not available
7,Holiday Road - National Lampoon's Vacation,38i0QcGQ9hu8PMk4QObUTj,Lindsey Buckingham,3Dzj993UEz8Z5ovxuirzFO,Holiday Road,7H5J8i2zpo24z71bUyv8BX,50,https://p.scdn.co/mp3-preview/003a0c775d1018353c6c4e306d5c2e9afee70baa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Ghostbusters,6QGI6v91UlqSytTDVKZIUP,"Ray Parker, Jr.",0NyzfcGDZZ6GM25EBG9BYK,Ghostbusters (Original Motion Picture Soundtrack),6P8yrSHK5I1ScZlemZ7Ha7,55,https://p.scdn.co/mp3-preview/c1f5ae4554f65acde39e135369d6c196193f348e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Tuttifrutti,5PpA85yDvr0j3EBY6sCwNS,Phoenix,1xU878Z1QtBldR7ru9owdU,Ti Amo,08rZ2mw2qwx60vOJtozqbh,0,not available
10,"Trust In Me (The Python's Song) - From ""The Jungle Book"" / Soundtrack Version",27KKViR4AX2zaJDTQX6sWE,Sterling Holloway,1MD6zD9tUjYIMBxV1qKEIv,The Sherman Brothers Songbook,3PlbEOxE8rE8xf7mDWdpgb,28,not available
11,Night Time - Edit,7nccwTJk4SQqYWgsThbVgi,Superorganism,0Wkm45quqfx3NepJpXDvwE,Night Time (Edit),7CuIm0QDIMxU5A3PbXC3zg,43,https://p.scdn.co/mp3-preview/910164ab718c195c2a148a63b5e0b9bbb01d23ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
