Turning The Tables: Rosetta Tharpe,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,132,npr_music
1,Lamb's Blood Has Washed Me Clean,2qf2qAW3fpQ3ZHMEWtP2eN,Arizona Dranes,3bBaSLml2Jcc8DUMUMdMCB,Arizona Dranes (1926-1929),3ORjiprKAgfe3vLJzWPg1c,10,https://p.scdn.co/mp3-preview/e30b287160dfe7af7399d0d96391d2f1a6f6063a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Hide Me In Thy Bosom (with The Dixie Hummingbirds),34QPd3OZYQjwaMaLeavi4O,Thomas A. Dorsey,2AacvHPKrpxtao6j2dqurO,Precious Lord Recordings Of The Great Gospel Songs Of Thomas A. Dorsey,7trfdsrq7jQmJk0qkKqHy2,10,https://p.scdn.co/mp3-preview/02e52cbd2ad7e75db476cb6dc95b26dbe7e4cc4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Savior Don't Pass Me By,77FIOqlOYxXbJph2wiZZWe,Sister Ernestine Washington with the Dixie Hummingbirds,6YvC0snu7XUdG7Ncwmwzz4,Sister Ernestine Washington (1943-1948),4LTJFdNmG2EsG5CUg5PzkC,6,https://p.scdn.co/mp3-preview/e58762cbf5617d6b0bce1dc7cf4d893153df4666?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Gospel Train,2YeoXeYvAEUQQV3rCRLwMi,Marie Knight,5SQDx1d1tEpptg9je4XGYS,Gospel Train: Classics From the Golden Age,51rgn9M9CmauD80rLRDeDG,7,https://p.scdn.co/mp3-preview/27ec7db847c961ec0cc140b2260792aee907135d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,I'm On My Way - Live,01Vj5meFigPDXplSUjjqyw,Mahalia Jackson,6QBUIuGCAJSAtefEY1EEdB,The Essential Mahalia Jackson,2w9wFu5qjGKqBHDLNU2b8N,20,https://p.scdn.co/mp3-preview/d68403300d3bbc1d398c2a1b1cfd8e4fa8c101f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,This Train (J41),4SLJvtfkZQJUYNxEmZtIEa,Sister Rosetta Tharpe,2dXf5lu5iilcaTQJZodce7,Sister Rosetta Tharpe Vol. 2 1942-1944,4FkQ3aw8yWpFGEuAcNIM4f,10,https://p.scdn.co/mp3-preview/45f4464d3442a3e6d37201ec603d0583cd07654e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,That's All (J56),04waIWlUJHvgm1KDyn6sdU,Sister Rosetta Tharpe,2dXf5lu5iilcaTQJZodce7,Sister Rosetta Tharpe Vol. 2 1942-1944,4FkQ3aw8yWpFGEuAcNIM4f,9,https://p.scdn.co/mp3-preview/f53e22c7c97e4a7c140183c4c22eafea10b41f8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Rock Me (VP-391-D3-MC-464),0khsIzIQcrq3zTTf6VScvM,Sister Rosetta Tharpe,2dXf5lu5iilcaTQJZodce7,Sister Rosetta Tharpe Vol. 2 1942-1944,4FkQ3aw8yWpFGEuAcNIM4f,11,https://p.scdn.co/mp3-preview/8db110c4c5588139fb547345563d4318ae119918?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,I looked down the line,0gH8vj516p2tcoBO6wxr3u,Fletcher Henderson,2ovJLSejirvJybNers2YG6,The Swinging Gospel Queen 1939-1947 (Blues Collection Historic Recordings),1MmsMo5POSD1l2I67IDRE4,7,https://p.scdn.co/mp3-preview/76651e729cbcd369cf3ce327b351bf93fc36b9a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Can't Sit Down,4DTq4pKYUeaWCPRKCnbS35,Sister Rosetta Tharpe,2dXf5lu5iilcaTQJZodce7,Sing Sister Sing,37eAippKdaKLfGT1Qo91br,7,https://p.scdn.co/mp3-preview/69a329fda4ecbc5b439fac763d46eb34b82ed512?cid=fa83a2fec7c440b7a2795d600d6b2c7e
