Roséwave: Carly Rae Jepsen's Living Room Dance Party,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5499,npr_music
1,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours (Super Deluxe),0BwWUstDMUbgq2NYONRqlu,80,https://p.scdn.co/mp3-preview/40d1f6d82f16b05b62aae47e8e130de04b407fc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Ventura Highway,4IU1RL4BKvFyXtbTwaHAvW,America,35U9lQaRWSQISxQAB94Meo,Homecoming,7eqBAR9pblivMBOI70q2um,71,https://p.scdn.co/mp3-preview/1dbcc6d5eef4864f7a50d59128099455d4c21e2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Walk On the Wild Side,5p3JunprHCxClJjOmcLV8G,Lou Reed,42TFhl7WlMRXiNqzSrnzPL,Transformer,5SqbMEyAt8332ISGiLX0St,75,https://p.scdn.co/mp3-preview/ba3b4fe65d5198801dc5853e1d9f26f3dc47e8a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,What's Going On,4RNHbYuRaZesMODlihhsUG,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,What's Going On,3OpydOJywRIIozfItYnQlr,61,not available
5,MALAMENTE - Cap.1: Augurio,1B0BQaSRHxhI0AUlItY3LK,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,El Mal Querer,355bjCHzRJztCzaG5Za4gq,75,https://p.scdn.co/mp3-preview/c3eb3a02bd252e22b93f87af33b7e8ce94ac8c9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Ever Again,2E5e4J3nm1LMHkqTS21Dlq,Robyn,6UE7nl9mha6s8z0wFQFIZ2,Honey,6WZjFvrzwq8SOGe0r8R3qk,53,not available
7,Goodie Bag,297rZsBEjFw9d0Gl3iBLnd,Still Woozy,4iMO20EPodreIaEl8qW66y,Goodie Bag,31u58iuxrUOJeKJj4SKqOl,76,https://p.scdn.co/mp3-preview/8b1dd163b564d4831917e35f448544e6b730f99b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Back Pocket,1DrlLvlYd1FIjNavRm6NdX,Vulfpeck,7pXu47GoqSYRajmBCjxdD6,Thrill of the Arts,0LyGgFrZFXpRKpgj664Xu7,63,https://p.scdn.co/mp3-preview/4ce3ae532039d65a5dffbc9e1b858f36d9d519e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,On The Sunny Side Of The Street,16ARXAJAcL8ubHDpBLcqDQ,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,4MkdTflpaaGGcXb5vtOYRs,47,not available
10,You Don't Have To Call Me,3SRtBi7BOQopRV6ayIH0Ai,Amason,4cJKxS7uOPhwb5UQ70sYpN,You Don't Have To Call Me,51InRqFV4uM8tBFt75hOIK,41,https://p.scdn.co/mp3-preview/c6f525e3df04eceb6717af4dc47d908fcd02060d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Motion Sickness,6LxcPUqx6noURdA5qc4BAT,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Stranger in the Alps,0AkAmg94XyiHODJaiGHh9O,66,https://p.scdn.co/mp3-preview/977109b82c57341e274dd9465e144a4794a965d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Follow Me Home,4MoSergiyYFtZQUID5IUNx,Esther,3POjAYvvEzzCFAWm4uHEza,Follow Me Home,24H7hRXnvN0ona2j5JY5sN,42,https://p.scdn.co/mp3-preview/f5216d19a758cd6481edffdaebe6fea954e2c84b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,You Had Your Soul With You,453xpk4hea68C8HG4y0DdK,The National,2cCUtGK9sDU2EoElnk0GNB,I Am Easy to Find,240Gfpkjr06NUT3zBYrwVN,62,https://p.scdn.co/mp3-preview/5acb0929bbe283735fd5da9ca487dfb175a8f614?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Harvest Moon,35U4PXL3W3XIkAjEUdhr36,Poolside,5szdY7KaSi7epwyffrbV8c,Pacific Standard Time,0H8umic35SHzLg26lL1ld9,66,https://p.scdn.co/mp3-preview/0aafa343cbf0867db48b5b1e1a76adb1dacca215?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Wood,4zH4Cya0eAs9vFYKFNEUrH,Rostam,04XggbrM51GcFPTxBYtRXT,Half-Light,2eVtqdI1qU02LHrPH72Omq,46,https://p.scdn.co/mp3-preview/3748c30859d139414b83f6ffba4be28af5741b9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
