NPR Music Best Albums Of 2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4135,npr_music
1,Dirty Computer (feat. Brian Wilson),7nJZ9LplJ3ZAyhQyJCJk0K,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,50,https://p.scdn.co/mp3-preview/242931fcd1f3871e9263406ae496e27260c69aa5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,"Crazy, Classic, Life",06EAtSDu3KSoi4fbA3ZjoB,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,52,https://p.scdn.co/mp3-preview/af30dba6675699efe3346cc456513367828796e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Take A Byte,5Fw17rh1qEC6YoT32BijNI,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,49,https://p.scdn.co/mp3-preview/d7dbc65272a8469f1e2f7765492171728fe1f544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Jane's Dream,0GJZUWxQrzAOvFzqyxK9ng,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,2,https://p.scdn.co/mp3-preview/dd1e3eb23e01c826925a6db3aa5807c013c8a770?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Screwed (feat. Zoë Kravitz),1Z2MfAx1nJ09NzGjodnvRW,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,56,https://p.scdn.co/mp3-preview/d563d5bb0ff0704c5175632e1674b683392446e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Django Jane,56RfNBJGUgL1ZFCB1KEJrQ,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,56,https://p.scdn.co/mp3-preview/1c4d67fb67f650a233ee0e00d3a84f8d9453da82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Pynk (feat. Grimes),5OpiyfqaQLdtwHd3SfembH,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,61,https://p.scdn.co/mp3-preview/e7c017b449966914c4d6c380f902f634241b08ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Make Me Feel,5gW5dSy3vXJxgzma4rQuzH,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,69,https://p.scdn.co/mp3-preview/214ede6c18faaba9935774edfba69e50d7fbf6a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,I Got The Juice (feat. Pharrell Williams),5Yfq9uugLFchtFymQQWxgt,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,54,https://p.scdn.co/mp3-preview/50bca442d003ad57f9ef83363d9412d6aa3d31eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,I Like That,2EznBGrlmx9wBeYgyDojsA,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,66,https://p.scdn.co/mp3-preview/00e166410be04645b01020d1920d887b3e0828f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Don't Judge Me,6UQDIIEPzeduwXlZE86SOF,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,49,https://p.scdn.co/mp3-preview/10b6ebbe09999fcae4cfa1002dc61c821b9696ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
