Roséwave: Crying 😭,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1315,npr_music
1,Space Cowboy,5bum4HbCDFoB9wpsc0sQky,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Golden Hour,7f6xPqyaolTiziKf5R5Z0c,67,not available
2,Hide and Seek,7mMlbJlXXo2mRtQ4R9sIzD,Imogen Heap,6Xb4ezwoAQC4516kI89nWz,Speak for Yourself,0t0Cr8jA63wlm8nWj7qfvJ,59,https://p.scdn.co/mp3-preview/2ada742c0fd18f202bc96bb4c88d4ea0b2bd2595?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Silver Springs - 2004 Remaster,2Y8BloifAHEn6GproQgPs7,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours (Deluxe Edition),3nuRoTy7gi52Z4C0negdw1,52,https://p.scdn.co/mp3-preview/ea722a244f4c354c0213bb09a65fa2934f42f8ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Does He Love You?,56J7o1BuXpJH2UXqElmsEF,Rilo Kiley,2cevwbv7ISD92VMNLYLHZA,More Adventurous (U.S. Release),4n36X2GMJ84BKh9D9zMRVI,39,https://p.scdn.co/mp3-preview/94b013d83e6b70cacd2b1ff18c7ecefa1488f6c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,I Will Follow You Into The Dark,3kZC0ZmFWrEHdUCmUqlvgZ,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Plans,1NFGnxmeIEBakre4DvLaJq,66,https://p.scdn.co/mp3-preview/10db1aee9e759c9cdbe45a6fce67dc4eeb7ed83f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Tears In The Typing Pool,2xFELTbN4G0rgID5uQGLvP,Broadcast,0WtTGUjbur1R1cNzBvbsMU,Tender Buttons,28RiDrxACWNtbrUNy9Ks1X,49,https://p.scdn.co/mp3-preview/383d11c4d7e24e2fedf54cbb44698bdaee992b7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Seein* Starz,2D3hkNp8vO51uJttsiwJfb,Jessica Lea Mayfield,3SmFJf7fxX3J0xXP0IlwK5,Make My Head Sing…,5j9aJR4MUxCrAtDsWQwq2v,6,not available
8,Video Games - Remastered,24jvD83UgLmrdGjhWTFslY,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Born To Die - The Paradise Edition,5PW8nAtvf2HV8RYZFd4IrX,65,not available
9,Skinny Love,2cbic3TiUENlJX91y67ARR,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"For Emma, Forever Ago",4SxFsOO0h4Nz3lFJuysKq5,71,https://p.scdn.co/mp3-preview/9964fbfa8b9d85d3b4edcd5a47c6386f0eadee92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
