Power Workout,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2939217,spotify
1,rockstar,1OmcAT5Y8eg5bUPv9qJT4R,Post Malone,246dkjvS1zLTtiykXe5h60,rockstar,1YCRXKLDRB0UnbrFUJ4F6e,17,not available
2,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,89,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,5LHRHt1k9lMyONurDHEdrp,Taste (feat. Offset),0yd01cU78rnlFXq6vRxPSR,84,https://p.scdn.co/mp3-preview/93d60b97736368a2dd3098c46b2a49c2bc762183?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Nonstop,7bKCapbOEqPzxkgNfshmj2,Drake,3TVXtAsR1Inumwj472S9r4,Scorpion,0ahdiLN9Jsk4OgGSmfClGq,4,not available
5,Drip Too Hard,1BxkZE73h9BN3qwuA15TA3,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Drip Too Hard,0LfKQSbicPG4QTTVkS0fes,15,not available
6,Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,246dkjvS1zLTtiykXe5h60,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,88,not available
7,No Brainer,5WvAo7DNuPRmk4APhdPzi8,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,No Brainer,02drHFQa59AoJWU6DXSSjd,80,https://p.scdn.co/mp3-preview/c10ec149a56d1adedd38f0d1ab660b3a3744493f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,ZEZE (feat. Travis Scott & Offset),7l3E7lcozEodtVsSTCkcaA,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,ZEZE (feat. Travis Scott & Offset),7DER9glBF0SYJU2R54Ipte,39,https://p.scdn.co/mp3-preview/a6f1289a51784c38125ea962755cfd927c1ebb9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,SWISH,55GiOwtxNajXVbpjjIzMnD,Tyga,5LHRHt1k9lMyONurDHEdrp,SWISH,4RH1KjpPQxqtOTyV6WikPh,76,https://p.scdn.co/mp3-preview/055c7ad005a9c4c878396abc11867ec15b6072b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,No Stylist,04MLEeAMuV9IlHEsD8vF6A,French Montana,6vXTefBL93Dj5IqAWq6OTv,No Stylist,0DMvfJWc1DjSbmnJF1NW1o,80,https://p.scdn.co/mp3-preview/7bb40a00fbb1e258c4097856429b45ac02fec09b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Money,2GGMabyHXnJmjY6CXhhB2e,Cardi B,4kYSro6naA4h99UJvo89HB,Money,2drqVzCt52KiDxKgl0Rq0P,81,https://p.scdn.co/mp3-preview/98ae39c7808d3c596f59e02311236f04f5201940?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Goodbye & Good Riddance,6tkjU4Umpo79wwkgPMV3nZ,87,not available
13,goosebumps,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Birds In The Trap Sing McKnight,42WVQWuf1teDysXiOupIZt,87,https://p.scdn.co/mp3-preview/d6d1ec9bfc82463707878d5e36d15e7b8a364069?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Dip (feat. Nicki Minaj),4hXDobvUaXyDFLnmecoY0z,Tyga,5LHRHt1k9lMyONurDHEdrp,Dip (feat. Nicki Minaj),32EKwnBISVjObigwvsBzcL,73,https://p.scdn.co/mp3-preview/dc2890abb7faa426872c79ade0d7b17b1bea7032?cid=fa83a2fec7c440b7a2795d600d6b2c7e
