Rock Solid,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1086833,spotify
1,Sober,6DyywdbmTzlmXBzG9ym7Rt,TOOL,2yEwvVSSSUkcLeSTNyHKh8,Undertow,3Esn6LoXuWtLZNYq8FCzr0,72,https://p.scdn.co/mp3-preview/cd0cc548d25d86b0e1e54a885c8ef96fa4067d03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Californication,48UPSzbZjgc449aqz8bxox,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Californication (Deluxe Edition),2Y9IRtehByVkegoD7TcLfi,82,https://p.scdn.co/mp3-preview/175ce440229d2fb5361756f3e68c9647b86a8eee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Show Me How to Live,1Qdnvn4XlmZANCVy3XjrQo,Audioslave,2ziB7fzrXBoh1HUPS6sVFn,Audioslave,78guAsers0klWl6RwzgDLd,71,https://p.scdn.co/mp3-preview/b7b2f5c1159fcf819ac4b8af89de51707bf9999a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Killing In The Name,59WN2psjkt1tyaxjspN8fp,Rage Against The Machine,2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine - XX (20th Anniversary Special Edition),4Io5vWtmV1rFj4yirKb4y4,79,https://p.scdn.co/mp3-preview/af0c42e6dacc0b8bb43c269ea2075c3de3ee2c7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Take A Look Around,0N5aQPSHQAADNV3VbRH7Ph,Limp Bizkit,165ZgPlLkK7bf5bDoFc6Sb,Chocolate Starfish And The Hot Dog Flavored Water (Explicit Version),3uOEEa9T9s1lpoKzVCxZU0,9,not available
6,Chop Suey!,5V3mdRI2yQxbSsJGDPc5lD,System Of A Down,5eAWCfyUhZtHHtBdNk56l1,Toxicity,4DR0GWo7w2GJyQnFVa4jAB,20,not available
7,Savior,1vcxF91pWs9uNwDROuiCPB,Rise Against,6Wr3hh341P84m3EI8qdn9O,Appeal To Reason,4ebodSLpRqbuQjpGlDZglH,73,not available
8,Everlong,5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,The Colour And The Shape,30ly6F6Xl0TKmyBCU50Khv,78,https://p.scdn.co/mp3-preview/4a2dc307a71393a695d69b16407cd73e1e234941?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Numb,2nLtzopw4rPReszdYBJU6h,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Meteora,4Gfnly5CzMJQqkUFfoHaP3,82,https://p.scdn.co/mp3-preview/e6ccf7717f8a167bfea4afc1bf7da1a0cd707fbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Hail to the King,5anCkDvJ17aznvK5TED5uo,Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs,Hail to the King,0ks45m1bsP2JsZpM5D2FFA,76,https://p.scdn.co/mp3-preview/98789a401a319f3d9cbae41c6c89630154c0998c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,The Kill (Bury Me),1p1nO35bbi4ZlQgjIA4oa4,Thirty Seconds To Mars,0RqtSIYZmd4fiBKVFqyIqD,A Beautiful Lie,2jPmk6qQzuY5AvKkZxMh7h,66,not available
12,Seven Nation Army,3m6KkYKdnbffMpGd9Pm9FP,The White Stripes,4F84IBURUo98rz4r61KF70,Elephant,0rRNLpdA8nA8Sm8Fk490b9,25,not available
13,The Diary of Jane - Single Version,0faXHILILebCGnJBPU6KJJ,Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,Phobia (Clean Version),2usyeZYdUHKlNHKDKgAYSo,69,not available
14,No One Knows,6y20BV5L33R8YXM0YuI38N,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Songs For The Deaf,4w3NeXtywU398NYW4903rY,72,not available
15,Heart-Shaped Box,11LmqTE2naFULdEP94AUBa,Nirvana,6olE6TJLqED3rqDCT0FyPh,In Utero - 20th Anniversary - Deluxe Edition,6ohX7moZZnF1FwYrli1OJ6,75,not available
