mint,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5544863,spotify
1,Takeaway,6wo37KVqFJhtuxPTpLCcfe,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,World War Joy...Takeaway,1JawI0XkEwmQ5Bwef3RMbq,92,https://p.scdn.co/mp3-preview/d6acd39ff853fe8d1fd60603143c60eda0f7f672?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Who's Got Your Love,5EpR6BqAnwR9PPl6sIrzGy,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,Who's Got Your Love,2ddicfthS1XeBDkhDqnWI3,66,https://p.scdn.co/mp3-preview/a0d49bcfcb0debd88241834d64775f9ec2269f10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,All You Need To Know (feat. Calle Lehmann),4Gcv5SsxnQWpmOnUI19EJk,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,All You Need To Know (feat. Calle Lehmann),0xLM3GiU0ZSstvhmeV0hmf,77,not available
4,We Can Get High,0Vct1PkjAYGH2X4iwNVR71,Galantis,4sTQVOfp9vEMCemLw50sbu,We Can Get High,289jwa5AxytNuowanT28Dm,70,https://p.scdn.co/mp3-preview/d1dd55a75d20f700833cab6c0f4ef91ec822e486?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Sparking My Fire (feat. ROE),6H4Z4Sl0QYihizCTPzhEZm,SACHI,6kG0WKHsAOfWp5IsizmQxR,Sparking My Fire,6FYBIHGzuSy8KNqdtpALqs,63,not available
6,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],6m8SIT10j41SPpPFOknTmP,ILLENIUM,45eNHdiiabvmbp4erw26rg,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],1r4KIEhxQJ7o3b5Fbv2sRe,68,not available
7,Buzzing,3McFoGzAMw63UDlS79C2RU,Audien,4xnMDfgEmXZEEDdITKcGuE,Buzzing,44faSu9Z3JpG89mPyhtIsn,63,https://p.scdn.co/mp3-preview/666344609e3cda7858c6b793822b4943db0d3d52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,When In Rome,1ysP0xeOMwpdaPvYbZtBN5,GATTÜSO,3PlRvQnVE3XAbtHUNc4nic,When In Rome,3daubnhKaUTkjWO1DO310f,62,https://p.scdn.co/mp3-preview/f7800f0d04f03ad1f20645b474587773b3fc472d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Post Malone (feat. RANI) - GATTÜSO Remix,6b1RNvAcJjQH73eZO4BLAB,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Post Malone (feat. RANI) [GATTÜSO Remix],6703SRPsLkS4bPtMFFJes1,66,https://p.scdn.co/mp3-preview/49491ec3d882eb352c23856c2ea20cac243c3478?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,So Cold,3F6TGxqTgTnpGzIXqjZduA,Mahalo,1SeU8Y2rEUpEoeWmUCdQIR,So Cold,48tBYr2aRBxUETmFJk7fj7,61,https://p.scdn.co/mp3-preview/6d7b4547d19796c9248d2bc42f847b5b9a6aa6ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Dreamer,4PZSK9emDiCzkvT3yMWtOT,Throttle,6mPZJXtFVaakznkRxdgWtC,Dreamer,5ij6BBKCq60e6EFh3bGUC0,59,https://p.scdn.co/mp3-preview/4fcfea9b69ddbcd16faeb2f007db74ab6f6bc215?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,All the Time - Don Diablo Remix,1z1Hg7Vb0AhHDiEmnDE79l,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,All the Time (Don Diablo Remix),1HoSmj2eLcsrR0vE9gThr4,71,https://p.scdn.co/mp3-preview/561332cbe1dc118decfe60529e5e24bf78350abb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,In The Middle,7JHdotEeGSIbtFuo4dVvsC,Alesso,4AVFqumd2ogHFlRbKIjp1t,In The Middle,23yCVntK9nAjsZXHqX6hGS,69,not available
14,See The End,1dDDVfAfms7M6VLLKmubaJ,Above & Beyond,10gzBoINW3cLJfZUka8Zoe,See The End,1pWFIuIovMzZ7OzvHKsT3W,65,https://p.scdn.co/mp3-preview/4567b26a1aef2b53c6e47749f821b25e87d9b0db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Call You Mine - Keanu Silva Remix,75FpbthrwQmzHlBJLuGdC7,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Call You Mine - The Remixes,1nqYsOef1yKKuGOVchbsk6,57,https://p.scdn.co/mp3-preview/08d3638adad917948c69b9eb458c1114634ecaa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Beautiful People (feat. Khalid) - Jack Wins Remix,7fvUMiyapMsRRxr07cU8Ef,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid) [Jack Wins Remix],2yiy9cd2QktrNvWC2EUi0k,69,https://p.scdn.co/mp3-preview/c4944bb413385d86fd1a4c7f1685ea108cb4ca28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,I Wanna Dance,1CW7tYkpJ95c7bQkRf6CcK,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,I Wanna Dance,3niF8tyjfJw8pmfc6VYKGa,70,not available
18,Let Me Take You There (feat. Laura White),5tuOGRYPjh5lV6M5zbNRNH,Max Styler,3NKKngINK1tP6BFy0WOyWk,Let Me Take You There (feat. Laura White),32DjFgVCtLPRz3HNJCEH9S,59,https://p.scdn.co/mp3-preview/83309409cca1f6b89b2874bf5e72aed35a523044?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Love You Forever,2gqzTQEn4g5ly0n5ScdMx0,Nicky Romero,5ChF3i92IPZHduM7jN3dpg,Love You Forever,6HiujSCdsYuCXdd759w2kr,66,https://p.scdn.co/mp3-preview/2c58c4e50cfd3f626eaa234fcac6e45e38a94ec5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Holy Water,7Ga9ZSdPAcQXQvd1ObVFpm,Galantis,4sTQVOfp9vEMCemLw50sbu,Holy Water,18C3JLfjKrkCKZubEhqJuw,71,https://p.scdn.co/mp3-preview/c2c54ef611015334a3a315ba8352365bbfaf9877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Say It,4nx4h17pRj1ikT0hZecR8z,Phantoms,1bJJlRHoc1UVeqzxcrPLIw,Disconnect,0xIhw2XT55ZWZvXT2ZKQ3w,57,not available
22,Heaven Can Wait - The Aston Shuffle Remix,3C4fzUgIP3ahkhOBdP38GM,Sia,5WUlDfRSoLAfcVSX1WnrxN,Heaven Can Wait (The Aston Shuffle Remix),6fUjIqkNJY56xS62ild7D1,62,https://p.scdn.co/mp3-preview/d0d866cab57c06caaef88feb0700c117a4d61e3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Lonely (with Chandler Leighton),2tPzQueGEjxjmBvJrYe02u,ILLENIUM,45eNHdiiabvmbp4erw26rg,ASCEND,60xcVwuQJAOyu11xf9mObS,67,not available
24,After Hours,6qLkMLUIkdtX34gHF9sPFL,M-22,4WFtYn5RyU8VGPpPyW9Pxw,After Hours,1LD7wfM8EYjricnmu1EpWQ,67,not available
25,Anything For You - Feenixpawl Remix,3R57ncBBnLa5ZdLRGRCKIi,VAVO,44re77WwNG34C182Jq3WIK,Anything For You (Feenixpawl Remix),6Z7KNRC3gnjHfvpiJLcWcM,58,https://p.scdn.co/mp3-preview/b93877ae872746db1f26a48adf1ea1b7c635964b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Ritual - Benny Benassi & BB Team Remix,2fQYA6cFN4ClfI4OmtpC98,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Ritual (Remixes),6J6d8HkY1qgv5mppvldybQ,61,not available
27,Never Change,1SG6r7daFfpzPcU15luVqB,Don Diablo,1l2ekx5skC4gJH8djERwh1,Never Change,3YlCbpHzM8GyLYE43TXijW,71,https://p.scdn.co/mp3-preview/66faba393fe9a352998f3d5ada5f1b397ce9f49a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,With You - LöKii Remix,2aFAmDBycyEnj3lcS95JMe,Kaskade,6TQj5BFPooTa08A7pk8AQ1,With You - The Remixes,5cHgBxHHpJLjMWGBBiJEVJ,59,https://p.scdn.co/mp3-preview/6a1fb5c7f6c7ee78625499f8724c6a680d83e275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
