All Out 00s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,7599793,spotify
1,Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,The Time Of Our Lives (International Version),0IuHVgAvbNDJnJepuSZ8Oz,80,not available
2,Umbrella,49FYlytm3dAAraYgpoJZux,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad: Reloaded,3JSWZWeTHF4HDGt5Eozdy7,81,not available
3,Love Story,1vrd6UOGamcKNGnSHJQlSt,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Fearless,2dqn5yOQWdyGwOpOIi9O4x,68,not available
4,Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,Britney Spears,26dSoYclwsYLMAKD3tpOr4,Oops!... I Did It Again,5PmgtkodFl2Om3hMXONDll,77,https://p.scdn.co/mp3-preview/7fb86827422540ad01f65870375fef055412f034?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Replay,4E5P1XyAFtrjpiIxkydly4,Iyaz,5tKXB9uuebKE34yowVaU3C,Replay,44hyrGuZKAvITbmrlhryf8,75,https://p.scdn.co/mp3-preview/409a5fc7b41354e36172a0c0197f9d3298d31141?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Since U Been Gone,3iJTbZDSnZ676y5qObWDm0,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,Since U Been Gone,6eYW3u9E60TXB8Lg2XlPd9,61,https://p.scdn.co/mp3-preview/620bf0eecfb629e4bcd9feac1dd61e3bac66e654?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Take A Bow,3goSVuTt3fDYDP6kRnFwuL,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad: Reloaded,3JSWZWeTHF4HDGt5Eozdy7,78,not available
8,Gold Digger,5XJJdNPkwmbUwE79gv0NxK,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Late Registration,4GRDFQ9HRoO0by8H0r2a3I,18,not available
9,Every time we touch,2gOlrge3YTmYPwsCGgU62K,Cascada,0N0d3kjwdY2h7UVuTdJGfp,Everytime We Touch [Premium Edition],37UdEjtwrEEqIYiY131xCs,20,not available
10,Irreplaceable,6RX5iL93VZ5fKmyvNXvF1r,Beyoncé,6vWDO969PvNqNYHIOW5v0m,B'Day Deluxe Edition,0Zd10MKN5j9KwUST0TdBBB,73,https://p.scdn.co/mp3-preview/b1cd9ecf3b5108363846f497897b5bcbec44343a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,So Sick,4SRqDmPxYX0pUb5B5ut2Ri,Ne-Yo,21E3waRsmPlU7jZsS13rcj,In My Own Words,1WO7bigEZckVrkzPBjAsiQ,17,not available
