We Everywhere,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,346544,spotify
1,Be Honest (feat. Burna Boy),5pAbCxt9e3f81lOmjIXwzd,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Be Honest (feat. Burna Boy),4d2oTHRFwGifGFgve7zSGC,86,https://p.scdn.co/mp3-preview/55bfb31d5fbbc26818f8585c66911a5093642bc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Won't Be Late (feat. Drake),4v0FSMsulZqfi28KIdwDfb,83,not available
3,ALREADY,6tgEc2O1uFHcZDKPoo6PC8,Beyoncé,6vWDO969PvNqNYHIOW5v0m,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,72,https://p.scdn.co/mp3-preview/6e8bef4d9afb67163e187822d7f872364963f949?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Joanna (Drogba) - Remix,10dVVfHlZYjV4Qv9uNVgrA,Afro B,7oMRcCu0OYSCtCyS3P37iC,Joanna (Drogba) [Remix],5V6gbDL0wFSWfb29iA2YDL,68,https://p.scdn.co/mp3-preview/91e0514cb0d5207b207e0728b02f6453893c2189?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Flashy,41No0XJqpkBagnt5p2fHrZ,Maleek Berry,520qA5VGL9iI0SbmEnTVNg,Flashy,39P7ttEhx5JCFqAe7VLB91,64,https://p.scdn.co/mp3-preview/e011daa5e2aa3fe1b0492420491793d330ce5e56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Location (feat. Burna Boy),3z4CGd63tpUn9a6oQSG0CI,Dave,6Ip8FS7vWT1uKkJSweANQK,PSYCHODRAMA,4GrFuXwRmEBJec22p58fsD,82,not available
7,I Like (feat. WizKid),5s7j77zpP6e9uz2Q1DU851,Kojo Funds,2o9hRZ3xI27UQpHT61A4Mm,I Like (feat. WizKid),7b57oWMZmdG8wjwjtRiKSO,69,https://p.scdn.co/mp3-preview/79c2c194926a5a4eff309d89cd47d9e9f010b731?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,FIND YOUR WAY BACK,65kk9CAAqFI3LWBEhUwVqd,Beyoncé,6vWDO969PvNqNYHIOW5v0m,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,66,https://p.scdn.co/mp3-preview/43718dbb86460b676dd73b7806ca11112d1b7725?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Raw Dinner,2PyJgiGTC2jhNkqtPBwHsv,Santi,15GgEOJiFyjQm4tZ4D7qih,Mandy & The Jungle,4IMFZY59ree679oXQS36xM,56,https://p.scdn.co/mp3-preview/d764b26b1f430545fa0023452b31e7910bac6d27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Go All The Way (feat. Mr Eazi),7IgVM0GW96uXhM5XUeYgH9,Dyo,4H1PNuHElBLVok0lnYMrRb,Go All The Way (feat. Mr Eazi),57rhe0uqtPpNqowgPbxhBm,43,https://p.scdn.co/mp3-preview/0b2a63f85eaed89f1e4eb0bea1f1c78c3fadf317?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Simmer (feat. Burna Boy),4JSEMSiKPVcIEBQIlmGuI3,Mahalia,16rCzZOMQX7P8Kmn5YKexI,Simmer (feat. Burna Boy),1l08IrLHEL9QQfsYBEs9MM,73,https://p.scdn.co/mp3-preview/27decbe2ead96b166523cbf973b9dc08ba84444d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,"My One (feat. Tory Lanez, Kranium & Dappy)",3zgKEF4I4ILmTTSBvtiRlJ,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,"My One (feat. Tory Lanez, Kranium & Dappy)",1bE9v4U6xT3MDCh2SPn3jH,71,https://p.scdn.co/mp3-preview/495c22aca83c0cdcb674af337a523ebb2560975b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,BROWN SKIN GIRL,0B3FovCVaGKS5w1FTidEUP,Blue Ivy,3XV0lFzNs8BCTwhJTcMiBr,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,77,https://p.scdn.co/mp3-preview/919c83819c5bb9a0097635dd978f9c74135a9cc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Lower Body (feat. Davido),2jARcMhrTB54EH2VxNvWpW,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Indigo (Extended),3okhA6w5uau6ZNhnVpwVww,62,https://p.scdn.co/mp3-preview/bbd647df398f7582a356de882abc75e5555196c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Cake,0RUHX2p7EZ168CxQURXJRp,Juls,7BIkk865pwBrSZetA8Izic,Cake,6WpVEG737r5citJlfoJlRc,52,not available
16,Gum Body (feat. Jorja Smith),5u85l53Y04W59OfzQUsQX6,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,277z75G1Gdz0SWN9pegrrs,39,https://p.scdn.co/mp3-preview/bdc38128e67089698b6ddce24a5becec4e88ddca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Miss Diva (feat. Yungen),3mTSAVBL7yd7iHAaglXUPY,One Acen,16plk1BhihSieDutGFbLt8,Miss Diva (feat. Yungen),2v8CY04DxF2k3PgfyEz8mi,66,https://p.scdn.co/mp3-preview/643264e93863ad0f6ef5462d2a1e6a49aa40e256?cid=fa83a2fec7c440b7a2795d600d6b2c7e
