The Scene,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,328552,spotify
1,Bad Heart,57Ky2Y8zqApk6Wz29Rt05c,Overgrow,0JF3phIHeUwu0WwMBGvegA,The Name We Share,6vW7iTJmX0pWVusTt7bOMk,21,https://p.scdn.co/mp3-preview/6b79bfe0013aa5e015c5d7360be40c85568008bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Sleepwalker,1lC5rRa2ivaqAbK2i1tUHG,Locket,6h0cRpTv4GFq0zYbCbsDXy,Disappear,3CH5aysv7LcybjuywWJNv1,20,not available
3,Save Me,4EZ2kjZgcxhvgPubV1sG7v,Homesafe,5vV4gEs3O35SdrdwhvhYwe,Save Me,73utkAO5DupJeydwRF1zJ9,23,https://p.scdn.co/mp3-preview/5e4733371b9f9a49cd8113beccbce9ab8667e6c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Criminal,0CXQ2LNOcb6oJTWYEWKtyK,State Champs,1qqdO7xMptucPDMopsOdkr,Living Proof,1Qb73C8hC76e3R8udyit5I,52,https://p.scdn.co/mp3-preview/9a21a40546597395514be30caff8e31b02913dc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,"If You Were a Robot You'd Tell Me, Right?",2AWnzpien4nUUrxch08Pmw,The Seafloor Cinema,39a4hGdTS669oJBra6j9Ru,"If You Were a Robot You'd Tell Me, Right?",42Av3KvAXas7PQMDe8Fbr5,22,https://p.scdn.co/mp3-preview/4d076e3b0a0c3dca5036fada3456c104baaa3cdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Twelve Eighty-Nine,5qTDrT9xo939RRV5iGQ0n3,Overgrow,0JF3phIHeUwu0WwMBGvegA,The Name We Share,6vW7iTJmX0pWVusTt7bOMk,19,https://p.scdn.co/mp3-preview/5f092db596340276a5d1590edad039075f9793f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,"Heaven, We're Already Here",48Kt0Zugeset3zlvhLPJmz,The Maine,4o0pNHbyj36LPvukNqEug0,You Are OK,0DRUOQBsax8QLUVctbEIAT,26,not available
8,Adrenaline,5vxX2POnp7NBbaCAIVQix7,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,Strange Love,1j6QSpMFpwtR9SEZvGgR4L,58,https://p.scdn.co/mp3-preview/0f803f1f2499ae464c6f20d2e2c3e8d6e7dff1be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Gone,2c2E2N8xPNAVt5cXJvo4Ak,With Friends Like These,4nuaL8z7WtwpHxY48Lcfcz,Pop Culture,03EcmdV2NlxgtVrAOqmTxx,15,https://p.scdn.co/mp3-preview/9bd3fa3e90fccd4c88ee308c8527aa865aed74ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
