All Out 50s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,962840,spotify
1,Under the Boardwalk,65jrjEhWfAvysKfnojk1i0,The Drifters,1FqqOl9itIUpXr4jZPIVoT,Under The Boardwalk,7AgI5vniflcbh86Znea7yM,70,https://p.scdn.co/mp3-preview/8cf57563d7553159042a312443ae361880c57b41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Beyond the Sea,3KzgdYUlqV6TOG7JCmx2Wg,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,That's All,5MsJK0kqiYIJDmd3cjkGMn,66,https://p.scdn.co/mp3-preview/265a0fffe03b363973ddf23f0c8f4e55a3d0b45a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Everybody Loves Somebody,78VG6M1i7JQXBdygmWFwye,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,The Reprise Years,6anBFHbt3PaNwDKWbsVkzG,62,https://p.scdn.co/mp3-preview/d2b12a99c2d07cc5f085acf174f75889678ecc0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Take Good Care Of My Baby - 1990 Remastered,1MR7XamWS0XH6vZxeeRdE0,Bobby Vee,5MX2l6ewjOaeWn1lYNhzlO,The Legendary Masters Series,434hmQ0GM7ynBeMZz5BSQ3,62,not available
5,Sugar Sugar,19qzSe9XbN4BdJdvxBK5Xl,Doogal,4n3vjMRdlAytJbOmCH3gbi,Doogal,2ILMYokXxVNgm0x8VlOjw2,9,not available
6,(What A) Wonderful World,2g2GkH3vZHk4lWzBjgQ6nY,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,The Man Who Invented Soul,3Seie4YIVLWtPw2hQrouNY,73,https://p.scdn.co/mp3-preview/8aaf03977a5caa7ab2995e71e07b735a77c9a8de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,All I Have to Do Is Dream,72nqbbrKjhXmDdRXQGq115,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,Fabulous Fifties Nostalgia Vol 5,5Bi3wDUlDlfKUYb5S5kcY6,9,not available
8,"Return to Sender - From ""Girls! Girls! Girls!""",3uwIoa2emQILz6BmH6MtiW,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Girls! Girls! Girls!,6wH0jlf2q1yCprUO5XWSdz,62,https://p.scdn.co/mp3-preview/bc26e58d6ef90d9c69373b717ebd0739dd09050f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Dream Lover,1KLpjQFgubHI3GkAICCNH3,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,The Ultimate Bobby Darin,65okcRJHUVUrFiDG3I1Sz8,63,https://p.scdn.co/mp3-preview/f2cfbea96801e0fe3ecc810fd674214a7d8b1ce4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Breaking Up Is Hard to Do,7utoClKnLShFg6u6dZ20gp,Neil Sedaka,5N6GwJzOcOY5kv8p0NjhYL,Collections,7s1t3zA17RfNVhMYv2v52o,54,https://p.scdn.co/mp3-preview/615c303c30f5fc61255d856d316ce955e16bb41c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Be My Baby,1WN4uNclrDuczTO3bCr8s1,The Ronettes,7CyeXFnOrfC1N6z4naIpgo,Presenting the Fabulous Ronettes Featuring Veronica,0CoNLgOwcZGBUSwd9fAZuy,53,https://p.scdn.co/mp3-preview/4cc65df2093b5e80f8f7629525adac09f2510e04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Will You Love Me Tomorrow,038uhVbOVY9RUMR93PZ56G,The Shirelles,0x83OBqixqdCHnStP5VMcn,Will You Love Me Tomorrow? The Anthology,0P50pSnk73fmyFAeqrQUmA,8,not available
13,Travelin' Man - Remastered,2jc4wyf3ys0zKCpxHRjEYx,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,The Best Of Rick Nelson,607RtLzi6P55QVhosSAGwQ,57,not available
14,Do Wah Diddy Diddy - 1997 Remastered Version,5kWobkGc1McvhM4LzWyJO3,Manfred Mann,5670CyWrIOA7702gNjsGMZ,At Abbey Road,4Iizap6rgpM8EWv8FW8b0b,12,not available
15,That's Amore,2viNxee3uNcVXrXvwAUVir,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,Forever in Love,5G0DaDS3kbsDulknFND6eo,8,not available
