New Music Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,204286,spotify
1,Lights Up,2plLJpUcYPFrl1sW2pMG63,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Lights Up,4Aag1alBrdk2TFnATVmn8D,85,https://p.scdn.co/mp3-preview/aacbe5176d00ff0ea6cae1977ff71a1ac0d92af1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Easy,46D0hYb1B7qiU33VtXt21W,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Easy,514p9UpvibpBhShFgpZaxS,75,https://p.scdn.co/mp3-preview/c56216be5426c927962636e64f4b67981b06a556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,original me (feat. dan reynolds of imagine dragons),4KzOYxD4qIkUtZV9ZYakGu,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,original me (feat. dan reynolds of imagine dragons),6Qdnzl2AlEZDIeU3AaLnNM,71,not available
4,Walking (feat. Swae Lee & Major Lazer),1qbXrxctv75pm1lWCn6Zw3,88rising,1AhjOkOLkbHUfcHDSErXQs,Head In The Clouds II,7bOpX6Ilc9UCFmH9uGyUDy,66,https://p.scdn.co/mp3-preview/1e8690bcd59b8023a5f09f1864e792d9958f844f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Lose Control,7CHi4DtfK4heMlQaudCuHK,MEDUZA,0xRXCcSX89eobfrshSVdyu,Lose Control,1qSOaTvsCOyFJya3v1UzkP,67,not available
6,Problems,75ylrnob5O80WTKi9ugZ1Z,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,ASYLUM,1qnAzDoa24ZYCZDzmP74sL,66,https://p.scdn.co/mp3-preview/b54e8d9c4b1762d2cca4dedf95b0aa5fdfe58122?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Exhale,3habomq2nwlaN5Jqrl5PT8,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Exhale,4c8EDhWsVDfqw8knVVTOn8,65,https://p.scdn.co/mp3-preview/0ef8f727eacf8d669f680411821f8dd8c96efef6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Twisted (feat. Logic & A$AP Rocky),5xEWiG0ug0rOymOjlzSGzx,French Montana,6vXTefBL93Dj5IqAWq6OTv,Twisted (feat. Logic & A$AP Rocky),7rmnGDfffE9OoCScZ4pjjU,68,https://p.scdn.co/mp3-preview/2f7e185f49682ce653a78546e40667a69b3f8d5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,You (feat. Travis Barker),57CsOeLJrdI20fS4Z8pZPj,James Arthur,4IWBUUAFIplrNtaOHcJPRM,You (feat. Travis Barker),0EW257HwkJ1CblYgM9GIAY,64,https://p.scdn.co/mp3-preview/0262f6de6d1800d4646d665b45893440f7ba15e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,"How It’s Done (with Kim Petras, ALMA, Stefflon Don) - From ""Charlie's Angels (Original Motion Picture Soundtrack)""",0J9ghzEgd73aFdr6uZwKD1,Kash Doll,3u579Gdap91lMptBSdXTpf,"How It's Done [From ""Charlie's Angels (Original Motion Picture Soundtrack)""]",2zS7oE9GeAyqHt8ptXfNKu,59,not available
11,Puppets (Succession Remix),7vAkKCODYbpF2b6brNLzqo,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Puppets (Succession Remix),045PA2kXlh776mWzZNqt5L,60,not available
12,Find an Island,4DnKssL3N9jv5aox9Xsavc,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,Find an Island,6U473Cz67UE5kN5SVOTUif,57,not available
13,LA & The Parties,4BX9utrulgT68sAqwWjrkZ,Lost Kings,3hyEbRtp617pNCuuQjyOmc,LA & The Parties,4w93xIU3AFd4X2ZkNfniz9,58,https://p.scdn.co/mp3-preview/c4941514b097dd051b5fa2b5b13d4b8e50899160?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Somebody,735RSTb2xbtWbDtKD9XDYi,Internet Money,6MPCFvOQv5cIGfw3jODMF0,Somebody,2tGRWs8mrUVyjgbMIQpWQN,68,not available
15,JT First Day Out,0Otdui0avqjOxuCAzC7Jfc,City Girls,37hAfseJWi0G3Scife12Il,JT First Day Out,4kqU7ojcMMAGEmEuJjfghx,69,not available
