State of Mind,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,291049,spotify
1,Leaked (feat. Lil Wayne) - Remix,7x9Am1UW3C5yCZLSysEWxX,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,True 2 Myself,1bCBZ8LedqwVYOLDLrRbbY,62,https://p.scdn.co/mp3-preview/8af1f00140a3636d0780b32dc515850285716f12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Mood Swings,2xE16muNCmhZwSOv3i1d1H,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Mood Swings,0ewO3paYhoJwMGX1Yjyebw,82,https://p.scdn.co/mp3-preview/6624c5f2bd5d29d8ed40b4b65ec97ffc178480f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Somebody,735RSTb2xbtWbDtKD9XDYi,Internet Money,6MPCFvOQv5cIGfw3jODMF0,Somebody,2tGRWs8mrUVyjgbMIQpWQN,68,not available
4,Foreign,5hp38gaZUvwjFrqYkru886,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,57,https://p.scdn.co/mp3-preview/3e5c9507fe522543a157b0fee64bef02cd4b284e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Hold On,03i4lR6ZZo0214WhmrE8t9,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,Hold On,6oFeA7Pda0jOC7jVNIAp9k,75,https://p.scdn.co/mp3-preview/579e5874c1f1ff299883d9eae54e23af982c293d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Broke As Fuck,1faIb3PPSzEifCHUOJ691R,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,79,https://p.scdn.co/mp3-preview/26b166ec6ed2cdf881dbba5045945529b64baa12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,War,0JhonNQL2ixH1JcsgEj4Hn,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,War,7rF0hkAw7bmas9Cd44F7tA,66,not available
8,BIG,2qSpOQdHmHpOcVXzV9WU5w,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,BIG,15Hb036I0nq54xg0ZRGZLr,76,https://p.scdn.co/mp3-preview/b48bc6b0ead1967e78fc348fc2192732fff9cabc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Never Lie (feat. Moneybagg Yo),0CLhMOVhX6TaPpugYkEsge,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,Never Lie (feat. Moneybagg Yo),6w9XKjOZTLF7CBhA5P6LOB,69,https://p.scdn.co/mp3-preview/36b1364a3069fadeb6d3b2f4c05a467c20fbd1e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Routine (feat. Rick Ross & Meek Mill),5MqPHMhLXyZDDPHMGEF6MQ,Wale,67nwj3Y5sZQLl72VNUHEYE,Wow... That's Crazy,0JRDNN0AuZZiwyrOWkNDXC,66,https://p.scdn.co/mp3-preview/3fcd0bc3f922c1cc188cc5f52dd0c2d558ad8615?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Alone (feat. Jacquees),1367Sa0d0KFI96DHsTc8ID,Dave East,7e10JUMF7MJmmwYpnTSMI5,Alone,2HkdAB5Qb8LrjQgMN9vetv,61,not available
12,Babushka Boi,643PW82aBMUa1FiWi5VQY7,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Babushka Boi,3zOkSAbg9o7gQ3yXtZhx5v,84,https://p.scdn.co/mp3-preview/831dae9f38d24f6f02f126326882e86f6916847f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
