All Out 90s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5063572,spotify
1,I Want It That Way,6e40mgJiCid5HRAGrbpGA6,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,The Hits--Chapter One,1NslKOZobWxINFaFkLol3r,79,https://p.scdn.co/mp3-preview/e72a05dc3f69c891e3390c3ceaa77fad02f6b5f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Stop,3FteycP8CaXS1MhjcXekVT,Spice Girls,0uq5PttqEjj3IH1bzwcrXF,Spiceworld,3sr6lAuO3nmB1u8ZuQgpiX,71,not available
3,Walking in Memphis,60Pwcnt2y9ML9VP4gwrcxm,Cher,72OaDtakiy6yFqkt4TsiFt,It's A Man's World,2PnxssdlO80Mt9ipZnu7MF,67,https://p.scdn.co/mp3-preview/d21dad8dfa18409d0428549ffdd12f75ca05e496?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Man! I Feel Like A Woman!,0Xd1XT0mlPMTK5uslC6pzl,Shania Twain,5e4Dhzv426EvQe3aDb64jL,Come On Over,1Xq7GtFHmTt110bmxQrtC4,17,not available
5,I Have Nothing - Film Version,76puoNshqjAAocKl5KbmpQ,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,I Wish You Love: More From The Bodyguard,3qEUTNGTeDXwYwSl3v2hNV,64,https://p.scdn.co/mp3-preview/5efefcb66bcd144cde6c730c4c6e2bbcdb2dd620?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Everybody (Backstreet's Back) - Radio Edit,1di1BEgJYzPvXUuinsYJGP,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,Backstreet's Back,2U9ONknz1iFEK9drEKLx8v,74,https://p.scdn.co/mp3-preview/2da7ea19b35ecbfaf2dd7273e9b305a4e090bbc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,Spice Girls,0uq5PttqEjj3IH1bzwcrXF,Spice,3x2jF7blR6bFHtk4MccsyJ,81,not available
8,Believe,2goLsvvODILDzeeiT4dAoR,Cher,72OaDtakiy6yFqkt4TsiFt,Believe,0jZfbz0dNfDjPSg0hYJNth,77,https://p.scdn.co/mp3-preview/579967c91dc409b693b9819c12bbba83e4d0f9a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Picture Of You,2AlVWg58iy4Cx6KqD0XYu2,Boyzone,6X9aYHnQ75YI8o08aoa0iS,A Different Beat,6v6BH1znvQFCn3GBsyqVBj,67,not available
10,Kiss Me,4pZ2aqPV39Gw3FuHrWKWnM,Sixpence None The Richer,0lJlKQvuM2Sd9DPPyUXcHg,Greatest Hits,3URghLWYuHoUwnzvfNnNn5,21,not available
11,Quit Playing Games (With My Heart),10TwZnDyL3tfpwBV85Wevs,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,The New Best Of (All Hits & Remixes) 2016,39gSR80KryAcX955TARfGg,12,not available
12,"I'll Be There for You (Theme from ""Friends')",1lfjTOtTRUDkzcmahA4lcs,The Rembrandts,0gDg7FEsF4Y1jWddJJgcn4,I'll Be There For You (Theme From FRIENDS) / Snippets: Don't Hide Your Love / End Of The Beginning / Lovin' Me Insane / Drowning In Your Tears / This House Is Not A Home / What Will It Take [Digital 45],4CO85kzQhLUTWkVBoQ4OKu,65,https://p.scdn.co/mp3-preview/71560d3eabf048cc3acd77de34a654687fc72043?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Hold On,4VZDv8sASBS8UruUBGTFdk,Wilson Phillips,1yMYjh77WgOVafRkI50mim,Wilson Phillips,1Xi55xFMaymXdSWshmxhw2,69,not available
14,This Kiss,0TxXEbxn52XsuAhxb6VFZw,Faith Hill,25NQNriVT2YbSW80ILRWJa,The Hits,7fvl3dOnDrv9rq5IBmLbAa,66,https://p.scdn.co/mp3-preview/e4905aff16bfd18e5a5623baa20a4e6fce7625a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Bye Bye Bye,4r8lRYnoOGdEi6YyI5OC1o,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,No Strings Attached,5hMd4vAfSUT1cbYCnRUako,69,https://p.scdn.co/mp3-preview/9a712112b9a333e326ff46c93e83c4c9e17b8e80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Torn,3APayTEWiUl9Ssep4BOXR2,Natalie Imbruglia,0dlOr0VIysztGWvU1dpjmP,Glorious: The Singles 97-07,5snQakFpbHsJmrAvhgeuHX,69,https://p.scdn.co/mp3-preview/79a104cf03840992b9de684636ef0cc0ef98b018?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,MMMBop - Single Version,4PgPnzbAgjCQ2eA6YAWcUw,Hanson,0SdiiPkr02EUdekHZJkt58,Guilty Pleasures (International Version),2F3jGeVC9Oua9omnR6Uoi8,17,not available
18,Ironic,4oGTdOClZUxcM2H3UmXlwL,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,Jagged Little Pill,09AwlP99cHfKVNKv4FC8VW,59,https://p.scdn.co/mp3-preview/457d1a134a7a8174f5fa52f2d2b82c6927acb7aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Back for Good - Radio Mix,24fQpRwKFkC3Fe8QtvvrNw,Take That,1XgFuvRd7r5g0h844A5ZUQ,Nobody Else (Deluxe),5QnHvl0ne6yEhRGw3ajvFF,70,https://p.scdn.co/mp3-preview/8f9085faa29895e3eb68da902f2ba0d6ad180ddc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,"Baby, I Love Your Way",1Rvl8qsKJurfFTyWLBI9ib,Big Mountain,0Jeckitay8SbvKwqAzWuYH,The Best Of Big Mountain,4QHFXQLRwZx5122InHluo5,72,https://p.scdn.co/mp3-preview/2088ffea2a54124e1e4e5e195303251f401c796f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Breakfast At Tiffany's,3GpdNg7Krt9vjc6tgDoKe1,Deep Blue Something,5N5RfI8FFXk4WQ8kkjE407,Home,0f3MAWN7G0RtC7UT6lj6x9,69,not available
22,Sometimes,1UI0l2L66HJ9AtoEOlHzv4,Britney Spears,26dSoYclwsYLMAKD3tpOr4,...Baby One More Time (Digital Deluxe Version),3WNxdumkSMGMJRhEgK80qx,70,https://p.scdn.co/mp3-preview/66534231ccdd99619485b6ea4fa90987322dd812?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,No Scrubs,1KGi9sZVMeszgZOWivFpxs,TLC,0TImkz4nPqjegtVSMZnMRq,Fanmail,1CvjjpvqVMoyprsf74bpYW,81,https://p.scdn.co/mp3-preview/69daa711bddd8fe7aa9acf17106ca85cf1ccfa14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,I Love You Always Forever,1PEqh7awkpuepLBSq8ZwqD,Donna Lewis,2EfG2EoT8GFJrMiilbTVl2,Now In A Minute,1VzYTrtId9CgUTo7VQBFbL,71,https://p.scdn.co/mp3-preview/17a0534bdeee4390ec17bb17efcd1483780c82da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,There She Goes,4c6vZqYHFur11FbWATIJ9P,The La's,47Z8LEl3LnQkcpva0xSthT,The La's,1djwiQ802xeU8Q45jv1b0x,68,not available
26,Walking on Broken Glass,4CcSw8wQAHYf4XNckayPoc,Annie Lennox,5MspMQqdVbdwP6ax3GXqum,Diva,33ImEB9taJ3Tie4APfTL7B,71,https://p.scdn.co/mp3-preview/5fd862611e0a7a205759183238c21f37b96ea4c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,"Because You Loved Me (Theme from ""Up Close and Personal"")",1NOeZ7ZIVKMebuza26rofd,Céline Dion,4S9EykWXhStSc15wEx8QFK,Falling Into You,55UPmpHLvZKGgTPUD1woES,47,not available
28,Truly Madly Deeply,69hwHdKl4Y1HusAutt3W6q,Savage Garden,3NRFinRTEqUCfaTTZmk8ek,Savage Garden,73I6LRyJDx4scO2zlMqR8m,22,not available
29,Friday I'm In Love,1Ab3miDy9TBJskMFlkiB5Z,The Cure,7bu3H8JO7d0UbMoVzbo70s,Greatest Hits,205LG0IrbaOolKboMwffiV,43,not available
30,To Be With You,0Yi128S6QgQDnAKg5A0OZw,Mr. Big,5OfhOoKunSnuubxxRML8J3,Deep Cuts: The Best Of The Ballads,0DYLNt604AgwFMQhK3HNLR,25,not available
31,I Swear,4WUnM4KNZ0kjp0CUeoyOnS,All-4-One,1B8ySGDAiXTCvnJNH4HSCG,All-4-One,4L5ZA0GukWNWjsk9b7HHDy,67,https://p.scdn.co/mp3-preview/4bbcac2464fbcb629b62186a9884e9caa402735f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Iris,6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,Dizzy up the Girl,4UMjBXcRqIgMZ1XumU2x5T,78,https://p.scdn.co/mp3-preview/0e87ade9fa869e31b3c32115c2c10ee8fa522c81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Always Be My Baby,2aBxt229cbLDOvtL7Xbb9x,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Daydream,1ibYM4abQtSVQFQWvDSo4J,74,https://p.scdn.co/mp3-preview/b1e31095de6722f08830226adaeaf91d54654bc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Out Of Reach,0HKD13PLq2WicViBBhSrOl,Gabrielle,7rftfGIYEeZ79sLb58ZBDi,Rise,2KOwfgyufhsAO3Qaycw7sX,67,not available
35,Only Wanna Be with You,1OFKUn2VLafrHj7ybnap0Q,Hootie & The Blowfish,08ct2eZF5lUPdJpHwNKWof,Cracked Rear View,5AYmpTfdv1OoASUJ5rZB7K,70,https://p.scdn.co/mp3-preview/26646342adf596713462ac6eba52a61340df467c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,"It Must Have Been Love - From ""Pretty Woman""",6kvoHl80mfCVTv7XnZkjQn,Roxette,2SHhfs4BiDxGQ3oxqf0UHY,It Must Have Been Love,3dWX1xFUaalRlaaVpe4EPF,71,https://p.scdn.co/mp3-preview/a76b97080dee3bd95b1fb99b592910c976fd55f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,I Knew I Loved You,68K0qD0VDqdm0eWXsGqnvM,Savage Garden,3NRFinRTEqUCfaTTZmk8ek,Truly Madly Completely - The Best of Savage Garden,5S4ycMpNlcTpLaO7u6mkkb,65,https://p.scdn.co/mp3-preview/965b8f7cc527e004ef663b3d55a63d3bba052ebc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,No Matter What,6SLLoLPDg6XALqgCs9rBX3,Boyzone,6X9aYHnQ75YI8o08aoa0iS,Where We Belong,0tjhK9DQNlv4WdqBSb3Iri,17,not available
39,(Everything I Do) I Do It For You,1Eb90nmqTrxylKFhcUzW8P,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,Waking Up The Neighbours,6Rk2VghhfqeYrgKxS21eBh,75,not available
40,...Baby One More Time,3MjUtNVVq3C8Fn0MP3zhXa,Britney Spears,26dSoYclwsYLMAKD3tpOr4,...Baby One More Time (Digital Deluxe Version),3WNxdumkSMGMJRhEgK80qx,77,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Never Ever,7ziHnshbknkpFLDW5yGBjO,All Saints,5TDVKqW9uhqGjwwwKGuma4,All Saints,73aw7T2ZpoDvcPe2uSlWxF,62,https://p.scdn.co/mp3-preview/a07f748e73d7d37cc364713747fb9c004e33778b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Say My Name,2gSyc23Hua25fqSFpgAh6W,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,The Writing's On The Wall,78r5vrR1Wf60JPgFQ1drwr,69,https://p.scdn.co/mp3-preview/02ee79550a6b38fc7e9f7df1e521ae639b1e2c23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,A Whole New World (Aladdin's Theme),7fLkHVJAJLENmSvhrEHZxV,Peabo Bryson,49iKbKGqgn8OESkW5WduX0,Aladdin (Original Motion Picture Soundtrack),29EiOQJnxWlX5nVOWQpu3u,52,not available
44,It's Gonna Be Me,35zGjsxI020C2NPKp2fzS7,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,No Strings Attached,5hMd4vAfSUT1cbYCnRUako,65,https://p.scdn.co/mp3-preview/8d77d3139230f7aa3f9d1250d3c2290af35ad73b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Come on over Baby (All I Want Is You) - Radio Version,7A0apkTSTvMbSI7yplcmlh,Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera (Expanded Edition),6fpPZS13ImRVpr7Tqs6yP9,65,https://p.scdn.co/mp3-preview/3e157a2bc80b66474fe111ded3a7dec6a68a0160?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,I Wanna Be the Only One (feat. Bebe Winans),5TECNR8yaiiZMyEqKGg1W2,Eternal,7zYGAXxAaq15C9eM29M8Fj,Greatest Hits,7DnqVGLeNaWKsTmDT4PEui,51,https://p.scdn.co/mp3-preview/a6e132ec00c2739db8e9bba59c70f9fa4d23a6ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Say You'll Be There,1yTQ39my3MoNROlFw3RDNy,Spice Girls,0uq5PttqEjj3IH1bzwcrXF,Spice,3x2jF7blR6bFHtk4MccsyJ,67,not available
48,Angels,1M2nd8jNUkkwrc1dgBPTJz,Robbie Williams,2HcwFjNelS49kFbfvMxQYw,Life Thru A Lens,31Sx9uz9KqlvmX07Pvp0wN,74,not available
