All Out 70s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3260944,spotify
1,"Rocket Man (I Think It's Going To Be A Long, Long Time)",3gdewACMIVMEWVbyb8O9sY,Elton John,3PhoLpVuITZKcymswpck5b,Honky Chateau,2ei2X6ghPnw7YRwQtAH075,83,not available
2,Listen to the Music,7Ar4G7Ci11gpt6sfH9Cgz5,The Doobie Brothers,39T6qqI0jDtSWWioX8eGJz,Toulouse Street,2x1Yi30lsWJUoBj1kmovnm,77,https://p.scdn.co/mp3-preview/d67c39d43fa6704748a9958746699cf7a9b11e01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,You're so Vain,2DnJjbjNTV9Nd5NOa1KGba,Carly Simon,4FtSnMlCVxCswABUmdhwpm,No Secrets,79x0PRGIZv33znrCkPkCZ5,76,https://p.scdn.co/mp3-preview/0cd60ee4a92a3af5f87eae5485ff622daed4135f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Easy,1JQ6Xm1JrvHfvAqhl5pwaA,Commodores,6twIAGnYuIT1pncMAsXnEm,Commodores,2tzbNCAUTmW4MIM2Ulvrwl,78,not available
5,Take It Easy - 2013 Remaster,4yugZvBYaoREkJKtbG08Qr,Eagles,0ECwFtbIWEVNwjlrfc6xoL,Eagles (2013 Remaster),51B7LbLWgYLKBVSpkan8Z7,77,https://p.scdn.co/mp3-preview/1dde876336ceab70ad0bbf832a3feff49783c3ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Don't Go Breaking My Heart,7HW5WIw7ZgZORCzUxv5gW5,Elton John,3PhoLpVuITZKcymswpck5b,Rock Of The Westies,4ObsEU7mIXbo2n9A31yfds,77,not available
7,American Pie,1fDsrQ23eTAVFElUMaf38X,Don McLean,1gRNBaI4yn6wCCTvRhGWh8,American Pie,10jsW2NYd9blCrDITMh2zS,75,not available
8,Let Your Love Flow,064SVQsmWl5EF0zahmzkQk,The Bellamy Brothers,5iB5AWIa7qreioi0AF3Bxa,Bellamy Brothers,77EM0wkGevYQcBo1AJt7B0,69,https://p.scdn.co/mp3-preview/c86fab79bd5fcb0dd0eb1786aa88d039a1f1293f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,"December, 1963 (Oh, What a Night)",4nuPrKithHbRJXuA9spwu4,Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,"December, 1963 (Oh, What a Night) / Slip Away",1cpPUXM8H8059n6B9Nm46c,62,not available
10,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours (Super Deluxe),0BwWUstDMUbgq2NYONRqlu,81,https://p.scdn.co/mp3-preview/40d1f6d82f16b05b62aae47e8e130de04b407fc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Tiny Dancer,2TVxnKdb3tqe1nhQWwwZCO,Elton John,3PhoLpVuITZKcymswpck5b,Madman Across The Water,2OZbaW9tgO62ndm375lFZr,81,not available
12,Big Yellow Taxi,6UkMcAA19lTdjs22jtB7o2,Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,Ladies Of The Canyon,7JOdtLDLyXJIppDRB7kxr9,71,https://p.scdn.co/mp3-preview/48c0b1294058b0006ceb0cdaf84958cb51da45a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Everything I Own,52VIdyKqp1pJRSyUQaxKUA,Bread,70ZTdbPEcEugBNay4MvxfL,Baby I'm-a Want You,5OlNb8PMZXFkhhtSrhLuO5,70,https://p.scdn.co/mp3-preview/96820573e3b922133b37949d9369b164e81ed2bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Livin' Thing,2hdNya0b6Cc2YJ8IyaQIWp,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,A New World Record,7a35UzxXYuKQGMGImyB0Un,71,https://p.scdn.co/mp3-preview/1148a52afb3ed6374d57be3b2b7849cdbe41a627?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Fire and Rain,3LcYYV9ozePfgYYmXv0P3r,James Taylor,0vn7UBvSQECKJm2817Yf1P,Sweet Baby James,2NEQ5Q4sBbUHVVx3Wf8TEZ,74,https://p.scdn.co/mp3-preview/facca1f85f4ef20afa376f91ca8e2276b157d421?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Your Song,38zsOOcu31XbbYj9BIPUF1,Elton John,3PhoLpVuITZKcymswpck5b,Elton John,69P9Ro0W286yLFgYwrGVN0,78,not available
17,Band On The Run - Remastered 2010,1H4idkmruFoJBg1DvUv2tY,Paul McCartney,4STHEaNw4mPZ2tzheohgXB,Band On The Run (Standard),257oomaawruFknt5wYCPDh,72,not available
18,50 Ways to Leave Your Lover,6Qb7gtV6Q4MnUjSbkFcopl,Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,Still Crazy After All These Years,4A366gjTrYQwmRtkTezF2W,70,https://p.scdn.co/mp3-preview/b82d798743c8fae13ce9ba649805a39375569222?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,You Are The Sunshine Of My Life,0n2pjCIMKwHSXoYfEbYMfX,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Talking Book,3PResMqFgQYBfzTnqTKwQw,71,not available
20,"Knowing Me, Knowing You",46ou4l4zvrZMada0TgoVH9,ABBA,0LcJLqbBmaGUft1e9Mm8HV,Arrival,1M4anG49aEs4YimBdj96Oy,55,not available
21,Goodbye Yellow Brick Road - Remastered 2014,6Rvlwah55rEmg1ufhBz022,Elton John,3PhoLpVuITZKcymswpck5b,Goodbye Yellow Brick Road (Remastered / Deluxe Edition),6g9uPPHtnxQLSUd6d9xK8n,69,not available
22,I Can See Clearly Now,0oCT5rVvMdPPUm0bxG7yzT,Johnny Nash,0nAVvgfE9yI4DwvMiYwk8a,Radio Hits Of the '70s,2JcwQwy2KY3CEIzHUC30wG,54,https://p.scdn.co/mp3-preview/cb2ac8119e19b9552d54e0fb7f615bd834bc07ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,It's Too Late,4etJ8NpS7YJ6vViV2UEJit,Carole King,319yZVtYM9MBGqmSQnMyY6,The Essential Carole King,0rGwxrM6v7wQaNm9aC5DSh,50,https://p.scdn.co/mp3-preview/08f10cb1699e3dbf5d00dce88502df44a5165645?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,What a Fool Believes,2yBVeksU2EtrPJbTu4ZslK,The Doobie Brothers,39T6qqI0jDtSWWioX8eGJz,Minute By Minute,7je2uv9QBH65HhADDZitbB,70,https://p.scdn.co/mp3-preview/38dcede79a2e68d904f1729f2342c24e206a759a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Pendulum (40th Anniversary Edition),372cMadhAGlNuDnc8TssqF,79,not available
26,Bennie And The Jets - Remastered 2014,0dBatXn1vVUl0jLgXRClwD,Elton John,3PhoLpVuITZKcymswpck5b,Goodbye Yellow Brick Road (Remastered / Deluxe Edition),6g9uPPHtnxQLSUd6d9xK8n,73,not available
27,Somebody To Love - Remastered 2011,4rDbp1vnvEhieiccprPMdI,Queen,1dfeR4HaWDbWqFHLkxsg1d,A Day At The Races (Deluxe Edition 2011 Remaster),4KZGe18wZJbXL6JLW4KyLc,77,not available
28,Bridge Over Troubled Water,6l8EbYRtQMgKOyc1gcDHF9,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,Bridge Over Troubled Water,0JwHz5SSvpYWuuCNbtYZoV,72,https://p.scdn.co/mp3-preview/235629aa4e2ef4c3c8cc623b348b646d31c26412?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Dancing In The Moonlight,55GxhCTq6SY3tFTVh7z1nR,King Harvest,5FHwr1FymaS5kutIEK6e2y,Dancing In The Moonlight,2gvwC6eFsQH5rlvrZyhs3s,58,not available
30,Annie's Song,5qxFudz7A6PGptviHsz4Yd,John Denver,7EK1bQADBoqbYXnT4Cqv9w,Back Home Again,33KGuaxYmTlMgauIxfovy6,22,not available
31,Landslide,5ihS6UUlyQAfmp48eSkxuQ,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,5VIQ3VaAoRKOEpJ0fewdvo,78,https://p.scdn.co/mp3-preview/8f5c821de4d47066ac5e68d58fd180975c86530d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Hotel California - 2013 Remaster,4Vn7TykT27PIygBiZjTR2s,Eagles,0ECwFtbIWEVNwjlrfc6xoL,The Very Best Of The Eagles (Remastered),5J0VCIp4TTsZBKOqWdbBSa,58,https://p.scdn.co/mp3-preview/50e82c99c20ffa4223e82250605bbd8500cb3928?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Ventura Highway,4IU1RL4BKvFyXtbTwaHAvW,America,35U9lQaRWSQISxQAB94Meo,Homecoming,7eqBAR9pblivMBOI70q2um,71,https://p.scdn.co/mp3-preview/1dbcc6d5eef4864f7a50d59128099455d4c21e2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,You Make Me Feel Like Dancing - Remastered,6gTrbqZnyljwXdYQTyBkSx,Leo Sayer,04LIHk1SobiQwt2tlupoAV,Endless Flight,1d79WI0e5XKTpBymbKADDQ,60,https://p.scdn.co/mp3-preview/7dfdabaabc1337e41ce7c2a9493e74f0b1e71514?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Reelin' In The Years,1I7zHEdDx8Ny5RxzYPqsU2,Steely Dan,6P7H3ai06vU1sGvdpBwDmE,Can't Buy A Thrill,4Gh6pRaXqXTtJx4plAJbBw,73,not available
36,Long Train Runnin',4nXkbcTj3nyww1cHkw5RAP,The Doobie Brothers,39T6qqI0jDtSWWioX8eGJz,The Captain And Me,0M2KWMbvY5x1sUnIKNpyUt,73,https://p.scdn.co/mp3-preview/ab86af73d22ea24e920c1fe59abf5c51d8823aaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Into the Mystic - 2013 Remaster,3lh3iiiJeiBXHSZw6u0kh6,Van Morrison,44NX2ffIYHr6D4n7RaZF7A,Moondance,5PfnCqRbdfIDMb1x3MPQam,73,https://p.scdn.co/mp3-preview/e80d5c0efd271bd14f752d6c7ef11202e89d29f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Let It Be - Remastered 2009,7iN1s7xHE4ifF5povM6A48,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),0jTGHV5xqHPvEcwL8f6YU5,80,not available
39,Sir Duke,4RQgqR09VmHn345vRhKQ6T,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Songs In The Key Of Life,2HVx2tiZnLX8xeaUthed1e,25,not available
40,More Than a Feeling,1QEEqeFIZktqIpPI4jSVSF,Boston,29kkCKKGXheHuoO829FxWK,Boston,2QLp07RO6anZHmtcKTEvSC,80,https://p.scdn.co/mp3-preview/97aaefeb43d0e2368526778487c7097607d5d78d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
