Alternative Hip Hop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,530505,spotify
1,NO HALO,694vvR5o19xHPhhJ5QdLN7,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,GINGER,1jToVugwBEzcak8gJNZG2f,77,https://p.scdn.co/mp3-preview/e01b636ebca3317b599dcf82a45ae8d31158e1fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Backyard,0Kk7JmX3BTE5XCaLI4mzAj,Kota the Friend,2AfU5LYBVCiCtuCCfM7uVX,Backyard,1FkGysG71I3BrEd6SCrFdW,51,https://p.scdn.co/mp3-preview/d2490ee6ede84b089a0075ce4b58804d18aaf255?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Peach,5JRMqkR82k2fdDEAim9SCN,Kevin Abstract,07EcmJpfAday8xGkslfanE,ARIZONA BABY,6wi40lIjhukePWyXRKY7qO,73,https://p.scdn.co/mp3-preview/967a55c12102470a7c8800978b7cd915fd7b1d3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Bad Idea (feat. Chance the Rapper),5u431x19PX588bk9XGlwN8,YBN Cordae,0huGjMyP507tBCARyzSkrv,Bad Idea (feat. Chance the Rapper),13Y4oI0eKd9WHPZ5IqXRl1,56,not available
5,Sorry Not Sorry,1e4CSlsTwTfTlo74sZUph4,Like,2J2V1PxHVZ1ANtT8Y2UdTS,Sorry Not Sorry,1oBmWdR5fQXwUBEE4usovT,44,https://p.scdn.co/mp3-preview/c123ef336ceaf15c0080e468ca76d967407b3ec2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,I BEEN BORN AGAIN,7frG49GBDHPPvxXRVLRwle,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,GINGER,1jToVugwBEzcak8gJNZG2f,69,https://p.scdn.co/mp3-preview/0b3f29106bed98e7ec588e0f0a4c9f4c8b271576?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Hair Down (feat. Kendrick Lamar),6sq5mqtS3jwJjvBHALknJH,SiR,3QTDHixorJelOLxoxcjqGx,Hair Down (feat. Kendrick Lamar),5w27XydFTwAPV5GjsWya37,74,https://p.scdn.co/mp3-preview/27cc6d6d989c10dd916a6111809c72dd3e48140b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Song 32,0EgmhYPgButfoBvtnidyR0,Noname,1EpyA68dKpjf7jXmQL88Hy,Song 32,3WyY9vsAcsEngOhfOl3aby,34,not available
9,Georgia,2B15MgKTaavdlKdlwd4W0R,Kevin Abstract,07EcmJpfAday8xGkslfanE,ARIZONA baby,6FTxwPvKmU6B6fIaS2AfGm,10,not available
10,Only Child,4zMmqb0pYwX6b0qc0slCoT,Tierra Whack,4lPl9gqgox3JDiaJ1yklKh,Only Child,0vioXPjQ9v9dSkzw5xHrTQ,67,not available
11,BOY BYE,6e7hIhOLH9zvb3zP5O5gt0,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,GINGER,1jToVugwBEzcak8gJNZG2f,75,https://p.scdn.co/mp3-preview/ef0139248dd83735a3fc2d3d04157063053944e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,2012,2hJf188Sz3XxfBDmYK1IMC,Joey Purp,1ewyVtTZBqFYWIcepopRhp,QUARTERTHING,0ffPsL9V1eNMi54MEHMehn,51,not available
13,Angel,4pjcxC0qgXWZWmcBjzn1az,Loyle Carner,4oDjh8wNW5vDHyFRrDYC4k,"Not Waving, But Drowning",1kokRXXxrJzhxdMo0vsVDV,64,not available
14,Crush,3aUviSdBVbsdmH406j5GZC,Duckwrth,6I3MElirhT5t6Kf7p0hGk9,Crush,1R9BIE7X0fzMrn3XHvetFO,63,not available
15,Song 31,5jEHZAJlxIf6bK9LkKnRH0,Noname,1EpyA68dKpjf7jXmQL88Hy,Song 31,1EcKdLqFqu9tThIMVkpwEd,28,not available
16,BLUE,1Roxb5PucuEVW34lGHRhMY,Zaia,1m0t5VYISq6TcyMo7UqLMz,BLUE,5Xxx5CEY3kOdYzIHyxfkYo,9,not available
17,IF YOU PRAY RIGHT,5smpR8TVfiPxywEHr1NbJK,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,IF YOU PRAY RIGHT,4oIbhyy9UZlP4JgN0IFciv,64,https://p.scdn.co/mp3-preview/9fb3447458e773ee36548d8fe88a5679a3755539?cid=fa83a2fec7c440b7a2795d600d6b2c7e
