Gold School,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2074415,spotify
1,Ms. Fat Booty,0IVAlb0cFCH1cQ974iR1TU,Mos Def,0Mz5XE0kb1GBnbLQm2VbcO,Black On Both Sides,5gK2l2LgWY0BA4p9uy27z6,70,not available
2,Through The Wire,4mmkhcEm1Ljy1U9nwtsxUo,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,70,not available
3,ATLiens,2vfvGlqCB7oertO5VLE0sz,OutKast,1G9G7WwrXka3Z1r7aIDjI7,ATLiens,1IaBCF26OjgYwUCEPaIyC0,68,https://p.scdn.co/mp3-preview/c53855ad6c53c62dff941a950e3e37200aead769?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,My Name Is,75IN3CtuZwTHTnZvYM4qnJ,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Slim Shady LP,0vE6mttRTBXRe9rKghyr1l,73,not available
5,Juicy - 2005 Remaster,5ByAIlEEnxYdvpnezg7HTX,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Ready to Die (The Remaster),2HTbQ0RHwukKVXAlTmCZP2,78,https://p.scdn.co/mp3-preview/04edad628874515d2316e6946a2f815f645328f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,What They Do,1B53Y95tPd4ah4FExO0egE,The Roots,78xUyw6FkVZrRAtziFdtdu,Illadelph Halflife,4hkERQVrmM9JQ9g2eie2tL,60,not available
7,Ready or Not,3vZO25GdYuqFrR1kzZADnp,Fugees,2WKdxPFRD7IqZvlIAvhMgY,The Score (Expanded Edition),18XFe4CPBgVezXkxZP6rTb,71,https://p.scdn.co/mp3-preview/5aa69b04801987249c152d4572185bd908908eae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,How High - Remix,4fM3s8EijMqI2vzL7V58YF,Redman,7xTKLpo7UCzXSnlH7fOIoM,How High,4qlXsDXdQMHdWWZzqf6Hzm,45,not available
9,I Used to Love H.E.R.,4TboAbE2pCUUB0fk6Q9rUU,Common,2GHclqNVjqGuiE5mA7BEoc,Resurrection,0JKjuvDUPrnlblAZyB1Aje,55,https://p.scdn.co/mp3-preview/a9fabe7b53cb9bd7b82e18628d26debc9d9779ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Passin' Me By,4G3dZN9o3o2X4VKwt4CLts,The Pharcyde,7yk35uHNQclPXFGFoTU44w,Bizarre Ride II The Pharcyde,48kU5gP41TqZEw32Cwhsna,68,not available
11,Nas Is Like,3gY6tiCNsuVi6s8kPV6aQg,Nas,20qISvAhX20dpIbOOzGK3q,I Am...,4UhEjfIRx4tE1XRY21vwNa,65,https://p.scdn.co/mp3-preview/e22e0f35a2ee8b75d3c4dd5147ad39d7dd203251?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Full Clip,30oTS7bm0aH3p7lqjEIu8q,Gang Starr,5cMgGlA1xGyeAB2ctYlRdZ,Full Clip: A Decade Of Gang Starr,0TMIeuykc2gfMc68YGppoh,67,not available
